timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,224.5588,224.7099,224.5588,224.7,13589.0
28788148,224.7087,224.77,224.3748,224.7499,51762.0
28788149,224.8186,224.89,224.5934,224.8888,12144.0
28788150,224.88,224.9,224.4507,224.8616,56756.0
28788151,224.845,224.885,224.7706,224.835,8951.0
28788152,224.835,224.87,224.5489,224.8312,52156.0
28788153,224.82,224.8332,224.8,224.809,2639.0
28788154,224.805,224.883,224.7612,224.83,44460.0
28788155,224.88,224.91,224.8408,224.88,15733.0
28788156,224.865,224.94,224.7645,224.88,33352.0
28788157,224.9089,224.91,224.87,224.8738,2990.0
28788158,224.876,224.8872,224.78,224.795,56248.0
28788159,224.8112,224.8295,224.8112,224.82,19.0
28788160,224.82,224.88,224.8162,224.8512,19232.0
28788161,224.86,224.88,224.82,224.84,14340.0
28788162,224.865,224.88,224.8318,224.86,10326.0
28788163,224.8444,224.98,224.8303,224.9701,17131.0
28788164,224.97,225.0,224.8727,224.9621,39462.0
28788165,224.965,224.98,224.8969,224.9177,17859.0
28788166,225.0,225.01,224.9356,224.99,15153.0
28788167,224.98,225.02,224.961,225.0096,18370.0
28788168,225.0085,225.0085,224.9238,224.98,17411.0
28788169,224.98,225.0,224.9315,224.9729,10659.0
28788170,225.07,225.1,224.967,224.9997,48068.0
28788171,225.0,225.041,224.95,224.96,20874.0
28788172,224.9512,225.025,224.9512,225.0188,12484.0
28788173,225.0001,225.02,224.9676,224.9744,22769.0
28788174,225.01,225.03,224.9985,225.03,9254.0
28788175,225.022,225.03,224.98,224.994,24356.0
28788176,225.0007,225.0007,224.91,224.93,18235.0
28788177,224.91,224.9892,224.85,224.885,38045.0
28788178,224.895,224.9645,224.8616,224.8992,8972.0
28788179,224.8988,224.9617,224.8575,224.95,24528.0
28788180,224.995,225.01,224.9138,225.0,19883.0
28788181,225.0199,225.02,224.9139,224.965,20599.0
28788182,224.965,224.965,224.965,224.965,0.0
28788183,224.965,224.965,224.965,224.965,0.0
28788184,224.965,224.965,224.965,224.965,0.0
28788185,225.065,225.0899,224.9642,224.9642,7241.0
28788186,225.085,225.09,224.9642,225.0399,18462.0
28788187,224.998,225.0434,224.97,224.9888,3903.0
28788188,224.985,225.0363,224.95,225.0021,28982.0
28788189,224.975,225.0193,224.9601,224.97,13408.0
28788190,224.96,225.05,224.96,225.04,19348.0
28788191,225.02,225.05,225.0008,225.03,10317.0
28788192,225.0335,225.11,225.0,225.0888,38703.0
28788193,225.1,225.12,225.039,225.0849,11237.0
28788194,225.095,225.115,225.0396,225.075,27405.0
28788195,225.005,225.0632,224.99,225.026,9570.0
28788196,225.0112,225.0618,225.01,225.025,17843.0
28788197,225.12,225.1273,221.1964,225.0737,11580.0
28788198,225.0612,225.1041,225.03,225.05,16649.0
28788199,225.055,225.09,225.055,225.0801,11677.0
