timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,192.56,192.62,192.5394,192.6,6160.0
28788148,192.5912,192.67,192.545,192.6088,35456.0
28788149,192.61,192.65,192.5572,192.65,5891.0
28788150,192.65,192.66,192.561,192.6288,18222.0
28788151,192.63,192.65,192.6104,192.6311,3101.0
28788152,192.635,192.68,192.5757,192.675,25453.0
28788153,192.63,192.6499,192.62,192.635,1485.0
28788154,192.6301,192.68,192.59,192.6299,22092.0
28788155,192.73,192.745,192.6702,192.73,4759.0
28788156,192.7288,192.7758,192.6218,192.76,19216.0
28788157,192.776,192.776,192.6683,192.7688,4810.0
28788158,192.76,192.77,192.61,192.6299,38973.0
28788159,192.7122,192.7122,192.6409,192.6432,230.0
28788160,192.6291,192.7086,192.62,192.63,22708.0
28788161,192.63,192.6952,192.6,192.615,18298.0
28788162,192.7155,192.85,192.6795,192.8158,33508.0
28788163,192.84,192.8988,192.6826,192.888,28482.0
28788164,192.865,192.94,192.7327,192.9331,39382.0
28788165,192.935,192.99,192.7592,192.985,37618.0
28788166,192.97,192.99,192.7994,192.9741,27276.0
28788167,192.9811,193.04,192.8077,193.02,45371.0
28788168,192.97,192.9965,192.8519,192.95,16036.0
28788169,192.94,192.9952,192.93,192.98,15374.0
28788170,192.995,193.0199,192.91,192.94,25290.0
28788171,192.94,192.9803,192.9,192.9343,26700.0
28788172,192.946,192.97,192.91,192.9288,21222.0
28788173,192.92,192.9642,192.91,192.93,12612.0
28788174,192.95,192.97,192.938,192.9647,10092.0
28788175,192.9647,192.9888,192.9301,192.98,25070.0
28788176,192.9688,192.98,192.95,192.955,16328.0
28788177,192.9624,192.9624,192.89,192.8911,18766.0
28788178,192.8779,192.94,192.8505,192.9091,20116.0
28788179,192.8748,193.0,192.8748,192.995,33078.0
28788180,193.085,193.1488,192.9658,193.1488,56044.0
28788181,193.125,193.1499,192.9734,193.074,37300.0
28788182,193.074,193.074,193.074,193.074,0.0
28788183,193.074,193.074,193.074,193.074,0.0
