timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,2579.05,2579.61,2579.05,2579.6,39.5663
28788148,2579.61,2580.0,2579.61,2579.89,20.7985
28788149,2579.5,2580.0,2579.49,2580.0,6.057
28788150,2579.99,2581.5,2579.83,2581.5,36.97
28788151,2581.99,2582.4,2581.8,2581.81,7.0422
28788152,2581.81,2582.47,2581.14,2581.31,44.921
28788153,2577.56,2577.56,2577.55,2577.55,2.2989
28788154,2577.56,2578.4,2577.24,2578.24,25.7691
28788155,2578.99,2578.99,2578.98,2578.98,0.4173
28788156,2578.98,2580.26,2578.98,2579.74,61.2219
28788157,2580.26,2580.27,2580.26,2580.26,5.8253
28788158,2580.26,2580.42,2579.0,2579.0,95.4217
28788159,2579.0,2579.0,2579.0,2579.0,0.0
28788160,2580.17,2580.17,2579.5,2579.92,23.1362
28788161,2579.92,2579.93,2579.49,2579.92,30.5335
28788162,2580.2,2580.39,2580.13,2580.39,14.7277
28788163,2580.4,2580.4,2580.23,2580.39,11.7247
28788164,2579.8,2580.25,2579.8,2579.81,36.8613
28788165,2579.8,2579.8,2578.4,2579.43,31.6763
28788166,2580.0,2580.19,2579.8,2580.19,10.6312
28788167,2580.19,2580.3,2580.19,2580.29,32.1884
28788168,2580.78,2580.78,2579.89,2580.39,31.2886
28788169,2580.38,2580.5,2580.38,2580.49,67.9169
28788170,2582.33,2582.59,2581.43,2581.43,17.5219
28788171,2581.43,2581.44,2580.0,2580.09,89.3966
28788172,2582.38,2583.0,2582.37,2582.99,54.2917
28788173,2582.99,2583.18,2582.7,2583.09,19.7153
28788174,2582.8,2582.81,2582.58,2582.58,26.9928
28788175,2582.59,2582.59,2581.33,2581.41,22.651
28788176,2581.61,2582.91,2581.61,2581.99,29.9415
28788177,2581.99,2582.0,2581.6,2581.87,10.7036
28788178,2581.49,2581.79,2581.49,2581.78,5.8151
28788179,2581.78,2583.48,2581.78,2582.62,40.9044
28788180,2582.74,2583.63,2582.73,2583.63,24.1439
28788181,2583.62,2583.63,2583.13,2583.19,20.2167
28788182,2583.19,2583.19,2583.19,2583.19,0.0
28788183,2583.19,2583.19,2583.19,2583.19,0.0
28788184,2583.19,2583.19,2583.19,2583.19,0.0
28788185,2582.01,2582.38,2581.34,2581.59,16.4117
28788186,2581.59,2582.32,2581.54,2582.31,10.0322
28788187,2583.5,2584.02,2583.5,2583.99,16.8783
28788188,2584.11,2586.2,2584.0,2586.19,105.2941
28788189,2585.81,2585.81,2585.0,2585.01,18.9489
28788190,2585.01,2586.23,2585.0,2586.22,118.0643
28788191,2584.2,2584.28,2584.19,2584.28,26.5123
28788192,2584.27,2585.28,2584.27,2585.0,40.2387
28788193,2583.77,2583.92,2583.77,2583.92,6.4978
28788194,2583.92,2584.01,2583.19,2584.0,32.9104
28788195,2585.73,2589.06,2585.72,2588.96,163.7394
28788196,2588.96,2588.96,2582.0,2582.66,227.2117
28788197,2585.7,2586.5,2585.55,2585.55,58.5176
28788198,2585.55,2585.73,2583.87,2584.19,73.9885
28788199,2580.73,2581.88,2580.73,2581.88,49.6387
28788200,2581.88,2582.97,2581.5,2581.5,54.6785
28788201,2582.07,2582.07,2581.6,2581.61,22.7329
28788202,2581.6,2581.95,2579.45,2580.39,104.0746
28788203,2580.01,2580.78,2580.0,2580.57,56.2117
28788204,2580.57,2583.27,2580.57,2582.96,119.4282
28788205,2584.99,2585.0,2584.98,2584.98,4.5218
28788206,2584.99,2584.99,2582.49,2582.49,278.3799
28788207,2581.78,2581.78,2581.13,2581.13,9.2413
28788208,2581.13,2582.2,2580.8,2582.2,88.2564
28788209,2582.99,2582.99,2581.28,2581.69,110.0151
28788210,2581.7,2581.7,2580.0,2580.0,147.8736
28788211,2579.68,2580.0,2579.68,2580.0,5.7307
28788212,2580.0,2581.0,2579.99,2580.99,20.3077
28788213,2580.0,2581.27,2579.99,2580.91,16.2678
28788214,2580.91,2582.6,2580.78,2582.6,26.349
28788215,2583.69,2583.69,2582.99,2583.0,14.9714
28788216,2582.99,2583.66,2582.99,2582.99,21.1969
28788217,2581.41,2581.69,2581.35,2581.35,19.1877
28788218,2581.3,2581.3,2580.01,2580.58,20.0787
28788219,2580.3,2580.3,2580.25,2580.26,7.0961
28788220,2580.25,2580.26,2579.38,2579.38,30.4012
28788221,2578.9,2579.18,2578.61,2579.12,19.5727
28788222,2579.12,2579.5,2577.59,2577.98,206.4518
28788223,2577.37,2577.49,2577.37,2577.4,136.4291
28788224,2577.41,2577.9,2576.9,2577.0,505.6229
28788225,2577.37,2577.37,2577.36,2577.37,14.1081
28788226,2577.36,2577.37,2576.24,2576.24,56.9515
28788227,2577.35,2577.36,2576.69,2576.9,36.3176
28788228,2576.69,2577.0,2576.23,2576.61,26.4646
28788229,2576.75,2577.1,2576.29,2576.29,10.818
28788230,2576.3,2577.2,2576.24,2576.52,162.5619
28788231,2577.1,2577.11,2577.1,2577.11,0.2311
28788232,2577.11,2577.11,2576.6,2577.09,27.0594
28788233,2576.97,2576.97,2576.97,2576.97,0.0388
28788234,2576.96,2578.02,2576.76,2576.77,44.4743
