timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788160,150.1,150.11,150.06,150.06,317.093
28788161,150.09,150.12,150.06,150.12,315.577
28788162,150.16,150.25,150.16,150.25,292.092
28788163,150.25,150.25,150.15,150.15,498.247
28788164,150.06,150.06,150.01,150.01,437.517
28788165,150.01,150.01,149.96,149.97,470.672
28788166,150.04,150.1,150.03,150.08,959.285
28788167,150.08,150.11,150.08,150.1,63.256
28788168,150.15,150.16,150.09,150.15,623.711
28788169,150.15,150.19,150.1,150.19,136.646
28788170,150.34,150.4,150.32,150.4,581.938
28788171,150.41,150.44,150.37,150.37,1314.288
28788172,150.54,150.58,150.54,150.55,1108.877
28788173,150.54,150.54,150.47,150.49,653.63
28788174,150.53,150.54,150.51,150.52,1363.175
28788175,150.52,150.53,150.4,150.43,529.405
28788176,150.43,150.49,150.43,150.45,398.811
28788177,150.45,150.45,150.39,150.42,171.74
28788178,150.45,150.49,150.44,150.48,238.643
28788179,150.48,150.57,150.48,150.55,465.8
28788180,150.54,150.58,150.54,150.57,128.413
28788181,150.57,150.57,150.49,150.51,347.387
28788182,150.51,150.51,150.51,150.51,0.0
28788183,150.51,150.51,150.51,150.51,0.0
28788184,150.51,150.51,150.51,150.51,0.0
28788185,150.47,150.5,150.45,150.47,221.466
28788186,150.48,150.58,150.47,150.58,362.312
28788187,150.86,150.92,150.84,150.89,2549.571
28788188,150.88,150.97,150.88,150.97,2158.531
28788189,150.9,150.92,150.88,150.9,471.914
28788190,150.9,151.05,150.9,151.03,1529.882
28788191,150.88,150.9,150.87,150.88,596.307
28788192,150.88,151.0,150.88,150.99,1062.288
28788193,150.89,150.9,150.87,150.88,129.176
28788194,150.87,150.9,150.81,150.83,1689.417
28788195,150.9,151.2,150.9,151.15,1639.353
28788196,151.15,151.15,150.85,150.89,1642.207
28788197,150.98,150.99,150.92,150.92,778.471
28788198,150.91,150.91,150.67,150.68,816.042
28788199,150.49,150.56,150.49,150.55,334.362
28788200,150.55,150.59,150.45,150.45,406.047
28788201,150.57,150.59,150.54,150.56,192.98
28788202,150.55,150.59,150.43,150.44,963.041
28788203,150.52,150.55,150.52,150.55,259.651
28788204,150.55,150.67,150.55,150.63,1200.818
28788205,150.66,150.66,150.59,150.65,77.443
28788206,150.56,150.6,150.51,150.51,1200.722
28788207,150.55,150.55,150.49,150.49,103.666
28788208,150.49,150.54,150.44,150.54,395.84
28788209,150.21,150.23,150.03,150.23,1297.726
28788210,150.22,150.24,150.14,150.14,1107.025
28788211,150.17,150.18,150.17,150.18,19.62
28788212,150.18,150.25,150.18,150.25,65.086
28788213,150.19,150.31,150.19,150.27,468.355
28788214,150.28,150.33,150.28,150.33,95.724
28788215,150.39,150.41,150.34,150.35,245.721
28788216,150.34,150.4,150.31,150.32,168.155
28788217,150.25,150.29,150.25,150.28,120.975
28788218,150.28,150.28,150.26,150.28,129.378
28788219,150.28,150.29,150.24,150.24,61.915
28788220,150.24,150.25,150.22,150.22,100.803
28788221,150.17,150.21,150.15,150.21,813.794
28788222,150.22,150.24,150.14,150.15,433.715
28788223,150.16,150.19,150.16,150.18,185.865
28788224,150.19,150.27,150.19,150.22,322.035
