timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,452.7965,452.9299,452.7226,452.8855,1280.0
28788148,452.845,452.98,452.6978,452.8454,1305.0
28788149,452.8121,452.8564,452.7154,452.79,153.0
28788150,452.79,452.8699,452.54,452.64,2499.0
28788151,452.53,452.7388,452.53,452.7077,243.0
28788152,452.63,452.7399,452.47,452.58,2199.0
28788153,452.49,452.5292,452.39,452.5292,36.0
28788154,452.5824,452.5968,452.39,452.49,1428.0
28788155,452.71,452.71,452.64,452.64,872.0
28788156,452.6108,452.76,452.54,452.55,1355.0
28788157,452.5916,452.6899,452.49,452.55,161.0
28788158,452.5,452.69,452.38,452.65,698.0
28788159,452.42,452.42,452.42,452.42,3.0
28788160,452.52,452.6588,452.386,452.475,2597.0
28788161,452.44,452.61,452.34,452.4067,255.0
28788162,452.5,452.6,452.41,452.51,566.0
28788163,452.5,452.6,452.41,452.515,707.0
28788164,452.52,452.62,452.4212,452.525,744.0
28788165,452.62,452.62,452.43,452.5624,610.0
28788166,452.5888,452.5899,452.24,452.5,1152.0
28788167,452.4988,452.5,452.13,452.4955,431.0
28788168,452.38,452.52,452.21,452.5,890.0
28788169,452.3285,452.52,452.23,452.355,240.0
28788170,452.345,452.4788,452.2101,452.42,990.0
28788171,452.3425,452.48,452.21,452.345,260.0
28788172,452.275,452.49,452.14,452.365,1708.0
28788173,452.42,452.49,452.2916,452.375,1366.0
28788174,452.37,452.46,452.23,452.3,619.0
28788175,452.3,452.4299,452.16,452.32,979.0
28788176,452.12,452.33,452.12,452.33,100.0
28788177,452.1301,452.33,452.1301,452.235,594.0
28788178,452.21,452.36,452.0701,452.2,754.0
28788179,452.215,452.31,452.08,452.17,1729.0
28788180,452.24,452.3,452.1117,452.24,1509.0
28788181,452.245,452.35,452.1578,452.3458,2433.0
28788182,452.3458,452.3458,452.3458,452.3458,0.0
28788183,452.3458,452.3458,452.3458,452.3458,0.0
28788184,452.3458,452.3458,452.3458,452.3458,0.0
28788185,452.4994,452.51,452.299,452.42,511.0
28788186,452.3946,452.52,452.3901,452.4266,1308.0
28788187,452.48,452.61,452.44,452.5068,225.0
28788188,452.56,452.61,452.45,452.48,1669.0
28788189,452.42,452.5977,452.25,452.33,2048.0
28788190,452.39,452.4933,452.28,452.37,2307.0
28788191,452.2284,452.47,452.2201,452.34,179.0
28788192,452.3776,452.47,452.2,452.21,3244.0
28788193,452.314,452.36,452.1512,452.18,541.0
28788194,452.28,452.313,452.06,452.1289,2828.0
28788195,452.02,452.2606,451.88,452.088,6997.0
28788196,451.9,452.2564,451.9,452.04,4044.0
28788197,452.21,452.21,451.9501,452.0,3446.0
28788198,452.0,452.1699,451.95,452.1699,713.0
28788199,451.89,452.1147,451.81,451.93,332.0
28788200,451.93,452.05,451.82,451.9742,2579.0
28788201,451.9688,451.97,451.74,451.855,719.0
28788202,451.75,451.97,451.75,451.83,3439.0
28788203,451.905,452.0,451.81,451.91,2178.0
28788204,451.99,452.22,451.9,452.0,4121.0
28788205,451.99,451.99,451.81,451.9548,202.0
28788206,451.82,451.9125,451.74,451.88,2944.0
28788207,451.716,451.8999,451.7,451.8688,1525.0
28788208,451.81,451.87,451.62,451.77,2319.0
28788209,451.95,452.09,451.8501,451.9072,1173.0
28788210,451.96,452.1499,451.8572,452.105,4532.0
28788211,452.0353,452.12,452.02,452.0421,1275.0
28788212,452.13,452.15,451.9147,452.15,475.0
28788213,452.1565,452.56,452.13,452.4424,3212.0
28788214,452.43,452.52,452.2824,452.51,1222.0
28788215,452.3329,452.4499,452.18,452.2081,4989.0
28788216,452.28,452.3688,452.18,452.3052,2375.0
28788217,452.3599,452.42,452.1801,452.32,1840.0
28788218,452.2755,452.2771,452.1,452.2399,2673.0
28788219,452.24,452.36,452.12,452.2209,822.0
28788220,452.33,452.35,452.142,452.2704,1393.0
28788221,452.31,452.3599,452.14,452.15,2628.0
28788222,452.22,452.36,452.15,452.22,1863.0
28788223,452.58,452.6568,452.3776,452.595,3021.0
28788224,452.6369,452.7,452.4566,452.595,3644.0
28788225,452.53,452.58,452.45,452.53,2739.0
28788226,452.4655,452.57,452.46,452.51,2575.0
28788227,452.54,452.5715,452.4,452.41,2426.0
28788228,452.405,452.5124,452.24,452.35,4607.0
28788229,452.4152,452.44,452.32,452.365,1677.0
28788230,452.4499,452.48,452.07,452.0889,8016.0
28788231,452.315,452.3899,452.2337,452.32,1777.0
28788232,452.37,452.6888,452.2269,452.5433,6726.0
28788233,452.61,452.69,452.54,452.69,312.0
28788234,452.61,452.69,452.25,452.3001,11074.0
28788235,452.3001,452.3001,452.3001,452.3001,0.0
28788236,452.3069,452.426,452.07,452.2599,15636.0
28788237,452.42,452.42,452.41,452.42,86.0
28788238,452.2,452.215,452.02,452.0258,13255.0
28788239,452.055,452.28,452.03,452.1,13802.0
28788240,452.6,452.68,452.1,452.25,1409.0
28788241,452.56,452.7,452.16,452.1975,1198457.0
28788242,452.23,452.36,452.19,452.22,7917.0
28788243,452.36,452.43,452.21,452.43,49797.0
28788244,452.43,452.43,452.43,452.43,0.0
28788245,452.36,452.47,452.36,452.47,312.0
28788246,452.47,452.47,452.47,452.47,0.0
28788247,452.47,452.47,452.47,452.47,0.0
28788248,452.4108,452.4108,452.4108,452.4108,2.0
28788249,452.43,452.43,452.41,452.41,141.0
28788250,452.41,452.41,452.41,452.41,2.0
28788251,452.41,452.41,452.36,452.36,1112.0
28788252,452.36,452.36,452.36,452.36,0.0
28788253,452.84,452.84,452.84,452.84,55.0
28788254,452.84,452.84,452.84,452.84,0.0
28788255,452.84,452.84,452.84,452.84,0.0
28788256,452.84,452.84,452.84,452.84,0.0
28788257,452.58,452.58,452.58,452.58,75.0
28788258,452.58,452.58,452.58,452.58,0.0
28788259,452.42,452.58,452.42,452.58,5.0
28788260,452.58,452.58,452.58,452.58,0.0
28788261,452.58,452.58,452.58,452.58,0.0
28788262,452.58,452.58,452.58,452.58,0.0
28788263,452.52,452.58,452.52,452.58,21.0
28788264,452.58,452.58,452.58,452.58,0.0
28788265,452.58,452.58,452.58,452.58,0.0
28788266,452.35,452.35,452.35,452.35,30.0
28788267,452.3,452.3,452.08,452.08,10.0
28788268,452.08,452.08,452.08,452.08,0.0
28788269,452.34,452.34,452.34,452.34,2.0
28788270,452.34,452.34,452.34,452.34,0.0
28788271,451.75,452.4,451.75,452.04,12.0
28788272,452.04,452.04,452.04,452.04,0.0
28788273,452.27,452.36,452.26,452.36,8.0
28788274,452.36,452.36,452.36,452.36,0.0
28788275,452.35,452.35,452.35,452.35,2.0
28788276,452.35,452.35,452.35,452.35,0.0
28788277,452.23,452.37,452.23,452.37,7.0
28788278,452.37,452.37,452.37,452.37,0.0
28788279,452.37,452.37,452.37,452.37,0.0
28788280,452.37,452.37,452.37,452.37,0.0
28788281,452.38,452.38,452.38,452.38,1.0
28788282,452.38,452.38,452.38,452.38,0.0
28788283,452.38,452.38,452.38,452.38,2.0
28788284,452.38,452.38,452.38,452.38,0.0
28788285,452.38,452.38,452.38,452.38,0.0
28788286,452.4,452.4,452.4,452.4,15.0
28788287,452.4,452.4,452.4,452.4,0.0
28788288,452.4,452.4,452.4,452.4,0.0
28788289,452.44,452.47,452.44,452.44,16.0
28788290,452.36,452.36,452.36,452.36,1.0
28788291,452.44,452.46,452.44,452.44,4.0
28788292,452.44,452.44,452.44,452.44,0.0
28788293,452.36,452.36,452.3,452.3,9.0
28788294,452.3,452.3,452.3,452.3,0.0
28788295,452.69,452.69,452.69,452.69,1.0
28788296,452.3,452.31,452.3,452.31,93.0
