timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,161.7511,161.8147,161.7453,161.775,6570.0
28788148,161.775,161.8134,161.76,161.7689,6999.0
28788149,161.77,161.79,161.763,161.7812,4624.0
28788150,161.785,161.81,161.7716,161.7991,19945.0
28788151,161.745,161.7705,161.735,161.7595,1650.0
28788152,161.755,161.7811,161.72,161.735,12579.0
28788153,161.68,161.69,161.68,161.68,2010.0
28788154,161.69,161.7637,161.655,161.6999,34528.0
28788155,161.675,161.68,161.665,161.665,926.0
28788156,161.665,161.73,161.65,161.684,40914.0
28788157,161.66,161.6745,161.645,161.6499,1222.0
28788158,161.65,161.7118,161.6,161.62,17179.0
28788159,161.605,161.605,161.602,161.605,316.0
28788160,161.58,161.6469,161.55,161.57,21740.0
28788161,161.56,161.6234,161.54,161.57,18395.0
28788162,161.57,161.6435,161.535,161.54,27242.0
28788163,161.54,161.64,161.52,161.611,14530.0
28788164,161.615,161.64,161.5758,161.63,6732.0
28788165,161.63,161.7,161.5786,161.695,26490.0
28788166,161.76,161.8,161.6175,161.799,10268.0
28788167,161.795,161.85,161.6191,161.7503,19064.0
28788168,161.85,161.87,161.646,161.855,12992.0
28788169,161.855,161.875,161.6506,161.86,6576.0
28788170,161.8812,161.9,161.8266,161.85,17718.0
28788171,161.85,161.9,161.6922,161.86,9632.0
28788172,161.87,161.8999,161.86,161.88,6064.0
28788173,161.8786,161.9,161.7501,161.89,4424.0
28788174,161.92,161.95,161.8846,161.9,8542.0
28788175,161.9,161.91,161.8233,161.875,23798.0
28788176,161.8588,161.8794,161.83,161.85,10372.0
28788177,161.842,161.8773,161.8,161.8089,14304.0
28788178,161.77,161.8504,161.77,161.775,7750.0
28788179,161.775,161.8378,161.7491,161.79,12899.0
28788180,161.76,161.81,161.755,161.81,16924.0
28788181,161.805,161.815,161.775,161.8,8290.0
28788182,161.8,161.8,161.8,161.8,0.0
28788183,161.8,161.8,161.8,161.8,0.0
28788184,161.8,161.8,161.8,161.8,0.0
28788185,161.8,161.8131,161.78,161.7988,11528.0
28788186,161.795,161.8103,161.76,161.76,18246.0
28788187,161.7,161.7861,161.7,161.706,14452.0
28788188,161.705,161.7824,161.65,161.68,29298.0
28788189,161.715,161.7235,161.67,161.6713,9838.0
28788190,161.7291,161.8434,161.675,161.6987,173818.0
28788191,161.6668,161.7492,161.62,161.6212,7450.0
28788192,161.6201,161.7415,161.6,161.6,18544.0
28788193,161.585,161.6978,161.56,161.57,27436.0
28788194,161.58,161.6517,161.53,161.5411,69347.0
28788195,161.5488,161.6417,161.5201,161.5486,8935.0
28788196,161.545,161.6321,161.54,161.56,13499.0
28788197,161.585,161.6,161.54,161.56,6298.0
28788198,161.56,161.5998,161.5553,161.5689,7570.0
28788199,161.5786,161.61,161.57,161.5906,6795.0
28788200,161.5958,161.6,161.5648,161.5891,12059.0
28788201,161.5811,161.6068,161.57,161.575,8338.0
28788202,161.575,161.63,161.565,161.625,15631.0
28788203,161.595,161.62,161.576,161.6006,15107.0
28788204,161.605,161.6075,161.55,161.56,19052.0
28788205,161.58,161.5902,161.56,161.565,5449.0
28788206,161.565,161.5931,161.545,161.565,12423.0
28788207,161.5706,161.605,161.54,161.5788,17229.0
