timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,23.57,23.62,23.57,23.6088,61210.0
28788148,23.6095,23.61,23.5746,23.585,79139.0
28788149,23.595,23.62,23.5819,23.6101,51916.0
28788150,23.61,23.62,23.5841,23.6,62656.0
28788151,23.5912,23.6041,23.59,23.5988,10391.0
28788152,23.5914,23.6199,23.5701,23.6179,140722.0
28788153,23.6159,23.62,23.6038,23.615,3434.0
28788154,23.615,23.63,23.5973,23.62,103533.0
28788155,23.625,23.63,23.6124,23.62,6372.0
28788156,23.62,23.63,23.6,23.615,152428.0
28788157,23.6103,23.619,23.61,23.61,11374.0
28788158,23.615,23.6209,23.6,23.61,64973.0
28788159,23.615,23.6188,23.61,23.6188,4004.0
28788160,23.625,23.63,23.61,23.6173,70014.0
28788161,23.6151,23.6255,23.6,23.6025,20820.0
28788162,23.6175,23.63,23.61,23.6169,157442.0
28788163,23.618,23.63,23.6,23.625,143142.0
28788164,23.62,23.6207,23.61,23.6128,68694.0
28788165,23.6202,23.625,23.61,23.618,80050.0
28788166,23.62,23.62,23.6005,23.605,33985.0
28788167,23.605,23.617,23.59,23.605,111062.0
28788168,23.625,23.63,23.6072,23.615,106962.0
28788169,23.615,23.63,23.61,23.63,46866.0
28788170,23.6203,23.6203,23.6,23.605,43450.0
28788171,23.605,23.6171,23.58,23.585,152382.0
28788172,23.57,23.6062,23.56,23.5625,57282.0
28788173,23.565,23.6008,23.55,23.5664,136750.0
28788174,23.59,23.5925,23.5647,23.5888,92607.0
28788175,23.5812,23.6,23.5691,23.585,170230.0
28788176,23.5747,23.5878,23.55,23.5599,85730.0
28788177,23.555,23.5852,23.55,23.565,105252.0
28788178,23.565,23.5726,23.56,23.5601,56643.0
28788179,23.565,23.58,23.56,23.575,20441.0
28788180,23.59,23.5999,23.5718,23.5999,42626.0
28788181,23.595,23.6,23.5678,23.5691,110044.0
28788182,23.5691,23.5691,23.5691,23.5691,0.0
28788183,23.5691,23.5691,23.5691,23.5691,0.0
28788184,23.5691,23.5691,23.5691,23.5691,0.0
28788185,23.575,23.59,23.57,23.5822,90234.0
28788186,23.585,23.61,23.5747,23.605,188842.0
28788187,23.5959,23.6,23.581,23.595,44442.0
28788188,23.595,23.6,23.58,23.585,115596.0
28788189,23.5827,23.586,23.54,23.5452,82954.0
28788190,23.55,23.5838,23.545,23.555,110852.0
28788191,23.5408,23.55,23.54,23.54,32272.0
28788192,23.546,23.5765,23.52,23.5201,88198.0
28788193,23.5357,23.58,23.5357,23.575,85352.0
28788194,23.575,23.59,23.5441,23.5543,195896.0
28788195,23.5717,23.58,23.5507,23.57,46450.0
28788196,23.5739,23.5746,23.55,23.555,148412.0
28788197,23.56,23.5612,23.55,23.555,87416.0
28788198,23.5588,23.57,23.555,23.565,113558.0
28788199,23.57,23.5706,23.555,23.5689,39120.0
28788200,23.5554,23.58,23.5554,23.5746,133714.0
28788201,23.5785,23.58,23.5663,23.58,38832.0
28788202,23.575,23.59,23.5618,23.5649,253040.0
28788203,23.5788,23.585,23.57,23.575,38102.0
28788204,23.58,23.585,23.57,23.575,120218.0
28788205,23.5835,23.59,23.5717,23.585,39780.0
28788206,23.585,23.6,23.57,23.585,215920.0
28788207,23.589,23.59,23.5762,23.5813,22380.0
28788208,23.585,23.59,23.5771,23.585,65866.0
28788209,23.5829,23.59,23.58,23.585,17469.0
28788210,23.5818,23.64,23.58,23.6036,717168.0
28788211,23.5981,23.62,23.5946,23.61,143558.0
28788212,23.62,23.63,23.5965,23.62,117890.0
28788213,23.62,23.64,23.6006,23.625,161224.0
28788214,23.6266,23.64,23.6021,23.6201,169000.0
28788215,23.61,23.62,23.6022,23.6188,65848.0
28788216,23.615,23.62,23.59,23.6174,136258.0
28788217,23.5943,23.613,23.58,23.59,99629.0
28788218,23.59,23.6075,23.58,23.594,55711.0
28788219,23.6052,23.6052,23.57,23.585,55370.0
28788220,23.5925,23.6059,23.575,23.6,313459.0
28788221,23.6,23.61,23.5897,23.5915,171824.0
28788222,23.6032,23.6099,23.58,23.585,120348.0
28788223,23.5899,23.5958,23.56,23.567,163148.0
28788224,23.5704,23.5907,23.55,23.555,273934.0
28788225,23.5573,23.5806,23.55,23.5574,173203.0
28788226,23.57,23.5783,23.55,23.555,105327.0
28788227,23.595,23.605,23.5623,23.5884,177406.0
28788228,23.5821,23.62,23.5666,23.6188,117460.0
28788229,23.615,23.62,23.583,23.62,13334.0
28788230,23.615,23.64,23.5834,23.6206,1014722.0
28788231,23.5995,23.6152,23.59,23.59,28554.0
28788232,23.6,23.6124,23.5,23.51,1359080.0
28788233,23.5069,23.5103,23.5,23.505,8736.0
28788234,23.505,23.5704,23.5,23.5127,504549.0
28788235,23.5127,23.5127,23.5127,23.5127,0.0
28788236,23.528,23.5626,23.52,23.555,491974.0
28788237,23.555,23.5565,23.5537,23.555,1423.0
28788238,23.555,23.56,23.5402,23.56,365294.0
28788239,23.5522,23.56,23.54,23.545,653190.0
28788240,23.555,23.59,23.54,23.5557,410933.0
28788241,23.55,23.6,23.54,23.55,838582.0
28788242,23.55,23.63,23.54,23.5458,419378.0
28788243,23.555,23.64,23.54,23.6,10214418.0
28788244,23.6,23.63,23.6,23.6095,2638.0
28788245,23.61,23.61,23.56,23.58,9506.0
28788246,23.58,23.59,23.58,23.58,4198.0
28788247,23.59,23.62,23.59,23.61,34978.0
28788248,23.61,23.63,23.61,23.63,3458.0
28788249,23.63,23.63,23.62,23.62,30786.0
28788250,23.63,23.63,23.6201,23.6299,4955.0
28788251,23.63,23.67,23.54,23.65,46613.0
28788252,23.635,23.64,23.6305,23.6399,499.0
28788253,23.635,23.67,23.63,23.67,26556.0
28788254,23.6995,23.7,23.6897,23.6897,8600.0
28788255,23.67,23.72,23.54,23.71,24841.0
28788256,23.75,23.76,23.75,23.76,6304.0
28788257,23.7505,23.79,23.7,23.74,23906.0
28788258,23.75,23.76,23.74,23.75,2670.0
28788259,23.75,23.76,23.74,23.76,5452.0
28788260,23.75,23.76,23.74,23.75,1319.0
28788261,23.76,23.76,23.74,23.75,19412.0
28788262,23.75,23.755,23.75,23.755,1030.0
28788263,23.75,23.77,23.73,23.75,45798.0
28788264,23.75,23.76,23.75,23.76,935.0
