timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,574.128,574.49,574.128,574.4,12394.0
28788148,574.49,574.8995,573.99,574.24,66902.0
28788149,573.735,574.6488,573.6212,573.95,22426.0
28788150,573.945,574.5787,573.38,573.5894,71782.0
28788151,573.9597,574.3178,573.8107,574.16,18766.0
28788152,574.1599,574.1687,573.42,574.1493,79516.0
28788153,573.08,573.09,572.92,573.081,8378.0
28788154,573.01,573.5612,572.74,573.165,46312.0
28788155,572.9988,573.4441,572.85,573.08,15140.0
28788156,572.91,573.7383,572.86,573.19,43208.0
28788157,573.7,573.76,573.2445,573.7109,1582.0
28788158,573.655,573.95,573.2533,573.475,28525.0
28788159,573.2857,573.325,573.2702,573.2702,246.0
28788160,572.91,573.4253,572.68,572.8419,48680.0
28788161,572.99,573.07,572.55,573.005,21118.0
28788162,573.45,573.7088,572.9951,573.37,12964.0
28788163,573.31,573.44,573.1392,573.39,11474.0
28788164,572.98,573.1902,572.73,572.92,25140.0
28788165,572.92,573.2251,572.73,572.825,9430.0
28788166,572.7843,573.1923,572.7843,572.99,16422.0
28788167,573.1099,573.26,572.862,573.08,12194.0
28788168,573.38,573.5,573.0351,573.29,18808.0
28788169,573.3,573.44,573.0737,573.37,14870.0
28788170,573.86,573.99,573.1945,573.6196,21524.0
28788171,573.6954,573.99,573.3856,573.61,17112.0
28788172,573.36,573.63,573.25,573.3996,27470.0
28788173,573.29,573.641,573.1484,573.2,11710.0
28788174,573.402,574.05,573.3574,573.885,37044.0
28788175,573.5637,574.04,573.4103,573.9741,13280.0
28788176,573.71,573.8841,573.43,573.69,11596.0
28788177,573.56,573.9,573.43,573.58,20258.0
28788178,573.47,573.6594,573.2255,573.47,8314.0
28788179,573.448,573.61,573.3444,573.61,20282.0
28788180,573.66,574.18,573.5948,574.1355,32803.0
28788181,574.1328,574.29,573.6072,574.175,24111.0
28788182,574.175,574.175,574.175,574.175,0.0
28788183,574.175,574.175,574.175,574.175,0.0
28788184,574.175,574.175,574.175,574.175,0.0
28788185,573.74,574.361,573.55,573.71,11049.0
28788186,573.7099,574.2927,573.32,573.73,28568.0
28788187,573.38,574.0336,573.13,573.1301,5716.0
28788188,573.1301,573.9939,573.0,573.26,38450.0
28788189,573.3732,573.9817,573.06,573.34,7208.0
28788190,573.2,573.9652,573.0,573.0601,28992.0
28788191,572.68,573.7141,572.59,572.7415,8534.0
28788192,572.67,573.6899,572.05,572.2,70520.0
28788193,572.54,572.7,572.0612,572.4723,34438.0
28788194,572.198,572.8216,572.04,572.5,30288.0
28788195,572.2766,572.3759,572.13,572.3588,15274.0
28788196,572.25,572.6348,571.6814,572.27,33098.0
28788197,572.1854,572.2395,571.85,571.975,7918.0
28788198,572.0,572.4623,571.82,572.2,19782.0
28788199,572.13,572.2248,572.0412,572.0883,10018.0
28788200,572.2,572.3529,571.98,571.98,20838.0
28788201,572.0819,572.15,572.0,572.065,12903.0
28788202,572.065,572.16,571.97,572.05,11910.0
28788203,571.8301,572.35,571.8301,572.1701,28270.0
28788204,572.2799,572.6971,572.051,572.625,44944.0
28788205,572.83,572.95,572.3208,572.88,5134.0
28788206,572.88,573.09,572.3638,572.8225,40040.0
28788207,572.246,572.6,572.0812,572.155,8642.0
28788208,572.1585,572.5777,571.96,572.1388,41460.0
28788209,572.2375,572.29,572.1064,572.1201,12206.0
28788210,572.16,572.3491,571.87,571.9567,21540.0
28788211,571.78,572.0354,571.69,571.85,2890.0
28788212,572.3013,572.3013,571.2,571.295,20786.0
28788213,571.295,572.0182,571.16,572.0154,19234.0
28788214,571.6,572.0131,571.2545,571.81,16012.0
28788215,571.635,571.8464,571.4156,571.5391,13298.0
28788216,571.61,571.8054,571.4208,571.6638,16106.0
28788217,571.7455,571.767613,571.5022,571.6823,21054.0
28788218,571.6933,571.71,571.57,571.6101,15806.0
28788219,571.5644,571.5644,571.24,571.445,14149.0
28788220,571.2888,571.5965,571.1601,571.28,15060.0
28788221,571.53,571.7,571.4058,571.4501,26414.0
28788222,571.545,571.6499,571.22,571.22,19045.0
28788223,571.37,571.5195,571.2012,571.32,41422.0
28788224,571.3199,571.5,571.29,571.439,23300.0
28788225,571.295,571.4458,571.07,571.1804,36104.0
28788226,571.1801,571.4202,571.18,571.2101,16315.0
28788227,570.8767,571.224,570.74,571.224,24178.0
28788228,570.82,571.1971,570.7797,570.9648,65150.0
28788229,570.56,570.9396,570.49,570.6312,17404.0
28788230,570.695,571.13,570.4201,570.8649,107200.0
28788231,570.59,570.8893,570.53,570.66,13373.0
28788232,570.8618,570.869,570.05,570.4599,95954.0
28788233,570.25,570.33,570.2,570.265,2406.0
28788234,570.265,571.1299,570.07,570.9,116544.0
28788235,570.9,570.9,570.9,570.9,0.0
28788236,569.3857,570.1955,568.0,568.1508,258184.0
28788237,567.56,567.61,567.51,567.54,8828.0
28788238,568.33,568.7839,567.9511,568.26,63906.0
28788239,568.28,568.746,567.97,568.2,208384.0
28788240,568.14,568.99,568.1,568.345,93053.0
28788241,568.345,569.145,567.6,568.49,204902.0
28788242,568.32,568.68,568.12,568.15,12516.0
28788243,568.15,569.145,568.08,568.6799,3337766.0
28788244,568.61,569.0,568.61,568.99,394.0
28788245,568.9,568.99,568.31,568.99,2828.0
28788246,568.99,568.99,568.9,568.9,152.0
28788247,569.0299,569.03,568.8,568.94,2494.0
28788248,568.85,568.88,568.85,568.88,684.0
28788249,568.97,569.0,568.61,568.61,5776.0
28788250,568.6,568.6,568.595,568.595,28.0
28788251,568.6,569.0,568.31,568.99,5824.0
28788252,568.88,568.88,568.6,568.6,45.0
28788253,568.7,568.87,568.5,568.8,1469.0
28788254,568.5,568.5,568.46,568.5,375.0
28788255,568.5,568.87,568.31,568.51,363.0
28788256,568.55,568.74,568.4,568.74,448.0
28788257,568.55,568.55,568.3,568.36,1981.0
28788258,568.5,568.5,568.4,568.4,211.0
28788259,568.42,568.5,568.4,568.5,664.0
28788260,568.31,568.525,568.31,568.45,90.0
28788261,568.51,568.51,568.0,568.1,4219.0
28788262,568.1,568.1,568.1,568.1,0.0
28788263,568.19,568.28,568.0,568.27,1534.0
28788264,568.27,568.27,568.27,568.27,0.0
28788265,568.24,568.5,568.207,568.2215,1476.0
28788266,568.51,568.62,568.5,568.62,127.0
28788267,568.62,568.81,568.415,568.6,918.0
28788268,568.63,568.7,568.63,568.7,55.0
28788269,568.7,568.8,568.53,568.79,468.0
28788270,568.79,568.79,568.79,568.79,0.0
28788271,568.8,568.88,568.62,568.7899,863.0
28788272,568.7899,568.7899,568.7899,568.7899,0.0
28788273,568.7,568.79,568.62,568.7764,431.0
28788274,568.7764,568.7764,568.7764,568.7764,0.0
28788275,568.78,568.79,568.62,568.62,884.0
28788276,568.62,568.62,568.62,568.62,0.0
28788277,568.65,568.77,568.65,568.685,226.0
28788278,568.685,568.685,568.685,568.685,0.0
28788279,568.67,568.67,568.53,568.6599,1678.0
28788280,568.6599,568.6599,568.6599,568.6599,0.0
28788281,568.66,568.67,568.5394,568.65,130.0
28788282,568.65,568.65,568.65,568.65,0.0
28788283,568.66,568.67,568.56,568.67,755.0
28788284,568.67,568.67,568.67,568.67,0.0
28788285,568.79,568.79,568.6,568.69,103.0
28788286,568.69,568.69,568.69,568.69,0.0
28788287,568.7,568.79,568.5911,568.7,362.0
28788288,568.7,568.7,568.7,568.7,0.0
28788289,568.6997,568.6997,568.47,568.53,487.0
28788290,568.53,568.53,568.53,568.53,0.0
28788291,568.7,568.7,568.54,568.6,174.0
28788292,568.6,568.6,568.31,568.31,200907.0
28788293,568.69,568.69,568.62,568.69,219.0
28788294,568.69,568.69,568.62,568.62,6.0
28788295,568.69,568.7,568.54,568.5401,82.0
28788296,568.62,568.62,568.53,568.5965,260.0
28788297,568.53,568.7,568.46,568.69,660.0
28788298,568.7,568.97,568.61,568.9,3192.0
28788299,568.8,569.28,568.8,569.28,1324.0
28788300,569.0,569.28,569.0,569.002,318.0
28788301,569.14,569.28,569.0,569.14,165.0
28788302,569.14,569.28,569.0,569.14,308.0
28788303,569.266,569.266,569.0,569.14,213.0
28788304,569.14,569.14,569.0,569.1,69.0
28788305,569.0,569.14,568.31,568.31,178452.0
28788306,569.02,569.1615,569.02,569.1615,101.0
28788307,569.14,569.17,569.0,569.0,324.0
28788308,569.085,569.17,569.0,569.08,104.0
28788309,569.11,569.14,568.975,569.0,376.0
28788310,569.0,569.1,568.85,569.0,178.0
28788311,568.975,569.0,568.85,569.0,100.0
28788312,569.0,569.1,568.96,568.97,2263.0
28788313,569.03,569.1,568.96,569.0982,92.0
28788314,568.97,569.1,568.96,568.96,719.0
28788315,569.065,569.17,567.1052,569.1,80.0
28788316,569.065,569.17,569.065,569.1,29.0
28788317,569.13,569.17,568.96,569.0,46.0
28788318,569.13,569.15,567.1052,569.1,174.0
28788319,569.09,569.2,568.96,569.2,330.0
28788320,569.17,569.49,569.02,569.2,294.0
28788321,569.2,569.49,569.13,569.15,426.0
28788322,569.14,581.5722,569.1,581.5722,76.0
28788323,569.1,569.15,569.05,569.14,181.0
28788324,569.14,569.14,569.07,569.14,1776.0
28788325,569.105,569.15,569.1,569.15,288.0
