timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,431.5899,431.6988,431.54,431.65,5648.0
28788148,431.62,431.71,431.5178,431.675,14928.0
28788149,431.585,431.7,431.585,431.66,8485.0
28788150,431.71,431.76,431.53,431.54,23186.0
28788151,431.67,431.7699,431.5999,431.7688,2950.0
28788152,431.7688,431.77,431.5858,431.6026,17510.0
28788153,431.699,431.74,431.68,431.74,1115.0
28788154,431.74,431.74,431.59,431.6301,17985.0
28788155,431.6658,431.6888,431.6116,431.65,1224.0
28788156,431.64,431.8099,431.62,431.77,22908.0
28788157,431.8,431.82,431.6712,431.6712,5249.0
28788158,431.705,431.758,431.49,431.52,26968.0
28788159,431.44,431.6217,431.427,431.45,302.0
28788160,431.28,431.5053,431.21,431.4938,31016.0
28788161,431.3,431.58,431.2595,431.54,26070.0
28788162,431.56,431.65,431.4204,431.5099,53768.0
28788163,431.6326,431.8599,431.4617,431.6108,17074.0
28788164,431.8399,431.84,431.5046,431.7651,12152.0
28788165,431.77,431.88,431.5268,431.838228,10310.0
28788166,431.975,432.02,431.6155,431.9159,10695.0
28788167,431.8799,431.9241,431.6181,431.87,5256.0
28788168,431.92,432.0,431.6293,431.94,16600.0
28788169,431.8641,432.0,431.8641,431.9988,3900.0
28788170,431.9929,432.0399,431.7263,431.86,8444.0
28788171,431.89,431.9862,431.7781,431.9,10608.0
28788172,431.91,431.96,431.8024,431.8694,4354.0
28788173,431.8049,431.9105,431.77,431.8532,8588.0
28788174,431.91,431.97,431.86,431.9039,6018.0
28788175,431.9039,431.96,431.85,431.93,8420.0
28788176,431.8916,431.93,431.8,431.835,11194.0
28788177,431.8475,431.8968,431.78,431.79,6034.0
28788178,431.85,431.9,431.7614,431.85,4086.0
28788179,431.8888,431.96,431.757,431.95,7084.0
28788180,432.0399,432.11,431.8304,432.06,8444.0
28788181,432.1,432.1,431.8506,431.97,9750.0
28788182,431.97,431.97,431.97,431.97,0.0
28788183,431.97,431.97,431.97,431.97,0.0
28788184,431.97,431.97,431.97,431.97,0.0
28788185,432.18,432.2188,431.9804,432.1366,7981.0
28788186,432.1787,432.24,431.9844,432.2,11598.0
28788187,432.1728,432.1999,432.13,432.1448,3004.0
28788188,432.165,432.21,432.0689,432.11,8924.0
28788189,432.0799,432.1633,432.0,432.0114,6135.0
28788190,432.02,432.1402,431.99,432.0825,17736.0
28788191,432.008,432.07,432.008,432.0699,3926.0
28788192,432.01,432.1176,431.9019,431.9294,16732.0
28788193,432.0288,432.0909,431.9241,432.0,5628.0
28788194,432.0262,432.0899,431.9212,431.945,16684.0
28788195,431.97,432.0455,431.86,431.914,9451.0
28788196,431.935,432.0411,431.8528,431.8821,12886.0
28788197,432.06,432.08,431.9601,431.9708,11550.0
28788198,431.9682,432.06,431.93,431.9688,10098.0
28788199,431.9299,431.988,431.8275,431.8506,7200.0
28788200,431.953,431.9807,431.75,431.9419,21860.0
28788201,431.845,431.9302,431.8101,431.855,7480.0
28788202,431.88,432.0299,431.811,431.97,20466.0
28788203,431.9388,432.02,431.8801,432.02,7227.0
28788204,432.02,432.0225,431.9,431.96,23743.0
28788205,432.03,432.04,431.94,431.9639,1626.0
28788206,431.9892,432.01,431.88,431.926,14646.0
28788207,431.934,432.0,431.918,431.9618,4774.0
28788208,431.9401,431.9988,431.87,431.955,11650.0
28788209,431.99,432.0,431.9112,431.92,3968.0
28788210,431.93,431.99,431.86,431.93,18062.0
28788211,431.91,431.94,431.8812,431.9,1324.0
28788212,431.9048,431.945,431.88,431.9031,5538.0
28788213,431.96,432.04,431.9333,432.02,14350.0
28788214,432.0338,432.14,431.9394,432.085,30622.0
28788215,432.075,432.12,431.51,431.8993,121284.0
28788216,431.82,431.9421,431.47,431.6449,90650.0
28788217,431.82,431.91,431.7501,431.81,47614.0
28788218,431.805,432.16,431.76,432.14,37906.0
28788219,431.835,431.98,431.78,431.8675,16164.0
28788220,431.98,432.0,431.81,431.8461,14666.0
28788221,432.045,432.15,431.8977,432.08,8189.0
28788222,432.07,432.1199,431.87,431.9933,14249.0
28788223,432.0,432.0283,431.85,431.94,15049.0
28788224,431.9446,431.99,431.87,431.9899,15368.0
28788225,431.995,432.04,431.8826,431.94,23221.0
28788226,431.9869,432.0056,431.7,431.7001,38405.0
28788227,431.6174,431.8846,431.52,431.56,12064.0
28788228,431.555,431.8816,431.52,431.7563,58078.0
28788229,431.74,431.9088,431.73,431.8425,5070.0
28788230,431.86,432.07,431.7418,431.845,59146.0
28788231,431.9006,431.926,431.8372,431.88,6040.0
28788232,431.88,431.96,431.5201,431.6499,72016.0
28788233,431.57,431.59,431.57,431.57,1178.0
