timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,5.735,5.7388,5.73,5.7312,2586.0
28788148,5.7307,5.74,5.73,5.7306,22634.0
28788149,5.73,5.74,5.73,5.735,1704.0
28788150,5.735,5.74,5.73,5.7394,10354.0
28788151,5.735,5.75,5.73,5.7364,460536.0
28788152,5.734,5.74,5.7225,5.73,142564.0
28788153,5.7363,5.7363,5.7303,5.7303,89.0
28788154,5.73,5.74,5.73,5.7399,13991.0
28788155,5.7348,5.735,5.7306,5.7306,1428.0
28788156,5.735,5.74,5.73,5.7302,26490.0
28788157,5.73,5.74,5.73,5.7361,2603.0
28788158,5.7355,5.74,5.725,5.725,26028.0
28788159,5.725,5.725,5.725,5.725,0.0
28788160,5.7202,5.7351,5.72,5.725,2651.0
28788161,5.725,5.7299,5.72,5.725,6557.0
28788162,5.722,5.7296,5.72,5.725,6952.0
28788163,5.72,5.73,5.72,5.7225,3009.0
28788164,5.7273,5.73,5.72,5.725,16062.0
28788165,5.7295,5.74,5.7212,5.7394,44284.0
28788166,5.735,5.74,5.7293,5.7388,12340.0
28788167,5.735,5.74,5.73,5.74,6527.0
28788168,5.735,5.7379,5.7292,5.735,4586.0
28788169,5.7293,5.7383,5.7293,5.735,12725.0
28788170,5.73,5.7352,5.7212,5.725,56396.0
28788171,5.7201,5.7303,5.72,5.725,4490.0
28788172,5.735,5.74,5.73,5.735,8579.0
28788173,5.7306,5.74,5.7301,5.735,31350.0
28788174,5.7393,5.74,5.7301,5.74,8499.0
28788175,5.74,5.74,5.731,5.74,11725.0
28788176,5.7399,5.7399,5.73,5.73,2960.0
28788177,5.7379,5.7398,5.72,5.72,10874.0
28788178,5.7299,5.7313,5.72,5.72,15242.0
28788179,5.725,5.7311,5.72,5.7311,7461.0
28788180,5.7121,5.7247,5.71,5.7175,24715.0
28788181,5.7112,5.7266,5.71,5.71,25494.0
28788182,5.71,5.71,5.71,5.71,0.0
28788183,5.71,5.71,5.71,5.71,0.0
28788184,5.71,5.71,5.71,5.71,0.0
28788185,5.71,5.7156,5.71,5.71,14079.0
28788186,5.7107,5.72,5.71,5.715,17503.0
28788187,5.7194,5.72,5.71,5.7147,2803.0
28788188,5.715,5.72,5.71,5.7188,12311.0
28788189,5.7151,5.72,5.71,5.715,8477.0
28788190,5.715,5.72,5.71,5.715,27401.0
28788191,5.7114,5.72,5.71,5.715,11632.0
28788192,5.72,5.72,5.71,5.715,15377.0
28788193,5.7131,5.72,5.71,5.72,916.0
28788194,5.715,5.72,5.71,5.715,22867.0
28788195,5.715,5.72,5.71,5.7146,10172.0
28788196,5.7147,5.72,5.71,5.7188,6001.0
28788197,5.7164,5.72,5.71,5.72,34042.0
28788198,5.72,5.72,5.71,5.7171,17816.0
28788199,5.715,5.72,5.71,5.715,6090.0
28788200,5.715,5.72,5.71,5.715,13459.0
28788201,5.71,5.7188,5.71,5.7162,3183.0
28788202,5.71,5.72,5.71,5.7101,15859.0
28788203,5.71,5.72,5.71,5.715,11037.0
28788204,5.715,5.72,5.71,5.715,16974.0
28788205,5.69,5.7019,5.69,5.695,4043.0
28788206,5.69,5.7062,5.68,5.686,98345.0
28788207,5.69,5.71,5.68,5.68,92588.0
28788208,5.6801,5.699,5.67,5.671853,91181.0
28788209,5.6792,5.68,5.67,5.6789,7437.0
28788210,5.6789,5.6935,5.67,5.68,34277.0
28788211,5.6713,5.6858,5.67,5.675,14170.0
28788212,5.675,5.68,5.67,5.6765,10374.0
28788213,5.67,5.68,5.67,5.68,6200.0
28788214,5.6712,5.6829,5.66,5.665,41735.0
28788215,5.6664,5.6754,5.66,5.66,15670.0
28788216,5.665,5.69,5.6638,5.6851,167642.0
28788217,5.6727,5.68,5.67,5.675,13426.0
28788218,5.68,5.68,5.67,5.67,26997.0
28788219,5.6899,5.69,5.6743,5.6744,17100.0
28788220,5.6812,5.6899,5.6706,5.675,37235.0
28788221,5.675,5.6768,5.67,5.6742,4215.0
28788222,5.673,5.68,5.66,5.6605,91076.0
28788223,5.665,5.6688,5.66,5.6617,8762.0
28788224,5.66,5.6733,5.66,5.665,39616.0
28788225,5.665,5.67,5.66,5.669,28013.0
28788226,5.67,5.673,5.66,5.665,41615.0
28788227,5.665,5.6715,5.6631,5.665,8138.0
28788228,5.6715,5.68,5.66,5.675,140343.0
28788229,5.671,5.6799,5.6695,5.67,6656.0
28788230,5.6718,5.68,5.6693,5.6723,98792.0
28788231,5.6711,5.6711,5.66,5.661,15141.0
28788232,5.66,5.6708,5.66,5.6674,132680.0
28788233,5.665,5.665,5.665,5.665,300.0
28788234,5.66,5.67,5.66,5.665,180061.0
28788235,5.665,5.665,5.665,5.665,0.0
28788236,5.665,5.67,5.66,5.665,254474.0
28788237,5.665,5.665,5.6649,5.6649,1832.0
28788238,5.66,5.6683,5.66,5.66,53293.0
28788239,5.665,5.67,5.65,5.66,512353.0
28788240,5.65,5.66,5.64,5.66,361346.0
28788241,5.655,5.68,5.65,5.67,87857.0
28788242,5.655,5.7,5.65,5.655,14166.0
28788243,5.655,5.7,5.64,5.7,52978.0
28788244,5.69,5.69,5.69,5.69,98.0
28788245,5.69,5.69,5.63,5.6304,69810.0
28788246,5.6595,5.66,5.6595,5.66,3.0
28788247,5.655,5.66,5.6505,5.66,24285.0
