timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,123.36,123.39,123.2921,123.3737,94704.0
28788148,123.375,123.54,123.2935,123.5288,1398746.0
28788149,123.545,123.6,123.3708,123.59,281134.0
28788150,123.595,123.6,123.3875,123.535,589904.0
28788151,123.5254,123.5403,123.49,123.5093,125714.0
28788152,123.5093,123.53,123.4197,123.5,544498.0
28788153,123.41,123.5078,123.402,123.4107,54848.0
28788154,123.415,123.5032,123.36,123.43,498784.0
28788155,123.41,123.4655,123.4,123.42,34223.0
28788156,123.4127,123.4691,123.38,123.43,397023.0
28788157,123.406,123.4726,123.32,123.3295,197994.0
28788158,123.326,123.4699,123.31,123.335,518042.0
28788159,123.3488,123.3498,123.34,123.3407,9722.0
28788160,123.3712,123.4234,123.3567,123.4,266507.0
28788161,123.4005,123.42,123.35,123.415,162966.0
28788162,123.4299,123.45,123.3698,123.445,155527.0
28788163,123.45,123.48,123.3835,123.4305,199354.0
28788164,123.4,123.49,123.39,123.4188,143972.0
28788165,123.4105,123.4499,123.3944,123.44,143976.0
28788166,123.5395,123.57,123.4138,123.52,213810.0
28788167,123.5201,123.58,123.4191,123.56,234175.0
28788168,123.5588,123.564,123.4572,123.5006,283932.0
28788169,123.505,123.5493,123.4645,123.5206,148152.0
28788170,123.5105,123.5431,123.488,123.5279,148597.0
28788171,123.5206,123.54,123.47,123.495,217914.0
28788172,123.475,123.5205,123.44,123.47,197242.0
28788173,123.47,123.52,123.45,123.4701,142854.0
28788174,123.5115,123.55,123.4931,123.525,81804.0
28788175,123.525,123.5467,123.47,123.51,201442.0
28788176,123.4921,123.5161,123.44,123.445,173134.0
28788177,123.445,123.512,123.37,123.3708,403284.0
28788178,123.4079,123.4652,123.3667,123.45,179914.0
28788179,123.3871,123.49,123.3869,123.48,234792.0
28788180,123.4305,123.46,123.4,123.455,184002.0
28788181,123.455,123.46,123.34,123.415,292540.0
28788182,123.415,123.415,123.415,123.415,0.0
28788183,123.415,123.415,123.415,123.415,0.0
28788184,123.415,123.415,123.415,123.415,0.0
28788185,123.4746,123.52,123.4097,123.515,231512.0
28788186,123.515,123.52,123.4156,123.472,244730.0
28788187,123.45,123.4741,123.4272,123.45,69706.0
28788188,123.445,123.47,123.36,123.3992,440129.0
28788189,123.495,123.5098,123.4274,123.47,195790.0
28788190,123.4348,123.54,123.4323,123.5105,351526.0
28788191,123.495,123.502,123.4479,123.475,59704.0
28788192,123.4794,123.5046,123.44,123.4501,183260.0
28788193,123.44,123.48,123.4186,123.4599,127466.0
28788194,123.45,123.47,123.39,123.425,227444.0
28788195,123.325,123.4423,123.31,123.34,114315.0
28788196,123.3492,123.4399,123.21,123.2699,288074.0
28788197,123.335,123.3955,123.2976,123.3458,91413.0
28788198,123.35,123.405,123.2952,123.405,116454.0
28788199,123.435,123.48,123.3387,123.4602,101717.0
28788200,123.4661,123.49,123.3452,123.415,212776.0
28788201,123.455,123.49,123.3773,123.4605,71274.0
28788202,123.4612,123.52,123.389,123.4701,215369.0
28788203,123.385,123.45,123.37,123.44,71461.0
28788204,123.43,123.46,123.3921,123.4206,153613.0
