timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,144.6055,144.6105,144.602,144.604,0.0
28788148,144.6035,144.607,144.597,144.602,0.0
28788149,144.5885,144.591,144.585,144.5895,0.0
28788150,144.59,144.5955,144.5815,144.5955,0.0
28788151,144.604,144.6165,144.604,144.612,0.0
28788152,144.611,144.6175,144.61,144.6165,0.0
28788153,144.6275,144.635,144.6275,144.6345,0.0
28788154,144.6345,144.6455,144.632,144.6455,0.0
28788155,144.644,144.646,144.6435,144.6445,0.0
28788156,144.647,144.657,144.6425,144.6525,0.0
28788157,144.636,144.636,144.636,144.636,0.0
28788158,144.637,144.653,144.628,144.647,0.0
28788159,144.647,144.647,144.647,144.647,0.0
28788160,144.658,144.6595,144.645,144.647,0.0
28788161,144.6465,144.654,144.6445,144.647,0.0
28788162,144.664,144.667,144.663,144.665,0.0
28788163,144.6645,144.6665,144.6455,144.6455,0.0
28788164,144.655,144.6565,144.654,144.656,0.0
28788165,144.657,144.675,144.6565,144.6685,0.0
28788166,144.679,144.683,144.6685,144.674,0.0
28788167,144.679,144.683,144.678,144.678,0.0
28788168,144.6825,144.695,144.6785,144.6945,0.0
28788169,144.694,144.6955,144.683,144.695,0.0
28788170,144.6915,144.707,144.6885,144.707,0.0
28788171,144.706,144.7125,144.7055,144.707,0.0
28788172,144.7065,144.7085,144.6955,144.6985,0.0
28788173,144.6975,144.705,144.6955,144.703,0.0
28788174,144.699,144.704,144.6885,144.7035,0.0
28788175,144.703,144.7075,144.6995,144.7055,0.0
28788176,144.6965,144.697,144.6855,144.6865,0.0
28788177,144.6845,144.687,144.671,144.6815,0.0
28788178,144.691,144.6935,144.6845,144.689,0.0
28788179,144.6895,144.6955,144.6865,144.6865,0.0
28788180,144.717,144.7235,144.715,144.717,0.0
28788181,144.7175,144.721,144.7125,144.715,0.0
28788182,144.715,144.715,144.715,144.715,0.0
28788183,144.715,144.715,144.715,144.715,0.0
28788184,144.715,144.715,144.715,144.715,0.0
28788185,144.68,144.6805,144.6735,144.6795,0.0
28788186,144.6875,144.6945,144.685,144.6925,0.0
28788187,144.6555,144.658,144.6545,144.6545,0.0
28788188,144.655,144.6585,144.651,144.655,0.0
28788189,144.6645,144.6665,144.6625,144.663,0.0
28788190,144.664,144.6665,144.659,144.6635,0.0
28788191,144.643,144.6535,144.6335,144.6535,0.0
28788192,144.6515,144.655,144.6425,144.6445,0.0
28788193,144.6535,144.6535,144.6495,144.65,0.0
28788194,144.652,144.6535,144.6345,144.651,0.0
28788195,144.644,144.644,144.637,144.638,0.0
28788196,144.639,144.645,144.637,144.644,0.0
28788197,144.632,144.633,144.625,144.6255,0.0
28788198,144.6255,144.628,144.6175,144.6205,0.0
28788199,144.6195,144.6235,144.6195,144.6215,0.0
28788200,144.621,144.622,144.611,144.6185,0.0
28788201,144.6335,144.6345,144.6315,144.632,0.0
28788202,144.633,144.6355,144.631,144.632,0.0
28788203,144.631,144.635,144.6285,144.635,0.0
28788204,144.634,144.6355,144.6285,144.631,0.0
28788205,144.6365,144.6435,144.635,144.6435,0.0
28788206,144.6395,144.652,144.6395,144.6505,0.0
28788207,144.646,144.648,144.644,144.6445,0.0
28788208,144.6435,144.6545,144.6425,144.652,0.0
28788209,144.667,144.667,144.664,144.666,0.0
28788210,144.667,144.6875,144.664,144.677,0.0
28788211,144.6735,144.6775,144.672,144.6725,0.0
28788212,144.672,144.677,144.6705,144.672,0.0
28788213,144.6765,144.6835,144.676,144.6765,0.0
28788214,144.676,144.6795,144.6705,144.673,0.0
28788215,144.6745,144.694,144.6725,144.6895,0.0
28788216,144.689,144.708,144.689,144.7065,0.0
28788217,144.7075,144.7075,144.701,144.706,0.0
28788218,144.705,144.7085,144.702,144.703,0.0
28788219,144.7065,144.7165,144.7045,144.709,0.0
28788220,144.7055,144.717,144.705,144.7165,0.0
28788221,144.715,144.719,144.7145,144.716,0.0
28788222,144.715,144.7165,144.706,144.708,0.0
28788223,144.713,144.716,144.7125,144.715,0.0
28788224,144.717,144.723,144.717,144.7225,0.0
28788225,144.73,144.7385,144.729,144.734,0.0
28788226,144.734,144.736,144.7335,144.7345,0.0
28788227,144.741,144.7495,144.741,144.7475,0.0
28788228,144.746,144.7475,144.7335,144.738,0.0
28788229,144.74,144.7405,144.7385,144.7395,0.0
28788230,144.746,144.748,144.7385,144.7405,0.0
28788231,144.7395,144.7395,144.7385,144.739,0.0
28788232,144.74,144.7455,144.7365,144.743,0.0
28788233,144.762,144.762,144.761,144.7615,0.0
28788234,144.7615,144.768,144.727,144.7395,0.0
28788235,144.7395,144.7395,144.7395,144.7395,0.0
28788236,144.744,144.767,144.741,144.757,0.0
28788237,144.757,144.757,144.757,144.757,0.0
28788238,144.7655,144.7675,144.7625,144.764,0.0
28788239,144.763,144.7655,144.7575,144.7595,0.0
28788240,144.7595,144.765,144.7595,144.76,0.0
28788241,144.758,144.767,144.7525,144.758,0.0
28788242,144.767,144.7795,144.7585,144.7795,0.0
28788243,144.779,144.7905,144.7515,144.7875,0.0
28788244,144.799,144.8185,144.7905,144.7995,0.0
28788245,144.7995,144.817,144.7995,144.817,0.0
28788246,144.807,144.8125,144.807,144.81,0.0
28788247,144.8105,144.8275,144.8075,144.8275,0.0
28788248,144.826,144.827,144.808,144.825,0.0
28788249,144.8265,144.829,144.8195,144.8195,0.0
28788250,144.8325,144.8325,144.8315,144.832,0.0
28788251,144.8325,144.8375,144.82,144.8375,0.0
28788252,144.8325,144.839,144.8325,144.839,0.0
28788253,144.837,144.8395,144.829,144.8385,0.0
28788254,144.8385,144.8385,144.8385,144.8385,0.0
28788255,144.834,144.8355,144.832,144.835,0.0
28788256,144.834,144.8365,144.834,144.8365,0.0
28788257,144.833,144.8345,144.8295,144.8335,0.0
28788258,144.828,144.8325,144.8275,144.8315,0.0
28788259,144.833,144.843,144.83,144.842,0.0
28788260,144.844,144.844,144.843,144.8435,0.0
28788261,144.843,144.843,144.8385,144.841,0.0
28788262,144.8335,144.8335,144.8335,144.8335,0.0
28788263,144.8325,144.843,144.8325,144.843,0.0
28788264,144.837,144.837,144.8365,144.8365,0.0
28788265,144.837,144.841,144.8345,144.8355,0.0
28788266,144.8375,144.8375,144.8375,144.8375,0.0
28788267,144.836,144.836,144.824,144.8295,0.0
28788268,144.827,144.8295,144.827,144.8295,0.0
28788269,144.8275,144.8305,144.809,144.8095,0.0
28788270,144.8095,144.8095,144.8095,144.8095,0.0
28788271,144.8005,144.8015,144.7945,144.798,0.0
28788272,144.798,144.798,144.798,144.798,0.0
28788273,144.793,144.814,144.793,144.812,0.0
28788274,144.812,144.812,144.812,144.812,0.0
28788275,144.812,144.822,144.812,144.8215,0.0
28788276,144.8215,144.8215,144.8215,144.8215,0.0
28788277,144.812,144.812,144.805,144.8075,0.0
28788278,144.8075,144.8075,144.8075,144.8075,0.0
28788279,144.8015,144.8045,144.7995,144.8015,0.0
28788280,144.8015,144.8015,144.8015,144.8015,0.0
28788281,144.8035,144.804,144.8,144.8015,0.0
28788282,144.8,144.8015,144.8,144.8015,0.0
28788283,144.7955,144.798,144.7955,144.7975,0.0
28788284,144.7975,144.7975,144.7975,144.7975,0.0
28788285,144.8015,144.8015,144.7985,144.8,0.0
28788286,144.8005,144.8005,144.798,144.799,0.0
28788287,144.7955,144.799,144.785,144.799,0.0
28788288,144.7925,144.793,144.792,144.792,0.0
28788289,144.79,144.792,144.781,144.782,0.0
28788290,144.7825,144.783,144.769,144.769,0.0
28788291,144.78,144.7835,144.769,144.78,0.0
28788292,144.7795,144.7795,144.7785,144.7795,0.0
28788293,144.768,144.7685,144.767,144.768,0.0
28788294,144.766,144.766,144.766,144.766,0.0
28788295,144.7575,144.758,144.746,144.747,0.0
28788296,144.749,144.763,144.747,144.7535,0.0
28788297,144.753,144.7565,144.747,144.747,0.0
28788298,144.7505,144.7565,144.7435,144.7525,0.0
28788299,144.7525,144.76,144.7455,144.757,0.0
28788300,144.757,144.757,144.757,144.757,0.0
28788301,144.757,144.757,144.757,144.757,0.0
28788302,144.757,144.757,144.757,144.757,0.0
28788303,144.757,144.757,144.757,144.757,0.0
28788304,144.757,144.757,144.709,144.71,0.0
28788305,144.709,144.719,144.7035,144.7035,0.0
28788306,144.7085,144.715,144.7035,144.715,0.0
28788307,144.715,144.715,144.715,144.715,0.0
28788308,144.7155,144.7155,144.7145,144.7145,0.0
28788309,144.7145,144.7145,144.7145,144.7145,0.0
28788310,144.7145,144.7145,144.7145,144.7145,0.0
28788311,144.714,144.714,144.714,144.714,0.0
28788312,144.712,144.7235,144.712,144.713,0.0
28788313,144.7135,144.7285,144.7135,144.7275,0.0
28788314,144.7315,144.7365,144.729,144.7355,0.0
28788315,144.734,144.735,144.7245,144.732,0.0
28788316,144.7295,144.731,144.726,144.726,0.0
28788317,144.7255,144.731,144.7255,144.7275,0.0
28788318,144.7315,144.738,144.7275,144.728,0.0
28788319,144.7265,144.7265,144.693,144.693,0.0
28788320,144.6925,144.7075,144.6925,144.701,0.0
28788321,144.699,144.7035,144.6895,144.69,0.0
28788322,144.6895,144.6895,144.6865,144.6875,0.0
