timestamp(min since Epoch),open price,max price,min price,close price,total volume
28788147,255.93,255.98,255.7913,255.9511,9946.0
28788148,255.96,256.0,255.7978,255.984,86652.0
28788149,255.9835,256.01,255.96,255.99,25668.0
28788150,256.01,256.08,255.85,255.86,92411.0
28788151,255.82,255.926,255.7712,255.8012,15980.0
28788152,255.8499,255.98,255.78,255.95,103982.0
28788153,255.935,255.95,255.9171,255.9203,2770.0
28788154,255.94,256.0,255.81,255.975,67798.0
28788155,256.04,256.05,255.9659,255.9988,8976.0
28788156,255.98,256.046,255.93,256.0,45622.0
28788157,255.96,256.0,255.9,255.9157,26248.0
28788158,255.9,255.9694,255.76,255.7799,91903.0
28788159,255.81,255.82,255.7904,255.815,1672.0
28788160,255.8512,255.99,255.822,255.9888,85342.0
28788161,255.99,256.02,255.891,255.99,46122.0
28788162,256.05,256.05,255.9313,256.02,35802.0
28788163,256.02,256.04,255.8964,255.982,35533.0
28788164,255.8601,255.95,255.8301,255.89,23766.0
28788165,255.87,256.05,255.86,256.0128,62385.0
28788166,256.1812,256.28,256.0155,256.27,84069.0
28788167,256.2788,256.28,256.0183,256.22,63522.0
28788168,256.305,256.305,256.0721,256.165,65332.0
28788169,256.17,256.28,256.0898,256.24,67730.0
28788170,256.34,256.42,256.1633,256.3,117307.0
28788171,256.294117,256.306,256.1,256.155,72522.0
28788172,256.165,256.22,256.11,256.13,31222.0
28788173,256.1217,256.2405,256.0512,256.12,46360.0
28788174,256.1488,256.2,256.12,256.15,40936.0
28788175,256.15,256.21,256.07,256.16,55242.0
28788176,256.06,256.2073,255.9,255.9588,90070.0
28788177,255.925,256.1941,255.7782,255.792,104249.0
28788178,255.8688,256.0797,255.77,255.8888,66266.0
28788179,255.8897,256.0499,255.7814,256.035,73757.0
28788180,255.96,256.14,255.9513,256.06,66534.0
28788181,256.07,256.1285,255.8949,255.925,66502.0
28788182,255.925,255.925,255.925,255.925,0.0
28788183,255.925,255.925,255.925,255.925,0.0
28788184,255.925,255.925,255.925,255.925,0.0
28788185,256.08,256.1809,256.0601,256.1012,31993.0
28788186,256.11,256.1802,255.9924,256.07,63128.0
28788187,256.0181,256.1298,255.9801,256.06,71284.0
28788188,256.06,256.1399,256.02,256.055,45585.0
28788189,256.29,256.35,256.1722,256.28,127776.0
28788190,256.28,256.39,255.97,256.3401,120796.0
28788191,256.235,256.2956,256.19,256.24,24366.0
28788192,256.288,256.39,256.2276,256.37,118460.0
28788193,256.31,256.35,256.16,256.22,92398.0
28788194,256.235,256.3,256.12,256.19,109222.0
28788195,256.13,256.1576,255.87,255.9711,144392.0
28788196,255.9702,256.1999,255.96,256.05,149550.0
28788197,256.13,256.1868,255.9848,256.03,43934.0
28788198,256.03,256.1844,255.9748,255.9801,64753.0
28788199,256.0066,256.1601,255.97,256.0388,48304.0
28788200,256.02,256.21,256.0012,256.14,109678.0
28788201,256.125,256.1988,256.064,256.1901,21590.0
28788202,256.192,256.24,256.0758,256.2291,96098.0
28788203,256.2168,256.31,256.102,256.27,43428.0
28788204,256.28,256.35,256.1062,256.2506,122054.0
28788205,256.3217,256.4,256.1547,256.37,59825.0
28788206,256.37,256.43,256.166,256.375,114913.0
28788207,256.295,256.3699,256.2095,256.345,29982.0
28788208,256.3329,256.54,256.2571,256.5291,256199.0
28788209,256.28,256.3786,256.2201,256.24,45223.0
28788210,256.24,256.45,256.11,256.34,184644.0
28788211,256.26,256.3511,256.19,256.25,40795.0
28788212,256.25,256.3424,256.16,256.225,29885.0
28788213,256.271,256.29,256.1512,256.17,50392.0
28788214,256.1899,256.3165,256.11,256.21,95646.0
28788215,256.4425,256.47,256.2519,256.37,121068.0
28788216,256.36,256.4019,256.2788,256.34,62848.0
28788217,256.32,256.37,256.2703,256.3678,32144.0
28788218,256.35,256.37,256.2805,256.31,63987.0
28788219,256.2271,256.317,256.1912,256.27,71764.0
28788220,256.2481,256.3149,256.18,256.21,72516.0
28788221,256.2233,256.28,256.17,256.179,71256.0
28788222,256.189,256.27,255.94,255.9999,307747.0
28788223,256.04,256.2122,255.97,255.99,46059.0
28788224,256.005,256.1199,255.82,255.88,159718.0
28788225,256.0799,256.1502,255.9592,256.038,83942.0
28788226,256.0212,256.132,255.966,256.02,64507.0
28788227,256.0599,256.16,256.0037,256.1315,76839.0
28788228,256.145,256.31,256.0594,256.23,261584.0
28788229,256.175,256.2999,256.1239,256.26,32348.0
28788230,256.27,256.6175,256.1135,256.53,436666.0
28788231,256.6864,256.78,256.3899,256.77,50200.0
28788232,256.7789,256.87,256.2538,256.7,430734.0
28788233,256.7604,256.78,256.74,256.7799,11152.0
28788234,256.7641,257.01,256.4375,256.79,334937.0
28788235,256.79,256.79,256.79,256.79,0.0
28788236,256.7949,256.88,256.5675,256.84,223126.0
28788237,256.903,256.903,256.8702,256.89,4424.0
28788238,256.9,256.919,256.76,256.8292,177734.0
28788239,256.81,256.8947,256.6511,256.809,232408.0
28788240,257.0,257.05,256.78,256.84,190439.0
28788241,256.82,257.05,256.68,257.02,499834.0
28788242,256.97,257.1,256.79,256.97,54133.0
28788243,256.97,257.07,256.76,256.9912,3866073.0
28788244,256.95,257.07,256.95,257.01,3700.0
28788245,257.0,257.02,256.9,256.955,22868.0
28788246,256.945,256.99,256.8514,256.8514,7044.0
28788247,256.875,256.989,256.85,256.855,11678.0
28788248,256.76,256.8,256.73,256.74,2470.0
28788249,256.745,256.86,256.71,256.72,10226.0
28788250,256.71,256.73,256.7,256.7,275.0
28788251,256.71,257.02,256.7,256.739,202283.0
28788252,256.74,256.74,256.73,256.74,1162.0
28788253,256.73,256.74,256.73,256.74,1432.0
28788254,256.62,256.67,256.59,256.67,184.0
28788255,256.6,257.02,256.6,256.71,2576.0
28788256,256.71,256.71,256.67,256.71,284.0
28788257,256.71,256.7425,256.6,256.61,5946.0
28788258,256.655,256.7,256.6,256.7,211.0
28788259,256.65,256.7,256.55,256.57,13057.0
28788260,256.6,256.6,256.53,256.54,823.0
28788261,256.65,256.65,256.53,256.6073,2496.0
28788262,256.62,256.63,256.62,256.63,307.0
28788263,256.62,256.63,256.41,256.51,11912.0
28788264,256.47,256.5135,256.45,256.495,138.0
28788265,256.48,256.59,256.4,256.58,2610.0
28788266,256.5399,256.54,256.5399,256.54,66.0
28788267,256.54,256.59,256.53,256.57,4732.0
28788268,256.47,256.51,256.47,256.51,2500.0
28788269,256.48,256.59,256.4307,256.45,13235.0
28788270,256.45,256.45,256.44,256.45,169.0
28788271,256.44,256.45,256.44,256.44,4493.0
28788272,256.49,256.49,256.49,256.49,1.0
28788273,256.46,256.4998,256.4,256.49,3546.0
28788274,256.44,256.47,256.44,256.47,3.0
28788275,256.48,256.5,256.3,256.31,6149.0
28788276,256.31,256.31,256.31,256.31,0.0
28788277,256.3665,256.5,256.3,256.45,1731.0
28788278,256.45,256.45,256.45,256.45,0.0
28788279,256.36,256.5,256.31,256.4893,3587.0
28788280,256.4893,256.4893,256.4893,256.4893,0.0
28788281,256.41,256.5,256.3,256.32,1454.0
28788282,256.5,256.5,256.32,256.41,419.0
28788283,256.42,256.5,256.34,256.49,4689.0
