timestamp(min since Epoch),15min moving average,15min total volume
28788147,224.691753,13589.0
28788148,271.450827,65351.0
28788149,453.660313,77495.0
28788150,486.661717,134251.0
28788151,681.037204,143202.0
28788152,724.019669,195358.0
28788153,939.173034,197997.0
28788154,991.75888,242457.0
28788155,1156.135174,258190.0
28788156,1248.69493,291542.0
28788157,1460.839256,294532.0
28788158,1451.412957,350780.0
28788159,1676.155399,350799.0
28788160,1813.861332,370031.0
28788161,1971.013576,384371.0
28788162,2212.718051,381108.0
28788163,2658.728332,346477.0
28788164,2689.280173,373795.0
28788165,3226.494375,334898.0
28788166,3392.700688,341100.0
28788167,3990.579495,307314.0
28788168,4032.449335,322086.0
28788169,4730.155717,288285.0
28788170,4478.043451,320620.0
28788171,4884.316629,308142.0
28788172,4963.267548,317636.0
28788173,5773.002549,284157.0
28788174,5816.258643,293392.0
28788175,5941.404646,298516.0
28788176,6089.865677,302411.0
28788177,5803.514098,330130.0
28788178,6175.559849,321971.0
28788179,6700.909681,307037.0
28788180,6882.004702,309061.0
28788181,6987.814012,314507.0
28788182,7646.25987,296137.0
28788183,8348.871098,278726.0
28788184,8905.820063,268067.0
28788185,10730.844256,227240.0
28788186,11070.936145,224828.0
28788187,11735.214836,216247.0
28788188,11632.43267,222460.0
28788189,11644.166391,226614.0
28788190,12132.273662,221606.0
28788191,12806.793536,213688.0
28788192,12992.483789,214346.0
28788193,13081.641119,216611.0
28788194,13135.201267,219488.0
28788195,14007.843793,209175.0
28788196,14419.908659,206419.0
28788197,13878.972178,217999.0
28788198,13119.259566,234648.0
28788199,12722.38792,246325.0
28788200,12206.39917,261560.0
28788201,12713.336077,255656.0
28788202,11571.245145,286461.0
28788203,12052.930183,280246.0
28788204,10890.864408,316694.0
28788205,11360.336696,309744.0
28788206,10525.084912,341632.0
28788207,11542.353721,317720.0
28788208,11590.958905,322655.0
28788209,12332.130088,308903.0
28788210,11582.506524,335416.0
28788211,12232.579858,323547.0
28788212,12407.463768,324883.0
28788213,12167.523385,337537.0
28788214,11078.111266,378424.0
28788215,11280.576648,379204.0
28788216,10266.929331,425990.0
28788217,11015.603263,405328.0
28788218,11364.819495,400820.0
28788219,12314.542646,376803.0
28788220,12032.779581,392986.0
28788221,13129.120842,366460.0
28788222,13266.260225,368939.0
28788223,12865.856608,387203.0
28788224,12904.270756,392912.0
28788225,13587.83608,379439.0
28788226,12561.339782,417945.0
28788227,12484.542535,428247.0
28788228,11773.612133,462969.0
28788229,13195.994774,420244.0
28788230,10849.091485,521998.0
28788231,12096.994149,477039.0
28788232,10222.569525,577242.0
28788233,10687.64373,564023.0
28788234,8210.790323,754910.0
28788235,8759.527127,726329.0
28788236,7639.711825,858148.0
28788237,8006.027971,842642.0
28788238,7923.191349,876426.0
28788239,7100.25357,1010133.0
28788240,7129.797699,1038855.0
28788241,3238.832132,2458559.0
28788242,3367.218726,2535100.0
28788243,3311.400937,2766842.0
28788244,3548.667281,2757637.0
28788245,3925.851475,2645131.0
28788246,4171.670396,2632012.0
28788247,4576.287538,2524104.0
28788248,4811.674428,2519088.0
28788249,5485.558452,2304705.0
28788250,5707.775746,2306423.0
28788251,6042.82147,2263310.0
28788252,6273.844683,2261550.0
28788253,6690.925855,2194818.0
28788254,7413.261764,2043349.0
28788255,7827.06978,1992955.0
28788256,29716.220207,528961.0
28788257,36274.815885,436044.0
28788258,112857.916547,140435.0
28788259,109508.560199,145030.0
28788260,119203.514136,133488.0
28788261,114004.631653,139853.0
28788262,119515.911259,133657.0
28788263,108028.54806,148180.0
28788264,109987.405462,145841.0
28788265,19003.124414,854283.0
28788266,21869.413741,750081.0
28788267,22044.836141,751832.0
28788268,22311.818634,750449.0
28788269,22566.81318,749487.0
28788270,22821.146167,748559.0
28788271,23018.24218,749520.0
28788272,23456.12696,742695.0
28788273,23623.385247,744571.0
28788274,24016.788504,739343.0
28788275,24072.429051,744636.0
28788276,24548.035173,737005.0
28788277,24775.359663,736976.0
28788278,25500.60578,722429.0
28788279,25619.410403,725489.0
28788280,1212738.284497,15329.0
28788281,1218368.030324,15261.0
28788282,1376911.52311,13506.0
28788283,1221595.179747,15226.0
28788284,1273850.228538,14604.0
28788285,1142093.70983,16292.0
28788286,1203549.45526,15463.0
28788287,1077408.681284,17277.0
28788288,1221001.81786,15248.0
