timestamp(min since Epoch),15min moving average,15min total volume
28788147,162.370086,6460.0
28788148,193.076005,34188.0
28788149,306.925942,45672.0
28788150,330.786757,83240.0
28788151,477.63862,87341.0
28788152,514.037898,118629.0
28788153,665.684755,121157.0
28788154,683.617453,154721.0
28788155,837.039724,156766.0
28788156,911.984679,175040.0
28788157,1032.539761,183442.0
28788158,997.445719,226806.0
28788159,1159.323428,226907.0
28788160,1138.995896,269354.0
28788161,1202.16708,295057.0
28788162,1258.467936,323624.0
28788163,1478.2731,309513.0
28788164,1598.543859,318602.0
28788165,1831.119985,305216.0
28788166,1801.765541,340939.0
28788167,1957.377263,342256.0
28788168,1994.637619,365663.0
28788169,2226.845338,353332.0
28788170,2317.839718,365071.0
28788171,2448.806651,370125.0
28788172,2569.417419,376586.0
28788173,2978.911978,343580.0
28788174,3003.818255,360239.0
28788175,3295.842844,345366.0
28788176,3564.679419,334588.0
28788177,3850.393019,323424.0
28788178,3870.102851,335895.0
28788179,3898.33708,347983.0
28788180,4181.062611,337587.0
28788181,4537.780013,322614.0
28788182,5210.609913,290009.0
28788183,5885.005294,264074.0
28788184,6562.217606,242841.0
28788185,6594.787817,247753.0
28788186,6669.255176,251113.0
28788187,6674.445055,257188.0
28788188,5874.980016,300510.0
28788189,6126.404095,296041.0
28788190,6081.293527,306438.0
28788191,6393.722427,299077.0
28788192,6740.865913,290694.0
28788193,7001.718239,286525.0
28788194,7176.074669,286052.0
28788195,7377.418833,284523.0
28788196,7078.503826,303518.0
28788197,6916.934251,318094.0
28788198,6581.5159,342784.0
28788199,6588.716708,351084.0
28788200,6718.141829,352871.0
28788201,7189.18103,337390.0
28788202,6788.674321,366073.0
28788203,7443.535786,341332.0
28788204,7434.807999,349383.0
28788205,8263.019973,320682.0
28788206,7678.55964,352565.0
28788207,7832.411858,352975.0
28788208,7862.006111,359080.0
28788209,8609.024018,334241.0
28788210,7780.987745,377709.0
28788211,8841.106426,338651.0
28788212,9137.177723,333618.0
28788213,9605.214344,322829.0
28788214,9001.892273,350804.0
28788215,9177.01296,350318.0
28788216,9337.516128,350399.0
28788217,10503.995373,316384.0
28788218,10775.723103,313130.0
28788219,10960.135661,312496.0
