timestamp(min since Epoch),15min moving average,15min total volume
28788147,192.588915,6160.0
28788148,221.118575,41616.0
28788149,386.312298,47507.0
28788150,471.832746,65729.0
28788151,643.19378,68830.0
28788152,662.178281,94283.0
28788153,844.534082,95768.0
28788154,878.856709,117860.0
28788155,1037.37561,122619.0
28788156,1089.475087,141835.0
28788157,1246.388408,146645.0
28788158,1177.352741,185618.0
28788159,1368.55604,185848.0
28788160,1412.202486,208556.0
28788161,1490.948805,226854.0
28788162,1523.224693,254202.0
28788163,1758.899666,247228.0
28788164,1741.786152,280719.0
28788165,1821.980464,300115.0
28788166,1878.93849,324290.0
28788167,1963.033836,344208.0
28788168,2076.243775,358759.0
28788169,2308.712031,352041.0
28788170,2374.345225,372572.0
28788171,2520.45945,380056.0
28788172,2608.998524,396468.0
28788173,2987.719651,370107.0
28788174,3103.070326,379969.0
28788175,3276.815737,382331.0
28788176,3486.719551,380361.0
28788177,3820.248978,365619.0
28788178,4102.65849,357253.0
28788179,4369.311633,350949.0
28788180,4344.332827,369375.0
28788181,4422.546912,379399.0
28788182,5216.254111,334028.0
28788183,5672.299051,317992.0
28788184,6153.467486,302618.0
28788185,6263.757272,306742.0
28788186,6050.494073,328020.0
28788187,6299.411323,325020.0
28788188,5721.320548,370360.0
28788189,5390.749853,407675.0
28788190,5481.557254,415562.0
28788191,5791.536484,406888.0
28788192,5828.706464,418148.0
28788193,6096.980751,412826.0
28788194,6409.363478,404907.0
28788195,7500.962253,355126.0
28788196,8179.572477,333539.0
28788197,8131.188884,343687.0
28788198,8091.090723,353836.0
28788199,8161.259501,359296.0
28788200,8453.919528,354966.0
28788201,9348.112342,327782.0
28788202,8924.557871,350930.0
28788203,10540.255065,302680.0
28788204,11858.495579,273484.0
28788205,13330.483354,246859.0
28788206,12907.954282,258809.0
28788207,14396.363549,235204.0
28788208,14068.298896,244036.0
28788209,15224.349979,228400.0
28788210,13174.314349,267864.0
28788211,14018.85046,255240.0
28788212,14356.851871,252626.0
28788213,14469.772897,254042.0
28788214,13891.875394,268337.0
28788215,14786.033309,255443.0
28788216,15335.227434,249433.0
28788217,17474.369387,221342.0
28788218,17533.39127,223051.0
28788219,18114.446505,218220.0
28788220,17539.833854,227875.0
28788221,18119.048725,222964.0
28788222,17351.85977,235439.0
28788223,17592.381362,234794.0
28788224,16865.368909,247748.0
28788225,19787.003341,213245.0
28788226,18411.795138,231598.0
28788227,18362.570986,234683.0
28788228,16844.971409,258788.0
28788229,17562.149092,250975.0
28788230,8761.625957,514386.0
28788231,9136.780704,503901.0
28788232,7410.900723,637850.0
28788233,7690.892268,630437.0
28788234,5084.36113,991214.0
