timestamp(min since Epoch),15min moving average,15min total volume
28788147,-1.0,0.0
28788148,-1.0,0.0
28788149,-1.0,0.0
28788150,-1.0,0.0
28788151,-1.0,0.0
28788152,-1.0,0.0
28788153,-1.0,0.0
28788154,-1.0,0.0
28788155,-1.0,0.0
28788156,-1.0,0.0
28788157,-1.0,0.0
28788158,-1.0,0.0
28788159,-1.0,0.0
28788160,589.434429,38.775
28788161,1055.847508,48.998
28788162,1364.308219,66.77
28788163,1723.761994,80.314
28788164,1746.709864,119.644
28788165,2206.367419,129.26
28788166,2631.534143,139.672
28788167,3014.060313,151.606
28788168,3448.064251,159.864
28788169,4003.219781,161.482
28788170,4198.67905,179.127
28788171,3912.393467,226.369
28788172,4457.746987,228.98
28788173,4965.9898,233.257
28788174,5360.72323,242.805
28788175,3945.499707,387.953
28788176,4372.238796,404.746
28788177,4659.461027,434.906
28788178,5332.226103,427.356
28788179,5962.234959,424.211
28788180,6407.262771,434.82
28788181,6886.084467,442.534
28788182,7667.453791,430.6
28788183,8407.903965,422.342
28788184,9030.769514,420.724
28788185,9758.936717,414.408
28788186,11093.621536,385.047
28788187,11131.917573,405.22
28788188,9534.844953,504.339
28788189,8794.205654,586.193
28788190,12833.285099,421.083
28788191,14226.089419,396.317
28788192,15391.147015,380.944
28788193,15533.537354,392.38
28788194,15499.926597,408.819
28788195,13884.674411,476.669
28788196,13466.821024,514.019
28788197,12694.652599,571.91
28788198,12237.255239,623.39
28788199,12131.143982,661.039
28788200,11240.315987,752.997
28788201,11943.516413,745.531
28788202,10735.985959,877.64
28788203,11810.900367,839.714
28788204,10752.078944,975.91
28788205,11397.604515,970.846
28788206,10849.585589,1078.468
28788207,11376.923972,1084.658
28788208,9916.259096,1322.995
28788209,10179.464017,1367.901
28788210,10963.176824,1342.168
28788211,12016.516773,1287.568
28788212,13092.950735,1237.31
28788213,13613.808534,1243.711
28788214,13581.919962,1303.063
28788215,15241.584885,1207.773
28788216,15647.733441,1222.364
28788217,18352.179704,1076.729
28788218,19543.262599,1042.47
28788219,25011.632359,834.159
28788220,25461.284468,838.795
28788221,29213.492321,746.07
28788222,25002.968367,892.693
28788223,33366.34726,680.933
28788224,31547.64631,733.862
28788225,33250.117075,708.818
28788226,31385.120319,765.272
28788227,31866.221845,767.884
28788228,34117.214115,729.795
28788229,37017.001325,683.479
28788230,34705.76349,741.556
28788231,33346.253366,785.639
28788232,32396.351701,823.621
28788233,34259.178337,792.435
28788234,32502.130882,850.661
28788235,33808.032083,832.276
28788236,33479.908932,855.455
28788237,43329.811369,670.083
28788238,46963.51738,626.076
28788239,62408.332893,475.617
28788240,68307.008354,438.319
28788241,79173.757096,380.989
28788242,81949.749079,370.744
28788243,87159.462528,350.952
28788244,102460.126676,300.267
28788245,131955.888484,234.193
28788246,187762.017851,165.104
28788247,263605.343256,117.864
28788248,264249.403422,117.839
28788249,772766.592221,40.326
28788250,773354.306056,40.326
28788251,8.440537551968418e+19,0.0
28788252,8.440537551968418e+19,0.0
28788253,8.440537551968418e+19,0.0
28788254,8.440537551968418e+19,0.0
28788255,8.440537551968418e+19,0.0
28788256,8.440537551968418e+19,0.0
28788257,8.440537551968418e+19,0.0
28788258,8.440537551968418e+19,0.0
28788259,8.440537551968418e+19,0.0
28788260,8.440537551968418e+19,0.0
28788261,8.440537551968418e+19,0.0
28788262,8.440537551968418e+19,0.0
28788263,8.440537551968418e+19,0.0
28788264,8.440537551968418e+19,0.0
28788265,8.440537551968418e+19,0.0
28788266,8.440537551968418e+19,0.0
28788267,8.440537551968418e+19,0.0
28788268,8.440537551968418e+19,0.0
28788269,8.440537551968418e+19,0.0
28788270,8.440537551968418e+19,0.0
28788271,8.440537551968418e+19,0.0
28788272,8.440537551968418e+19,0.0
28788273,8.440537551968418e+19,0.0
28788274,8.440537551968418e+19,0.0
28788275,8.440537551968418e+19,0.0
28788276,8.440537551968418e+19,0.0
28788277,8.440537551968418e+19,0.0
28788278,8.440537551968418e+19,0.0
28788279,8.440537551968418e+19,0.0
28788280,8.440537551968418e+19,0.0
28788281,8.440537551968418e+19,0.0
28788282,8.440537551968418e+19,0.0
28788283,8.440537551968418e+19,0.0
28788284,8.440537551968418e+19,0.0
28788285,8.440537551968418e+19,0.0
28788286,8.440537551968418e+19,0.0
28788287,8.440537551968418e+19,0.0
28788288,8.440537551968418e+19,0.0
28788289,8.440537551968418e+19,0.0
28788290,8.440537551968418e+19,0.0
28788291,8.440537551968418e+19,0.0
28788292,8.440537551968418e+19,0.0
28788293,8.440537551968418e+19,0.0
28788294,8.440537551968418e+19,0.0
28788295,8.440537551968418e+19,0.0
28788296,8.440537551968418e+19,0.0
28788297,8.440537551968418e+19,0.0
28788298,8.440537551968418e+19,0.0
28788299,8.440537551968418e+19,0.0
28788300,8.440537551968418e+19,0.0
28788301,8.440537551968418e+19,0.0
28788302,8.440537551968418e+19,0.0
28788303,8.440537551968418e+19,0.0
28788304,8.440537551968418e+19,0.0
28788305,8.440537551968418e+19,0.0
28788306,8.440537551968418e+19,0.0
28788307,8.440537551968418e+19,0.0
28788308,8.440537551968418e+19,0.0
28788309,8.440537551968418e+19,0.0
28788310,8.440537551968418e+19,0.0
28788311,8.440537551968418e+19,0.0
28788312,8.440537551968418e+19,0.0
28788313,8.440537551968418e+19,0.0
28788314,8.440537551968418e+19,0.0
28788315,8.440537551968418e+19,0.0
28788316,8.440537551968418e+19,0.0
28788317,8.440537551968418e+19,0.0
28788318,8.440537551968418e+19,0.0
28788319,8.440537551968418e+19,0.0
28788320,8.440537551968418e+19,0.0
28788321,8.440537551968418e+19,0.0
28788322,8.440537551968418e+19,0.0
28788323,8.440537551968418e+19,0.0
28788324,8.440537551968418e+19,0.0
28788325,8.440537551968418e+19,0.0
28788326,8.440537551968418e+19,0.0
28788327,8.440537551968418e+19,0.0
28788328,8.440537551968418e+19,0.0
28788329,8.440537551968418e+19,0.0
28788330,8.440537551968418e+19,0.0
28788331,8.440537551968418e+19,0.0
28788332,8.440537551968418e+19,0.0
28788333,8.440537551968418e+19,0.0
28788334,8.440537551968418e+19,0.0
28788335,8.440537551968418e+19,0.0
28788336,8.440537551968418e+19,0.0
28788337,8.440537551968418e+19,0.0
28788338,8.440537551968418e+19,0.0
28788339,8.440537551968418e+19,0.0
28788340,8.440537551968418e+19,0.0
28788341,8.440537551968418e+19,0.0
28788342,8.440537551968418e+19,0.0
28788343,8.440537551968418e+19,0.0
28788344,8.440537551968418e+19,0.0
28788345,8.440537551968418e+19,0.0
28788346,8.440537551968418e+19,0.0
28788347,8.440537551968418e+19,0.0
