timestamp(min since Epoch),15min moving average,15min total volume
28788147,63199.693337,0.39282
28788148,73882.288581,2.32701
28788149,128172.953534,2.64666
28788150,94582.738101,10.82031
28788151,140086.224778,13.31695
28788152,159620.763149,19.35553
28788153,221777.976344,19.48757
28788154,242794.480298,24.06931
28788155,300832.429506,24.59555
28788156,307586.705564,30.28031
28788157,363325.348744,31.03646
28788158,379341.455857,35.67249
28788159,442575.663432,35.67249
28788160,479762.095246,37.90329
28788161,523247.242939,39.53056
28788162,566068.32493,41.13546
28788163,647897.165716,39.82736
28788164,692490.25081,41.00743
28788165,844049.815873,36.36892
28788166,916860.899608,35.96112
28788167,1122527.375412,31.12595
28788168,1042936.09231,35.6641
28788169,1195321.105856,32.85616
28788170,1219142.436824,33.97719
28788171,1321819.788552,32.91343
28788172,1270233.150653,36.046
28788173,1053592.307168,46.23643
28788174,1052175.629648,49.2633
28788175,1008639.868281,54.83209
28788176,1060799.494627,55.44591
28788177,1126356.032846,55.32966
28788178,1174085.892578,56.10667
28788179,1199982.486997,57.9545
28788180,1268529.749975,57.70405
28788181,1131101.029344,68.55474
28788182,1214663.939157,67.35133
28788183,1368522.022377,62.68114
28788184,1471736.550276,60.90734
28788185,1545366.293962,60.48528
28788186,1652065.053416,58.83543
28788187,1783101.675633,56.52027
28788188,2156145.284585,48.15695
28788189,2286922.915922,46.69725
28788190,2510420.900558,43.64193
28788191,2669212.689169,42.04428
28788192,2594032.396481,44.34672
28788193,2699375.956435,43.64115
28788194,2678118.261873,45.05417
28788195,2246907.578039,55.25998
28788196,2636146.743086,48.26142
28788197,2632010.772764,49.53047
28788198,2505950.414477,53.37244
28788199,2171904.390723,63.43244
28788200,2020663.407522,70.38762
28788201,2143177.420966,68.38592
28788202,2083654.322043,72.54531
28788203,2302301.603495,67.5133
28788204,2340654.290659,68.2541
28788205,2561499.036147,63.95064
28788206,2592373.724885,64.77138
28788207,2804521.048978,61.25491
28788208,2785894.264039,63.09871
28788209,2934777.770554,61.21852
28788210,3367680.200114,54.37096
28788211,3810238.154541,48.86734
28788212,3865796.13464,48.9665
28788213,3904227.248519,49.28313
28788214,4738332.875534,41.15718
28788215,5790039.500156,34.05345
28788216,5753065.082391,34.6534
28788217,6562803.354466,30.67349
28788218,6630030.871986,30.65502
28788219,6710193.249969,30.57712
28788220,6316697.928574,32.81054
28788221,6419184.071826,32.60808
28788222,5892410.707483,35.90872
28788223,6349802.048405,33.65745
28788224,6127840.071968,35.24037
28788225,7385972.927373,29.49007
28788226,6590616.365637,33.36923
28788227,6886398.612444,32.23206
28788228,7452944.531663,30.03684
28788229,7733290.446673,29.18669
28788230,7061331.510283,32.25303
28788231,7285457.779565,31.5346
28788232,6567345.911937,35.32301
28788233,6901959.28568,33.92141
28788234,6888022.560237,34.30511
28788235,7533632.226303,31.63088
28788236,5667749.076635,42.5187
28788237,6314407.912954,38.55062
28788238,6203179.572701,39.64622
28788239,5320991.605337,46.77539
28788240,4667908.087485,54.05206
28788241,2821216.027478,91.48289
28788242,2821195.940396,93.58035
28788243,2292997.98067,118.40088
28788244,2340037.478163,119.24199
28788245,2444228.681304,117.18981
28788246,2519078.105134,116.63455
28788247,2657231.85427,113.26493
28788248,2719869.580665,113.28939
28788249,2824844.126019,111.57608
28788250,2887113.161449,111.61324
28788251,3046159.493844,108.0274
28788252,3067343.021569,109.53879
28788253,2892769.322316,118.74462
28788254,3261666.804668,107.39637
28788255,3446989.903629,103.52145
28788256,5767147.598374,62.56055
28788257,5530495.096841,65.9926
28788258,9320144.750853,39.42731
28788259,9417909.811807,39.28213
28788260,8323065.349911,44.79015
28788261,8164905.223598,46.01457
28788262,8628593.825939,43.86366
28788263,8345424.960986,45.69869
28788264,8536019.76663,45.01218
28788265,7562918.542815,51.23269
28788266,9126450.654587,42.75216
28788267,8959045.969016,43.86097
28788268,11863294.80664,33.30107
28788269,11279313.097528,35.22289
28788270,12811615.179358,31.1641
28788271,12925360.17058,31.04186
28788272,15915760.754646,25.31009
28788273,8831951.982006,45.93986
28788274,9250949.974743,44.16145
28788275,10270111.010315,40.02593
28788276,10738900.033829,38.5058
28788277,9354833.883677,44.5042
28788278,9828489.431718,42.63427
28788279,9403356.321989,44.86408
28788280,10990897.729588,38.60641
28788281,8093494.556947,52.84094
28788282,8573339.500463,50.25497
28788283,8242113.215875,52.67966
28788284,8658852.570042,50.51402
28788285,7884857.037089,55.92213
28788286,8042344.332639,55.26259
28788287,7639006.190737,58.66725
28788288,11897617.699347,37.8698
28788289,11163595.384971,40.59032
28788290,12224956.307579,37.25955
28788291,11313590.911763,40.48791
28788292,13329974.279447,34.52768
28788293,12692490.072311,36.44392
28788294,12345678.919166,37.66115
28788295,9857157.74049,47.47448
28788296,13470146.231668,34.90515
28788297,6189738.829538,76.74769
28788298,3868505.325493,124.84791
28788299,3378765.749826,145.68167
28788300,3177852.388324,158.04994
28788301,3122693.5114,164.17992
28788302,3205122.176133,163.19037
28788303,3238563.183022,164.73496
28788304,3223605.682007,168.82447
28788305,3207723.585411,173.08625
28788306,3296909.846069,171.71078
28788307,3323843.526307,173.63612
28788308,3360574.435178,175.04542
28788309,3407393.809395,175.9182
28788310,3403422.925142,179.47165
28788311,3412933.513484,182.36418
28788312,4393856.497326,143.72853
28788313,6754118.498866,94.38889
28788314,8378435.847559,76.67062
28788315,10336080.543134,62.53322
28788316,9582270.071235,67.90223
28788317,8116375.414184,80.79773
28788318,7909575.907996,83.58077
28788319,7532348.730591,88.51224
28788320,7821225.028231,85.94031
28788321,7788568.869379,87.00953
28788322,7901519.200744,86.46008
28788323,7427782.112459,92.76687
28788324,7384618.068444,94.11775
28788325,7631448.31611,91.8371
28788326,8029052.458429,87.98449
28788327,8351981.88143,85.22999
28788328,8045411.028543,89.18094
28788329,7831778.068695,92.36181
28788330,7394487.472924,98.67048
28788331,8011353.595799,91.8
28788332,8406005.622358,88.15558
28788333,8301578.004372,89.95214
28788334,8858292.321589,84.90728
28788335,8306138.241922,91.24881
28788336,7563260.756198,101.05965
28788337,7142493.567276,107.97277
28788338,7754261.429846,100.27532
28788339,8214222.724364,95.3977
28788340,9013067.139154,87.55928
28788341,8922028.056736,89.08674
28788342,8810515.376092,90.86918
28788343,8922283.549997,90.37406
28788344,9331956.937071,86.99864
28788345,10354507.546509,78.89101
28788346,10749769.690481,76.44184
28788347,12613400.042144,65.47724
28788348,13574791.073047,61.12601
28788349,14495760.18746,57.49436
28788350,13848497.12488,60.45889
28788351,16518501.752032,50.88214
28788352,19423717.441732,43.41365
28788353,18838740.297308,44.91317
28788354,18675292.937212,45.46089
28788355,18777247.177911,45.36754
28788356,17507918.100986,48.8339
28788357,16167561.681249,53.09104
28788358,15589649.74262,55.28439
28788359,15310194.740407,56.52799
28788360,13844791.926729,62.79925
28788361,12480889.464386,70.0181
28788362,10071461.034384,87.31908
28788363,9637188.080962,91.85889
28788364,9301061.297002,95.83248
28788365,9728316.024443,92.22522
28788366,9334574.271656,96.77322
28788367,9185662.660741,99.02612
28788368,9022299.380747,101.53324
28788369,8952272.604081,103.05793
28788370,8903719.29688,104.36364
28788371,9147961.284185,102.28662
28788372,9224496.462748,102.14038
28788373,9529912.288754,99.52949
28788374,6691068.915181,143.11304
