timestamp(min since Epoch),15min moving average,15min total volume
28788147,0.10935,101244.0
28788148,0.146426,298729.0
28788149,0.255138,300069.0
28788150,0.299597,402499.0
28788151,0.367439,467351.0
28788152,0.466153,481377.0
28788153,0.575369,481586.0
28788154,0.577779,591606.0
28788155,0.686609,592200.0
28788156,0.564751,893181.0
28788157,0.673831,893865.0
28788158,0.719157,987992.0
28788159,0.828679,987992.0
28788160,0.916554,1014494.0
28788161,0.995152,1049917.0
28788162,1.054351,1105865.0
28788163,1.377391,919674.0
28788164,1.422167,965078.0
28788165,1.57097,939178.0
28788166,1.722716,914631.0
28788167,1.77892,943881.0
28788168,1.870434,953570.0
28788169,1.915217,987810.0
28788170,1.816376,1108466.0
28788171,2.160411,981758.0
28788172,2.261361,985709.0
28788173,2.5201,924727.0
28788174,2.611599,931422.0
28788175,2.757026,918823.0
28788176,2.85402,923051.0
28788177,3.524654,771417.0
28788178,3.682268,761057.0
28788179,3.734523,773107.0
28788180,4.001434,741871.0
28788181,4.034276,756396.0
28788182,4.388779,713120.0
28788183,4.560234,703222.0
28788184,5.846865,558962.0
28788185,5.01969,665619.0
28788186,6.145768,553543.0
28788187,5.440309,638199.0
28788188,5.339735,663869.0
28788189,4.946093,732976.0
28788190,3.615806,1034059.0
28788191,3.834584,1003820.0
28788192,3.755581,1055822.0
28788193,3.844226,1061820.0
28788194,4.047923,1036520.0
28788195,3.583755,1207805.0
28788196,3.461381,1291514.0
28788197,3.516119,1312432.0
28788198,3.45624,1379021.0
28788199,3.454526,1425040.0
28788200,4.052921,1248501.0
28788201,4.323234,1200974.0
28788202,4.290051,1242082.0
28788203,4.467393,1222855.0
28788204,4.204915,1334046.0
28788205,5.341649,1072205.0
28788206,4.799622,1221249.0
28788207,4.849236,1236778.0
28788208,4.662198,1317443.0
28788209,4.084886,1545196.0
28788210,4.456195,1452241.0
28788211,5.035959,1313702.0
28788212,5.118068,1320972.0
28788213,3.980414,1746716.0
28788214,4.065209,1757769.0
28788215,4.157585,1765349.0
28788216,4.009811,1881958.0
28788217,4.307462,1797758.0
28788218,4.49466,1766046.0
28788219,5.112022,1586868.0
28788220,4.975459,1667230.0
28788221,5.595661,1512118.0
28788222,5.741656,1502404.0
28788223,6.122707,1434632.0
28788224,6.970567,1280299.0
28788225,7.709395,1174328.0
28788226,7.479003,1228540.0
28788227,7.597592,1227098.0
28788228,12.025397,782418.0
28788229,12.606971,752880.0
28788230,11.947259,801820.0
28788231,14.394046,670635.0
28788232,9.516755,1026174.0
28788233,9.699873,1018331.0
28788234,9.042713,1105766.0
28788235,10.394265,972259.0
28788236,10.374114,984572.0
28788237,11.197663,921197.0
28788238,10.368975,1005469.0
28788239,11.006343,956791.0
28788240,11.069157,960896.0
28788241,8.905641,1209249.0
28788242,8.744424,1247211.0
28788243,8.265513,1337247.0
28788244,8.523852,1313647.0
28788245,8.88308,1276308.0
28788246,7.649878,1503656.0
28788247,9.799425,1187134.0
28788248,9.899676,1188302.0
28788249,10.26632,1158261.0
28788250,10.085432,1192023.0
28788251,7.29688,1672769.0
28788252,6.503669,1909065.0
28788253,5.430783,2333480.0
28788254,4.52945,2867489.0
28788255,3.022538,4459554.0
28788256,3.103419,4503124.0
28788257,3.096132,4680202.0
28788258,3.266827,4590427.0
28788259,3.333514,4652319.0
28788260,3.494832,4581985.0
28788261,3.758823,4388795.0
28788262,3.934695,4313382.0
28788263,4.02682,4333238.0
28788264,4.196982,4269616.0
28788265,4.226362,4353409.0
28788266,4.864531,3869937.0
28788267,5.116465,3760355.0
28788268,6.063116,3231979.0
28788269,4.42379,4542785.0
28788270,6.922087,2950157.0
28788271,7.48139,2770396.0
28788272,8.306911,2528610.0
28788273,8.534962,2493223.0
28788274,8.876558,2427397.0
28788275,8.862748,2461775.0
28788276,9.09795,2427523.0
28788277,8.358102,2677701.0
28788278,8.534526,2656644.0
28788279,8.639334,2658316.0
28788280,9.149228,2540761.0
28788281,9.156967,2569530.0
28788282,9.742134,2442816.0
28788283,9.604265,2506639.0
28788284,39.995936,603588.0
28788285,32.891199,736439.0
28788286,34.408144,706237.0
28788287,28.240724,863847.0
28788288,28.632389,855328.0
28788289,26.232849,937511.0
28788290,26.410608,935110.0
28788291,25.772029,962403.0
28788292,35.388949,703064.0
28788293,34.489253,723721.0
28788294,34.238952,731370.0
28788295,25.006959,1005815.0
28788296,22.794927,1108789.0
28788297,19.118113,1329709.0
28788298,19.189343,1332437.0
28788299,14.702587,1752205.0
28788300,13.337281,1947688.0
28788301,13.507835,1938934.0
28788302,13.821793,1910136.0
28788303,8.610537,3105930.0
28788304,8.580881,3157198.0
28788305,8.014461,3427441.0
28788306,8.152778,3415438.0
28788307,8.192754,3445092.0
28788308,8.264262,3461418.0
28788309,8.180661,3544517.0
28788310,7.98347,3682869.0
28788311,8.102579,3678724.0
28788312,8.55937,3527778.0
28788313,6.108447,5033926.0
28788314,6.669286,4687940.0
28788315,7.133253,4451665.0
28788316,7.197352,4480488.0
28788317,7.380859,4435182.0
28788318,9.976987,3317671.0
28788319,10.083631,3318785.0
28788320,10.445704,3237841.0
28788321,10.239126,3339034.0
28788322,9.550166,3621630.0
28788323,8.732503,4011281.0
28788324,8.807323,4027521.0
28788325,8.417763,4269737.0
28788326,8.655744,4205830.0
28788327,8.81184,4183589.0
28788328,14.013769,2651483.0
28788329,13.531389,2768555.0
28788330,10.637773,3558530.0
28788331,10.819713,3534724.0
28788332,10.718949,3605051.0
28788333,10.975512,3556525.0
28788334,10.812022,3647525.0
28788335,11.043706,3607049.0
28788336,10.379959,3878948.0
28788337,11.274291,3606566.0
28788338,12.771617,3211501.0
28788339,13.158088,3143554.0
28788340,15.209473,2739459.0
28788341,14.521651,2891204.0
28788342,14.451134,2927688.0
28788343,13.926007,3062373.0
28788344,14.45438,2973146.0
28788345,20.282814,2130387.0
28788346,20.20047,2150829.0
28788347,21.519804,2029380.0
28788348,21.557309,2036280.0
28788349,23.595232,1869153.0
28788350,25.572428,1732113.0
28788351,33.00748,1346452.0
28788352,33.932325,1314029.0
28788353,29.945515,1494482.0
28788354,30.584457,1468561.0
28788355,36.59149,1231189.0
28788356,43.521968,1037765.0
28788357,39.563146,1144800.0
28788358,20.908488,2177669.0
28788359,8.530554,5407178.0
28788360,8.008058,5840145.0
28788361,7.463136,6360231.0
28788362,6.913184,6977110.0
28788363,6.97196,7029086.0
28788364,6.426519,7758303.0
28788365,6.051184,8391855.0
28788366,5.829087,8878894.0
28788367,5.83359,9042279.0
28788368,5.891502,9123444.0
28788369,5.886077,9305445.0
28788370,5.779039,9661343.0
28788371,5.711716,9966770.0
28788372,5.720367,10146357.0
28788373,6.333085,9326247.0
28788374,8.51397,7027726.0
28788375,8.79991,6885050.0
28788376,8.491903,7227927.0
28788377,8.620178,7211901.0
28788378,6.678896,9463083.0
28788379,7.270467,8825858.0
28788380,7.862496,8276381.0
28788381,7.68728,8587128.0
28788382,7.766098,8621315.0
28788383,6.81479,9984934.0
28788384,6.793402,10180136.0
28788385,7.120445,9863947.0
28788386,7.424552,9601236.0
28788387,7.634892,9472302.0
28788388,8.052584,9104523.0
28788389,9.156994,8103160.0
28788390,9.57909,7835511.0
28788391,10.927893,6937795.0
