timestamp(min since Epoch),15min moving average,15min total volume
28788147,2579.538291,39.5663
28788148,4270.439186,60.3648
28788149,6460.706911,66.4218
28788150,6730.530962,103.3918
28788151,8881.465595,110.434
28788152,8893.949384,155.355
28788153,11344.779854,157.6539
28788154,12331.087851,183.423
28788155,14883.231136,183.8403
28788156,13745.057622,245.0622
28788157,16005.903977,250.8875
28788158,14175.651391,346.3092
28788159,16755.650012,346.3092
28788160,18286.333845,369.4454
28788161,19470.355521,399.9789
28788162,23339.535148,375.1403
28788163,26498.092544,366.0665
28788164,27021.388387,396.8708
28788165,29966.593062,391.5771
28788166,32274.296296,395.1661
28788167,35928.516833,382.4335
28788168,35976.677437,411.4232
28788169,35213.531034,453.571
28788170,36513.888511,470.6756
28788171,37031.807441,498.8503
28788172,36332.996133,547.3167
28788173,44746.087864,471.6103
28788174,44904.430559,498.6031
28788175,47529.0222,498.1179
28788176,50166.593222,497.5259
28788177,53156.716419,493.5018
28788178,56382.055026,487.5922
28788179,58499.681985,491.6353
28788180,61991.439828,484.1029
28788181,63369.446362,493.6884
28788182,70371.03194,461.5
28788183,78070.84071,430.2114
28788184,95288.356991,362.2945
28788185,98163.358233,361.1843
28788186,128390.099279,281.8199
28788187,150626.481325,244.4065
28788188,114146.227506,329.9853
28788189,119581.829955,321.9414
28788190,94827.864934,417.3547
28788191,98197.780083,413.9255
28788192,94242.081495,443.4606
28788193,96681.659389,444.1433
28788194,101038.25789,436.1493
28788195,79125.950773,575.7448
28788196,60786.647685,782.7398
28788197,59143.902045,841.2574
28788198,56948.223549,915.2459
28788199,56603.800593,964.8846
28788200,57029.719613,1003.1514
28788201,58901.822366,1015.8521
28788202,56830.351261,1103.0484
28788203,62061.356844,1053.966
28788204,59243.92027,1154.4453
28788205,68290.358767,1040.9028
28788206,57569.518697,1292.7704
28788207,61567.778205,1261.773
28788208,60404.986768,1343.5316
28788209,59710.199316,1420.6363
28788210,62967.510174,1404.7705
28788211,77335.84891,1183.2895
28788212,82498.679251,1145.0796
28788213,89460.001192,1087.3589
28788214,94000.072953,1064.0692
28788215,100225.828932,1024.3621
28788216,102958.425054,1022.8261
28788217,114858.746048,937.9392
28788218,122043.123399,901.8062
28788219,141990.619428,789.4741
28788220,140066.039442,815.3535
28788221,207781.333345,556.5463
28788222,155998.621405,753.7568
28788223,149207.511181,801.9295
28788224,102495.317863,1197.5373
28788225,117962.07763,1063.7718
28788226,115121.384003,1114.9926
28788227,116069.989476,1131.0025
28788228,117611.01795,1141.1993
28788229,121811.767934,1125.6683
28788230,110269.710993,1273.2588
28788231,114693.569324,1252.293
28788232,116554.783238,1260.1647
28788233,121015.866311,1240.1248
28788234,120052.672485,1277.503
28788235,125556.778784,1247.1018
28788236,126365.526031,1264.9207
28788237,153590.063446,1058.4689
28788238,174182.910974,947.3474
28788239,311181.26539,534.7015
28788240,313742.7464,534.7261
28788241,255111.95988,664.3236
28788242,250571.161925,683.3843
28788243,228076.815144,759.3558
28788244,231680.365752,755.9455
28788245,287041.554422,615.669
28788246,286795.059836,621.7792
28788247,280141.13495,642.4519
28788248,279836.92248,649.1223
28788249,288038.054921,636.3275
28788250,288703.167993,640.5736
28788251,266299.82894,701.2446
28788252,266542.136143,707.4416
28788253,259358.794124,734.3274
28788254,297647.392896,645.4515
28788255,244504.232928,794.1117
28788256,310309.896084,630.9524
28788257,290453.704556,680.1249
28788258,335816.661047,592.8058
28788259,335869.903287,597.2995
28788260,350063.829996,577.3356
28788261,335778.877645,606.5569
28788262,366683.566874,559.3705
28788263,334580.56477,617.8052
28788264,336138.139221,619.6983
28788265,330093.722004,636.0161
28788266,389478.287356,542.6355
28788267,375711.601477,566.4072
28788268,416262.940983,514.4166
28788269,410884.981811,524.4416
28788270,598079.353715,361.8549
28788271,610476.961694,356.0096
28788272,866809.476496,251.4784
28788273,773740.099914,282.6692
28788274,792355.319519,276.9292
28788275,591067.666423,372.8635
28788276,655963.682133,337.3009
28788277,598502.358577,371.284
28788278,727871.18001,306.3787
28788279,707752.036704,316.24
28788280,759553.346065,295.6761
28788281,734541.611471,306.821
28788282,816609.158824,276.8603
28788283,681568.831638,332.9748
28788284,714343.350479,318.8487
28788285,639375.522044,357.6767
28788286,673409.416303,340.9052
28788287,603277.358319,382.1696
28788288,672891.634954,343.9502
28788289,665087.5027,349.3406
28788290,904385.587083,257.6406
28788291,827506.192885,282.4569
28788292,933406.109199,251.1044
28788293,895045.872899,262.623
28788294,1001513.279335,235.3104
28788295,898405.118235,263.0717
28788296,898205.771199,263.8878
28788297,718674.214619,330.9974
28788298,715858.398295,333.5012
28788299,643143.658096,372.7023
28788300,535410.772455,449.8635
28788301,520479.50141,465.0743
28788302,510947.98822,476.1542
28788303,480228.740473,509.3489
28788304,476675.6527,515.9376
28788305,455109.489719,543.4665
28788306,439512.476997,566.0748
28788307,406795.953959,615.5042
28788308,406110.184688,620.4847
28788309,403147.782666,629.0692
28788310,342080.538686,747.0017
28788311,330622.331781,778.9674
28788312,346392.912161,749.0802
28788313,352868.768427,740.7469
28788314,344827.698105,763.7323
28788315,366952.174105,722.7643
28788316,332708.995303,803.3805
28788317,312920.702893,861.2839
28788318,317908.777029,854.7056
28788319,265042.155292,1035.269
28788320,254899.293347,1087.4745
28788321,241074.951884,1162.2788
28788322,217659.50919,1302.7628
28788323,217661.162235,1318.3862
28788324,219389.648049,1323.5705
28788325,243381.407893,1205.8867
28788326,242202.817359,1224.8096
28788327,242338.352542,1237.3063
28788328,251571.112089,1204.2563
28788329,266586.593893,1147.5415
28788330,283542.64246,1088.8341
28788331,311321.742391,999.9728
28788332,344672.930491,910.0323
28788333,356633.926994,885.9266
28788334,431336.677805,736.9056
28788335,478301.601914,668.1553
28788336,568014.799948,565.1953
28788337,835667.234623,385.3625
28788338,847446.312447,381.1682
28788339,884827.172436,366.1343
28788340,748736.431191,434.1814
28788341,865722.870275,376.6339
28788342,961534.223567,340.0182
28788343,810742.780735,404.5481
28788344,796740.520263,412.9972
28788345,694187.159228,475.7809
28788346,679200.412852,488.1362
28788347,651940.627525,510.5704
28788348,663087.266396,503.9514
28788349,696352.620313,481.6645
28788350,707184.824299,476.026
28788351,709549.874025,476.1734
28788352,707209.640743,479.5011
28788353,681500.267264,499.484
28788354,670962.78721,509.2898
28788355,705679.396861,486.0145
28788356,657909.597316,523.3589
28788357,591452.976021,584.7189
28788358,623770.022729,556.7311
28788359,617582.943036,564.6708
28788360,610255.018721,573.8806
28788361,554896.724949,634.0842
28788362,427725.790516,827.6047
28788363,400991.979129,888.5008
28788364,321456.893656,1117.3041
28788365,261334.414587,1388.0547
28788366,247807.698784,1479.2231
28788367,248148.534876,1492.7108
28788368,234169.566701,1599.4401
28788369,234526.112611,1614.7703
28788370,238426.539872,1605.7253
28788371,239619.7872,1615.1131
28788372,230075.378243,1701.18
28788373,224634.75617,1762.6126
28788374,198095.105051,2025.1041
28788375,184909.13515,2200.1678
28788376,186549.849455,2211.3513
28788377,155414.67354,2699.089
28788378,159379.270085,2675.1716
28788379,151888.534254,2855.5181
28788380,164045.106864,2686.0714
28788381,169113.736086,2645.847
28788382,168561.538712,2695.6884
28788383,179165.666422,2573.1121
28788384,183210.809752,2552.1592
28788385,184092.853874,2575.9505
28788386,188660.964202,2548.3482
28788387,198197.017748,2457.6557
28788388,207747.250078,2374.0919
28788389,234950.53772,2122.469
28788390,259312.309695,1942.3571
28788391,267728.210673,1899.572
28788392,412242.418321,1241.4217
28788393,409375.238315,1258.0322
28788394,601912.984937,859.294
28788395,666516.46582,779.0153
28788396,696433.751383,748.3181
28788397,748925.667932,698.2705
28788398,672742.895722,780.3321
28788399,658888.458062,799.8674
28788400,650396.469037,813.5331
28788401,608882.701499,872.6916
28788402,493513.094382,1082.3481
28788403,392730.023484,1369.0702
28788404,307211.449172,1764.9477
28788405,264978.377823,2066.2843
28788406,236129.992347,2344.2201
28788407,190937.501188,2938.5569
28788408,158246.81987,3603.9979
28788409,150989.777762,3842.4621
28788410,150154.853051,3930.9427
28788411,150849.751357,3980.4813
28788412,150936.697118,4046.9252
28788413,151465.011104,4102.2418
28788414,149089.866653,4240.518
28788415,147517.812169,4361.5196
28788416,150561.664686,4347.3823
28788417,159384.244646,4173.8809
28788418,172387.931413,3917.2934
28788419,192538.034568,3554.6618
28788420,213521.135657,3244.2983
28788421,217621.260174,3221.1373
28788422,259265.664763,2730.7757
28788423,334419.546861,2133.4851
28788424,375675.665526,1912.2745
28788425,365691.896216,1978.3902
28788426,323960.237897,2251.1073
28788427,297099.404044,2476.0598
28788428,300779.071554,2466.8582
28788429,311124.963968,2404.7024
28788430,325186.594674,2319.0574
28788431,301895.319247,2519.438
28788432,306544.816611,2502.2211
28788433,306851.811913,2520.8503
28788434,312981.495915,2491.9615
28788435,316523.830753,2484.2635
28788436,353515.352179,2240.6198
28788437,372628.059222,2140.4759
28788438,386158.02329,2079.3364
28788439,377501.250741,2141.6205
28788440,383839.672411,2120.4778
28788441,450776.684416,1815.9761
28788442,537555.015497,1530.1525
28788443,559975.054561,1475.6768
28788444,516783.188702,1607.0193
28788445,542354.228256,1538.5559
28788446,648088.517484,1292.6787
28788447,665207.159202,1264.3051
28788448,680488.675266,1240.606
28788449,691966.966138,1224.5825
28788450,674855.106655,1260.4414
28788451,673483.762585,1267.8538
28788452,693657.919238,1235.5648
28788453,680747.591167,1263.7751
28788454,678583.304108,1272.6313
28788455,735071.141546,1178.9594
28788456,719816.186541,1208.2624
28788457,687562.576063,1269.6919
28788458,685905.136114,1277.5514
28788459,799835.94295,1099.1092
28788460,799628.545533,1102.9433
28788461,682948.058097,1296.2627
28788462,654438.653948,1358.0706
28788463,632121.041184,1411.7636
28788464,606034.122843,1478.8101
28788465,600967.037854,1497.6889
28788466,589338.582481,1533.9356
28788467,585635.86553,1550.4443
28788468,598475.148941,1523.7319
28788469,612874.972651,1494.2038
28788470,635002.1047,1448.0045
28788471,638966.685051,1444.8389
28788472,677863.748957,1367.1213
28788473,712053.773994,1306.1979
28788474,639647.536595,1459.9308
28788475,622394.822924,1506.6326
28788476,673572.268253,1397.5035
