timestamp(min since Epoch),15min moving average,15min total volume
28788147,-1.0,0.0
28788148,-1.0,0.0
28788149,-1.0,0.0
28788150,-1.0,0.0
28788151,-1.0,0.0
28788152,-1.0,0.0
28788153,-1.0,0.0
28788154,-1.0,0.0
28788155,-1.0,0.0
28788156,-1.0,0.0
28788157,-1.0,0.0
28788158,-1.0,0.0
28788159,-1.0,0.0
28788160,150.093319,317.093
28788161,225.324168,632.67
28788162,304.284972,924.762
28788163,347.890833,1423.009
28788164,416.201136,1860.526
28788165,482.262768,2331.198
28788166,491.755578,3290.483
28788167,632.568863,3353.739
28788168,683.466084,3977.45
28788169,810.858435,4114.096
28788170,860.501116,4696.034
28788171,822.523969,6010.322
28788172,844.655388,7119.199
28788173,923.894395,7772.829
28788174,936.345495,9136.004
28788175,1065.401243,9348.316
28788176,1206.333363,9431.55
28788177,1372.266038,9311.198
28788178,1561.975547,9051.594
28788179,1707.487546,9079.877
28788180,1924.772147,8737.618
28788181,2220.159694,8125.72
28788182,2388.026065,8062.464
28788183,2738.728994,7438.753
28788184,2940.461828,7302.107
28788185,3243.650119,6941.635
28788186,3909.694791,5989.659
28788187,3302.263252,7430.353
28788188,2896.798212,8935.254
28788189,3368.514591,8043.993
28788190,3146.70868,9044.47
28788191,3230.296102,9241.966
28788192,3097.236396,10132.514
28788193,3281.924159,10023.047
28788194,3075.731285,11246.664
28788195,2862.355782,12757.604
28788196,2749.523042,14052.424
28788197,2756.114289,14830.895
28788198,2763.280659,15646.937
28788199,2856.366525,15981.299
28788200,2974.649029,16165.88
28788201,3157.038233,15996.548
28788202,3655.50253,14410.018
28788203,4361.179601,12511.138
28788204,4271.922598,13240.042
28788205,4949.117164,11787.603
28788206,4858.518122,12392.018
28788207,5416.649403,11433.396
28788208,5443.957298,11700.06
28788209,5783.199631,11308.369
28788210,6219.462781,10776.041
28788211,7472.468249,9153.454
28788212,8254.537086,8440.069
28788213,8759.61453,8092.382
28788214,9176.194919,7853.744
28788215,9517.830681,7693.418
28788216,9699.046644,7668.593
28788217,11045.833202,6826.527
28788218,11411.106641,6696.254
28788219,13899.985136,5557.351
28788220,13992.124536,5580.711
28788221,15184.756078,5193.783
28788222,14427.699121,5523.832
28788223,15148.015978,5313.857
28788224,18705.164931,4338.166
28788225,23980.132746,3405.223
28788226,19980.841484,4117.761
28788227,19413.623563,4271.125
28788228,19152.972241,4363.478
28788229,18171.772422,4637.43
28788230,17067.713819,4981.265
28788231,17684.827711,4848.639
28788232,16662.061849,5193.097
28788233,17217.13918,5069.922
28788234,15870.903133,5552.553
28788235,16314.644749,5451.75
28788236,15043.718377,5972.0
28788237,16372.157101,5538.285
28788238,15782.11759,5800.593
28788239,15057.15485,6141.179
28788240,15298.040047,6104.454
28788241,14184.116039,6654.357
28788242,14416.414007,6616.097
28788243,13480.190236,7155.376
28788244,14243.723116,6844.03
28788245,15408.322744,6389.059
28788246,14685.302336,6772.946
28788247,14128.271051,7115.709
28788248,14092.451716,7210.731
28788249,15136.381167,6780.776
28788250,14683.455002,7062.257
28788251,15236.908596,6873.598
28788252,15355.175413,6888.142
28788253,14956.867937,7143.451
28788254,13839.7561,7804.967
28788255,14002.066052,7798.359
28788256,16722.05319,6589.259
28788257,15554.540355,7153.135
28788258,18172.527495,6173.837
28788259,17430.3096,6492.872
28788260,17933.593129,6364.142
28788261,18128.507779,6348.489
28788262,20907.026883,5544.747
28788263,19667.517507,5939.7
28788264,20117.478573,5850.67
28788265,16117.068456,7371.753
28788266,19139.584263,6256.835
28788267,18663.83398,6468.512
28788268,21012.257342,5787.026
28788269,27066.564561,4517.69
28788270,27926.75905,4402.258
28788271,27910.3406,4428.725
28788272,33598.909748,3695.454
28788273,32809.168419,3801.84
28788274,36575.05535,3424.475
28788275,30053.973537,4188.477
28788276,33410.623413,3784.714
28788277,27311.691969,4655.512
28788278,30720.179718,4159.334
28788279,24251.402684,5301.669
28788280,36894.919087,3499.105
28788281,34263.68036,3784.427
28788282,36583.024684,3559.129
28788283,32776.177691,3990.825
28788284,33382.935001,3936.024
28788285,21456.579675,6167.042
28788286,21932.831406,6074.79
28788287,20523.733833,6539.799
28788288,21271.418358,6354.867
28788289,21049.622518,6468.05
28788290,24012.728684,5705.656
28788291,20957.574671,6584.682
28788292,24295.887731,5715.321
28788293,23891.984122,5848.769
28788294,28771.496509,4882.374
28788295,27508.668495,5134.586
28788296,26713.581705,5317.349
28788297,24635.88781,5801.211
28788298,23714.683751,6065.026
28788299,19709.362225,7353.667
28788300,24948.392471,5844.665
28788301,21873.565254,6712.405
28788302,19496.108827,7589.451
28788303,17855.833696,8356.955
28788304,16212.998048,9289.817
28788305,14938.939801,10184.476
28788306,15764.046186,9744.22
28788307,15278.680883,10153.546
28788308,15035.730425,10421.67
28788309,13994.606227,11318.403
28788310,12789.36368,12532.117
28788311,11822.15721,13731.721
28788312,11159.993017,14744.711
28788313,11514.455117,14479.454
28788314,12186.295725,13851.671
28788315,12627.673773,13528.169
28788316,11577.07628,14949.463
28788317,12022.303884,14577.661
28788318,12523.749807,14163.569
28788319,13238.330719,13552.574
28788320,13962.771487,12988.934
28788321,14347.306289,12774.344
28788322,14344.353616,12911.981
28788323,14644.63795,12778.094
28788324,16045.95304,11772.197
28788325,15925.318251,11974.154
28788326,17132.380563,11228.855
28788327,19287.803261,10052.241
28788328,19958.102679,9788.244
28788329,21210.575599,9275.897
28788330,21360.995394,9275.764
28788331,27174.893951,7331.785
28788332,30259.262873,6617.288
28788333,31589.364319,6368.94
28788334,31829.027342,6350.951
28788335,32971.027826,6159.032
28788336,31394.128498,6499.49
28788337,31414.044087,6526.574
28788338,32056.3562,6425.909
28788339,31082.783034,6659.36
28788340,38202.091818,5439.715
28788341,44275.524498,4709.505
28788342,46737.149826,4475.84
28788343,40420.377192,5194.609
28788344,40839.160864,5160.315
28788345,32436.198361,6527.361
28788346,32032.73193,6640.692
28788347,30781.666007,6944.449
28788348,29575.247768,7264.584
28788349,26666.336013,8102.633
28788350,25037.411508,8681.806
28788351,26451.926351,8264.411
28788352,28430.522052,7730.039
28788353,27670.323562,7985.695
28788354,28645.009867,7754.57
28788355,28699.474672,7780.506
28788356,23631.192137,9509.547
28788357,21311.751065,10619.18
28788358,21118.604663,10792.861
28788359,19021.682829,12077.75
28788360,20812.745033,11118.372
28788361,17537.805197,13308.164
28788362,15864.335975,14852.09
28788363,15392.648353,15457.48
28788364,14974.245473,16049.718
28788365,14706.003016,16510.374
28788366,14252.328821,17216.573
28788367,13684.675342,18128.829
28788368,13768.142652,18216.757
28788369,13454.426711,18850.989
