timestamp(min since Epoch),15min moving average,15min total volume
28788147,452.870084,1280.0
28788148,677.097349,2585.0
28788149,1092.1104,2738.0
28788150,1023.742587,5237.0
28788151,1431.109361,5480.0
28788152,1473.994815,7679.0
28788153,1919.821321,7715.0
28788154,2072.648935,9143.0
28788155,2344.857598,10015.0
28788156,2518.0836,11370.0
28788157,2935.595075,11531.0
28788158,3220.699191,12229.0
28788159,3672.569593,12232.0
28788160,3482.027242,14829.0
28788161,3875.793647,15084.0
28788162,4520.973045,14370.0
28788163,5169.856033,13772.0
28788164,5409.703602,14363.0
28788165,6681.474327,12474.0
28788166,6680.192584,13383.0
28788167,8149.55305,11615.0
28788168,8043.902115,12469.0
28788169,9343.511581,11281.0
28788170,9699.266394,11399.0
28788171,11182.452065,10304.0
28788172,10175.162725,11851.0
28788173,10084.660224,12519.0
28788174,10064.1426,13135.0
28788175,11930.432779,11517.0
28788176,12545.583474,11362.0
28788177,12967.126489,11390.0
28788178,13366.205001,11437.0
28788179,12758.656623,12422.0
28788180,12349.911025,13321.0
28788181,11718.762986,14602.0
28788182,12527.462229,14171.0
28788183,13819.242035,13281.0
28788184,14525.838923,13041.0
28788185,15532.000125,12562.0
28788186,14788.297684,13610.0
28788187,17049.030918,12127.0
28788188,17085.742332,12430.0
28788189,15776.345378,13859.0
28788190,14849.136506,15187.0
28788191,15224.619185,15266.0
28788192,13425.027564,17916.0
28788193,14038.876679,17703.0
28788194,13670.599132,18802.0
28788195,11034.136693,24290.0
28788196,10800.025824,25901.0
28788197,9984.034596,29347.0
28788198,10199.393315,30060.0
28788199,10540.145834,30392.0
28788200,10320.784691,32460.0
28788201,10963.642803,31871.0
28788202,10411.402784,35085.0
28788203,10714.581832,35594.0
28788204,10576.946687,37667.0
28788205,11655.038405,35562.0
28788206,11266.217671,38327.0
28788207,12247.213332,36608.0
28788208,12131.889173,38386.0
28788209,13130.459467,36731.0
28788210,14526.961441,34266.0
28788211,16256.00055,31497.0
28788212,18400.990916,28526.0
28788213,17370.795088,31025.0
28788214,17338.366856,31915.0
28788215,16573.058054,34325.0
28788216,16262.348495,35981.0
28788217,17470.74575,34382.0
28788218,17674.893048,34877.0
28788219,19973.538692,31578.0
28788220,19699.726707,32769.0
28788221,20343.71175,32453.0
28788222,20586.1998,32791.0
28788223,20606.971123,33493.0
28788224,19643.407369,35964.0
28788225,21126.473899,34171.0
28788226,20804.567759,35471.0
28788227,20172.301683,37422.0
28788228,19899.727041,38817.0
28788229,20121.54462,39272.0
28788230,19133.962438,42299.0
28788231,19860.707583,41701.0
28788232,18230.110962,46587.0
28788233,19655.711811,44226.0
28788234,16409.181682,54478.0
28788235,17292.17741,53085.0
28788236,14341.196103,66093.0
28788237,15189.790407,64316.0
28788238,13556.883684,74550.0
28788239,12383.437853,84708.0
28788240,13033.232448,83378.0
28788241,1301.816814,1279260.0
28788242,1748.605675,1284751.0
28788243,2141.542717,1329941.0
28788244,2596.59933,1328264.0
28788245,3064.101115,1320560.0
28788246,3520.58348,1318783.0
28788247,3990.984148,1312057.0
28788248,4444.280354,1311747.0
28788249,4933.98565,1300814.0
28788250,5386.330351,1300816.0
28788251,5899.504038,1286292.0
28788252,6352.253127,1286206.0
28788253,6870.47797,1273006.0
28788254,7398.144087,1259204.0
28788255,7858.791084,1257795.0
28788256,167036.126494,59338.0
28788257,192925.354774,51496.0
28788258,5847941.544217,1699.0
28788259,5831234.483706,1704.0
28788260,7138687.713382,1392.0
28788261,7139140.110502,1392.0
28788262,7139592.507622,1392.0
28788263,7043905.815422,1411.0
28788264,7826398.149922,1270.0
28788265,7839195.023991,1268.0
