timestamp(min since Epoch),15min moving average,15min total volume
28788147,161.771868,6570.0
28788148,240.101027,13569.0
28788149,340.85028,18193.0
28788150,324.379512,38138.0
28788151,472.709515,39788.0
28788152,520.932196,52367.0
28788153,663.444661,54377.0
28788154,567.519723,88905.0
28788155,723.405728,89831.0
28788156,658.750503,130745.0
28788157,814.369871,131967.0
28788158,882.278821,149146.0
28788159,1042.123297,149462.0
28788160,1071.482015,171202.0
28788161,1129.205023,189597.0
28788162,1179.852662,210269.0
28788163,1300.708191,217800.0
28788164,1449.887925,219908.0
28788165,1569.621009,226453.0
28788166,1673.720239,235071.0
28788167,1790.439617,241556.0
28788168,1874.24255,252538.0
28788169,2269.175816,224586.0
28788170,2272.995933,241378.0
28788171,2773.119152,210096.0
28788172,2872.341581,214938.0
28788173,3215.249482,202183.0
28788174,3251.259621,210409.0
28788175,3381.510627,212467.0
28788176,3675.975945,204444.0
28788177,4086.119566,191506.0
28788178,4397.90777,184726.0
28788179,4417.64892,190893.0
28788180,4812.541923,181327.0
28788181,5027.457689,179349.0
28788182,5787.254461,160285.0
28788183,6459.560049,147293.0
28788184,6923.268099,140717.0
28788185,7403.659084,134527.0
28788186,7119.939707,143141.0
28788187,6887.618885,151529.0
28788188,6078.207543,176403.0
28788189,6195.655604,177699.0
28788190,3521.265101,327719.0
28788191,3714.734581,324797.0
28788192,3828.645642,329037.0
28788193,3774.275012,348723.0
28788194,3410.173466,405171.0
28788195,3640.486725,397182.0
28788196,3755.073564,402391.0
28788197,3858.918045,408689.0
28788198,3950.449074,416259.0
28788199,4048.704462,423054.0
28788200,4205.330047,423585.0
28788201,4467.747373,413677.0
28788202,4616.74103,414856.0
28788203,4941.946537,400665.0
28788204,4992.534213,409879.0
28788205,8634.661662,241510.0
28788206,8622.023716,246483.0
28788207,8829.840093,245168.0
28788208,9462.59224,232748.0
28788209,12134.458409,183949.0
28788210,11821.46162,191436.0
28788211,12401.507345,184891.0
28788212,12540.984275,185221.0
28788213,10253.491107,230169.0
28788214,9762.74586,245806.0
28788215,5100.540214,485873.0
28788216,4222.339486,610275.0
28788217,4210.172726,636456.0
28788218,4285.595954,649743.0
28788219,4246.114926,681715.0
28788220,4276.519977,703434.0
28788221,4309.639022,725205.0
28788222,4400.635099,737266.0
28788223,4436.549044,758923.0
28788224,4525.105331,771607.0
28788225,4574.413522,791221.0
28788226,4619.6988,811843.0
28788227,4637.325026,837936.0
28788228,4656.305816,864502.0
28788229,4875.002232,854009.0
28788230,6033.366151,709023.0
28788231,7483.628875,584226.0
28788232,6730.63646,665554.0
28788233,7157.836646,640276.0
28788234,6361.965911,739138.0
28788235,6766.247261,711970.0
28788236,5984.708315,827269.0
28788237,6357.301924,799083.0
28788238,6393.393054,815162.0
28788239,6378.664319,838266.0
28788240,6670.243582,821511.0
28788241,4702.248671,1206775.0
28788242,4684.176296,1254686.0
28788243,4192.223717,1458088.0
28788244,4387.340835,1446484.0
