timestamp(min since Epoch),15min moving average,15min total volume
28788147,23.606369,61210.0
28788148,33.89934,140349.0
28788149,48.350709,192265.0
28788150,60.070967,254921.0
28788151,81.322121,265312.0
28788152,76.73909,406034.0
28788153,99.696962,409468.0
28788154,103.1814,513001.0
28788155,125.520827,519373.0
28788156,120.648723,671801.0
28788157,142.248113,683175.0
28788158,153.502863,748148.0
28788159,176.294038,752152.0
28788160,184.890387,822166.0
28788161,203.933085,842986.0
28788162,206.649428,939218.0
28788163,217.078314,1003221.0
28788164,237.120664,1019999.0
28788165,256.758918,1037393.0
28788166,274.663325,1060987.0
28788167,306.177298,1031327.0
28788168,301.861633,1134855.0
28788169,341.342245,1078188.0
28788170,353.609214,1115266.0
28788171,377.23525,1115220.0
28788172,385.929348,1161128.0
28788173,387.064932,1232905.0
28788174,384.715789,1321508.0
28788175,381.197619,1421724.0
28788176,388.15139,1486634.0
28788177,425.866215,1434444.0
28788178,476.783555,1347945.0
28788179,518.072182,1299692.0
28788180,557.017611,1262268.0
28788181,548.946291,1338327.0
28788182,622.206968,1227265.0
28788183,705.192579,1120303.0
28788184,759.559081,1073437.0
28788185,751.414419,1120221.0
28788186,751.307768,1156681.0
28788187,783.321821,1143841.0
28788188,821.665334,1122687.0
28788189,852.372568,1113034.0
28788190,923.98452,1053656.0
28788191,996.9465,1000198.0
28788192,1037.814778,983144.0
28788193,1031.944406,1011853.0
28788194,903.023616,1187308.0
28788195,923.699161,1191132.0
28788196,918.446441,1229500.0
28788197,881.052095,1316916.0
28788198,834.680834,1430474.0
28788199,836.032815,1469594.0
28788200,835.578175,1513074.0
28788201,951.102448,1363064.0
28788202,848.436088,1571662.0
28788203,916.006309,1494168.0
28788204,917.285636,1531432.0
28788205,985.497225,1460360.0
28788206,898.981833,1644008.0
28788207,960.048203,1578190.0
28788208,995.625144,1558704.0
28788209,1147.903708,1380277.0
28788210,796.097619,2050995.0
28788211,821.571801,2046141.0
28788212,833.104351,2076615.0
28788213,838.004077,2124281.0
28788214,813.316882,2254161.0
28788215,862.162839,2186295.0
28788216,848.982092,2283721.0
28788217,933.721579,2130310.0
28788218,949.668281,2147919.0
28788219,1002.834818,2083071.0
28788220,909.980682,2356750.0
28788221,950.933422,2312654.0
28788222,935.889048,2410622.0
28788223,923.185791,2507904.0
28788224,861.132844,2764369.0
28788225,1095.690327,2220404.0
28788226,1138.476882,2182173.0
28788227,1131.83981,2241689.0
28788228,1177.963401,2197925.0
28788229,1291.334065,2042259.0
28788230,905.28099,2991133.0
28788231,962.690845,2883429.0
28788232,693.606791,4142880.0
28788233,725.138816,4095905.0
28788234,677.045433,4545084.0
28788235,750.766815,4231625.0
28788236,721.525784,4551775.0
28788237,764.446437,4432850.0
28788238,754.669197,4634996.0
28788239,721.150735,5014252.0
28788240,712.068361,5251982.0
28788241,648.390695,5985237.0
28788242,646.752204,6227209.0
28788243,270.264007,16324167.0
28788244,293.987454,16313471.0
28788245,336.833438,15308255.0
28788246,360.911414,15283899.0
28788247,418.685585,13959797.0
28788248,442.385314,13954519.0
28788249,481.474909,13480756.0
28788250,504.840594,13485711.0
28788251,545.625264,13040350.0
28788252,569.207015,13039426.0
28788253,607.931228,12700688.0
28788254,663.977452,12056098.0
28788255,709.487378,11670006.0
28788256,787.514855,10837728.0
28788257,840.883031,10442256.0
28788258,38116.534062,230508.0
28788259,37680.473316,233322.0
28788260,39074.368249,225135.0
28788261,36624.634977,240349.0
28788262,42672.1776,206401.0
28788263,35432.324904,248741.0
28788264,40288.083008,218890.0
28788265,39378.303513,224082.0
28788266,41075.954981,214945.0
28788267,38878.787935,227231.0
28788268,43804.681749,201788.0
28788269,37139.820767,238152.0
28788270,41274.053788,214421.0
28788271,39181.985072,226007.0
28788272,43840.525752,202101.0
28788273,37437.422943,236818.0
28788274,38342.940275,231369.0
28788275,37322.145697,237849.0
28788276,40662.714264,218437.0
28788277,37735.555361,235530.0
28788278,46868.117485,189732.0
28788279,42040.004792,211642.0
28788280,44180.94087,201495.0
28788281,53261.836863,167216.0
28788282,57695.149085,154431.0
28788283,52310.909509,170404.0
28788284,71085.641921,125440.0
28788285,57488.629016,155173.0
28788286,65001.244144,137289.0
28788287,59661.191575,149637.0
28788288,76226.453352,117155.0
28788289,71443.99715,125039.0
28788290,75705.873961,118037.0
28788291,3544.098842,2538269.0
28788292,1499.102398,6096592.0
28788293,1521.628734,6100735.0
28788294,1550.824218,6078157.0
28788295,1573.41034,6081911.0
28788296,1595.888644,6086031.0
28788297,1618.498721,6089593.0
28788298,1644.955424,6078650.0
28788299,1665.018111,6091540.0
28788300,1694.870337,6068544.0
28788301,1715.228787,6079969.0
28788302,1739.455408,6077548.0
28788303,1760.244616,6087188.0
28788304,1772.877482,6125162.0
28788305,1632.917374,6747455.0
28788306,2567.436397,4331181.0
28788307,14668.991996,759285.0
28788308,14698.228575,758993.0
28788309,14665.146252,761931.0
28788310,14589.01145,767148.0
28788311,14667.429612,764276.0
28788312,14569.657335,770653.0
28788313,14662.130239,767027.0
28788314,14708.434235,765841.0
28788315,14806.28841,761994.0
28788316,14976.133377,754541.0
28788317,15152.794953,746907.0
28788318,15360.762362,737928.0
28788319,16318.634811,695618.0
28788320,150914.903023,75230.0
28788321,132091.477987,85966.0
28788322,132219.86838,85898.0
28788323,135163.659976,84042.0
28788324,122461.755173,92777.0
28788325,132157.356604,85986.0
28788326,126719.129358,89693.0
28788327,128533.918124,88443.0
28788328,131175.035123,86678.0
28788329,146583.962023,77579.0
28788330,151626.074537,75011.0
28788331,158309.575974,71855.0
28788332,160812.745126,70747.0
28788333,172332.402285,66027.0
28788334,171424.280375,66386.0
28788335,170474.97917,66765.0
28788336,207564.917022,54841.0
28788337,206508.127677,55128.0
28788338,190995.240589,59613.0
28788339,232330.168391,49012.0
28788340,220445.146296,51660.0
28788341,256122.494448,44468.0
28788342,301048.129571,37835.0
28788343,271353.666196,41979.0
28788344,280462.905013,40619.0
28788345,248732.963042,45805.0
28788346,236314.193169,48217.0
28788347,227279.269388,50139.0
28788348,227303.079922,50139.0
28788349,233191.06615,48878.0
28788350,242728.826601,46962.0
28788351,250772.407102,45460.0
28788352,261266.619595,43638.0
28788353,282412.300318,40374.0
28788354,172326.263656,66175.0
28788355,165784.773665,68796.0
28788356,162689.859879,70115.0
28788357,166890.403415,68360.0
28788358,172341.37215,66207.0
28788359,171985.983676,66353.0
28788360,182384.814936,62578.0
28788361,176214.462955,64778.0
28788362,179849.915695,63477.0
28788363,171961.735796,66398.0
28788364,156811.636387,72824.0
28788365,153796.91287,74263.0
28788366,151940.778196,75182.0
28788367,155793.479408,73334.0
28788368,159258.926152,71749.0
28788369,245189.221565,46608.0
28788370,289049.326658,39539.0
28788371,276627.757812,41318.0
28788372,271739.161841,42065.0
28788373,284058.904858,40244.0
28788374,288178.353477,39672.0
28788375,292642.494727,39070.0
28788376,312654.85118,36572.0
28788377,316232.247677,36161.0
28788378,344927.27343,33155.0
28788379,441246.994354,25919.0
28788380,437306.093308,26154.0
28788381,372963.147372,30668.0
28788382,333630.350346,34286.0
28788383,301808.588512,37904.0
28788384,297631.781567,38439.0
28788385,276722.680161,41347.0
28788386,298488.733293,38335.0
28788387,295514.094411,38724.0
28788388,293838.331541,38948.0
28788389,294588.196489,38852.0
28788390,271471.98716,42164.0
28788391,288555.614362,39671.0
28788392,273496.424962,41859.0
28788393,239457.601747,47814.0
28788394,235676.595648,48586.0
28788395,229241.776603,49955.0
28788396,221314.114682,51750.0
28788397,237835.390767,48160.0
28788398,257374.234535,44508.0
28788399,243767.297718,46997.0
28788400,229035.943136,50025.0
28788401,225992.635626,50704.0
28788402,200863.909384,57054.0
28788403,189074.93419,60619.0
28788404,162203.099087,70672.0
28788405,143912.996752,79667.0
28788406,127013.312332,90284.0
28788407,109615.87105,104636.0
28788408,115749.164459,99112.0
28788409,116402.405147,98576.0
28788410,112644.672836,101886.0
28788411,121001.60039,94868.0
28788412,113257.575172,101376.0
28788413,103975.853993,110451.0
28788414,102503.151391,112064.0
28788415,103912.037548,110570.0
28788416,99231.693567,115813.0
28788417,100636.020777,114224.0
28788418,104141.937544,110404.0
28788419,106000.19124,108493.0
28788420,118757.283741,96858.0
28788421,124556.651893,92366.0
28788422,144709.233201,79516.0
28788423,123850.374204,92926.0
28788424,116730.650734,98614.0
28788425,114098.582528,100910.0
28788426,114160.937697,100876.0
28788427,122471.760397,94049.0
28788428,123562.265323,93237.0
28788429,131445.796696,87661.0
28788430,137869.720588,83591.0
28788431,145686.356559,79119.0
28788432,149217.635874,77259.0
28788433,149100.677265,77332.0
28788434,166634.02286,69205.0
28788435,165993.612348,69482.0
28788436,171710.586074,67178.0
28788437,181340.389527,63619.0
28788438,226664.64669,50903.0
28788439,266353.019852,43322.0
28788440,324124.259614,35603.0
28788441,272819.407594,42302.0
28788442,249916.849074,46183.0
28788443,297235.349572,38834.0
28788444,299713.306345,38516.0
28788445,302208.589808,38201.0
28788446,284067.5477,40644.0
28788447,263954.432478,43745.0
28788448,249854.839696,46218.0
28788449,240037.840266,48113.0
28788450,244373.517643,47264.0
28788451,248140.366566,46551.0
28788452,254533.70278,45386.0
28788453,261381.478983,44201.0
28788454,246305.633895,46911.0
28788455,239777.458058,48193.0
28788456,277043.478259,41714.0
28788457,269666.011626,42859.0
28788458,229573.944676,50349.0
28788459,217847.665314,53065.0
28788460,206277.216337,56048.0
28788461,196296.284252,58905.0
28788462,221449.254332,52220.0
28788463,229065.461554,50489.0
28788464,218203.896941,53008.0
28788465,216281.754086,53485.0
28788466,214135.896372,54027.0
28788467,152401.530717,75924.0
28788468,133515.6665,86679.0
28788469,122766.199254,94287.0
28788470,125077.975136,92562.0
28788471,122290.940675,94690.0
28788472,115966.102973,99875.0
28788473,115232.120307,100532.0
28788474,117660.645962,98477.0
28788475,113861.691738,101784.0
28788476,113680.114817,101968.0
28788477,108946.232158,106422.0
28788478,103138.195073,112441.0
28788479,90744.933895,127831.0
28788480,92814.364815,125013.0
28788481,95979.911604,120920.0
28788482,117656.724201,98662.0
28788483,133136.835733,87206.0
28788484,151385.33448,76706.0
28788485,154741.341341,75054.0
28788486,162999.344964,71262.0
28788487,192837.324852,60243.0
28788488,234310.456618,49585.0
28788489,241157.185097,48182.0
28788490,280314.225676,41455.0
28788491,347161.352084,33475.0
28788492,411147.339388,28267.0
28788493,565786.817273,20542.0
28788494,23.9,0.0
28788495,23.9,0.0
28788496,23.9,0.0
28788497,23.9,0.0
28788498,23.9,0.0
28788499,23.9,0.0
28788500,23.9,0.0
28788501,23.9,0.0
28788502,23.9,0.0
28788503,23.9,0.0
28788504,23.9,0.0
28788505,23.9,0.0
28788506,23.9,0.0
28788507,23.9,0.0
28788508,23.9,0.0
28788509,23.9,0.0
28788510,23.9,0.0
28788511,23.9,0.0
28788512,23.9,0.0
28788513,23.9,0.0
28788514,23.9,0.0
