timestamp(min since Epoch),15min moving average,15min total volume
28788147,574.367256,12394.0
28788148,663.977502,79296.0
28788149,1091.729017,101722.0
28788150,1214.045509,173504.0
28788151,1669.54533,192270.0
28788152,1755.02937,271786.0
28788153,2276.459776,280164.0
28788154,2527.323929,326476.0
28788155,2989.070088,341616.0
28788156,3227.155303,384824.0
28788157,3787.640136,386406.0
28788158,4100.950504,414931.0
28788159,4672.217244,415177.0
28788160,4755.496693,463857.0
28788161,5121.999027,484975.0
28788162,5689.539637,485545.0
28788163,6996.186956,430117.0
28788164,7525.721412,432831.0
28788165,9365.625489,370479.0
28788166,9998.527626,368135.0
28788167,12809.320795,300813.0
28788168,12953.212227,311243.0
28788169,14981.96899,279801.0
28788170,15220.977364,286185.0
28788171,17321.419084,260089.0
28788172,16326.661423,285977.0
28788173,17919.832734,269162.0
28788174,16337.897331,305960.0
28788175,19048.943404,270560.0
28788176,20317.252014,261038.0
28788177,20338.443667,268332.0
28788178,21154.288024,265172.0
28788179,22122.594744,260314.0
28788180,20873.502121,283687.0
28788181,20896.345805,291376.0
28788182,22382.736222,279182.0
28788183,24573.250677,260374.0
28788184,26635.363818,245504.0
28788185,28396.208189,235029.0
28788186,27650.139481,246485.0
28788187,30900.41904,224731.0
28788188,28188.308479,251471.0
28788189,32556.575156,221635.0
28788190,30974.922231,237347.0
28788191,31953.256759,234285.0
28788192,26882.285705,284547.0
28788193,25194.881899,310671.0
28788194,24981.733189,320677.0
28788195,26999.121099,303148.0
28788196,26794.453107,312135.0
28788197,26704.242156,320053.0
28788198,25722.41311,339835.0
28788199,25558.481984,349853.0
28788200,25435.382922,359642.0
28788201,27166.19643,343977.0
28788202,27258.106108,350171.0
28788203,28646.607402,339991.0
28788204,26357.052637,377727.0
28788205,28706.322138,353869.0
28788206,26931.772736,385375.0
28788207,32655.537941,323497.0
28788208,32534.03182,330519.0
28788209,34989.172916,312437.0
28788210,34873.506327,318703.0
28788211,39097.329393,288495.0
28788212,38000.112936,301363.0
28788213,38641.514847,300815.0
