timestamp(min since Epoch),15min moving average,15min total volume
28788147,431.624384,5648.0
28788148,550.137066,20576.0
28788149,821.168412,29061.0
28788150,888.397989,52247.0
28788151,1272.566169,55197.0
28788152,1397.756932,72707.0
28788153,1808.30841,73822.0
28788154,1885.722473,91807.0
28788155,2292.573833,93031.0
28788156,2271.262589,115939.0
28788157,2604.561103,121188.0
28788158,2562.13221,148156.0
28788159,2988.584411,148458.0
28788160,2903.705368,179474.0
28788161,2966.983256,205544.0
28788162,2835.724088,253664.0
28788163,3243.517277,255810.0
28788164,3629.265917,259477.0
28788165,4250.355301,246601.0
28788166,4552.530583,254346.0
28788167,5214.565472,242092.0
28788168,5332.693491,257577.0
28788169,6072.787325,243492.0
28788170,6329.533099,250712.0
28788171,7087.715697,238412.0
28788172,7546.05911,237517.0
28788173,8610.626259,219137.0
28788174,8823.387899,224853.0
28788175,10240.851361,202257.0
28788176,11485.642971,187381.0
28788177,15843.498402,139647.0
28788178,17899.997599,126659.0
28788179,19077.955936,121591.0
28788180,19807.192531,119725.0
28788181,20396.681784,118780.0
28788182,21772.927848,113524.0
28788183,25933.850663,96924.0
28788184,27453.028681,93024.0
28788185,28022.28183,92561.0
28788186,28157.703633,93551.0
28788187,29001.962982,92201.0
28788188,29328.660839,92537.0
28788189,29723.637629,92654.0
28788190,27440.107655,101970.0
28788191,29978.072947,94702.0
28788192,27367.37981,105400.0
28788193,27404.828045,106942.0
28788194,25579.453839,116542.0
28788195,25792.378275,117549.0
28788196,25554.208761,120685.0
28788197,23754.233696,132235.0
28788198,22500.999003,142333.0
28788199,21849.610565,149533.0
28788200,20425.870554,163412.0
28788201,21385.894724,159294.0
28788202,19705.124237,176756.0
28788203,20328.109582,175059.0
28788204,18902.269276,192667.0
28788205,21058.967601,176557.0
28788206,20285.474957,187277.0
28788207,22101.034879,175319.0
28788208,21799.043393,181341.0
28788209,23874.843684,168625.0
28788210,23146.821805,177236.0
28788211,25194.11954,165674.0
28788212,26574.719891,159662.0
28788213,26317.29047,163914.0
28788214,23458.879636,187336.0
28788215,15757.247202,286760.0
28788216,12646.46012,369930.0
28788217,12213.677501,397078.0
28788218,11769.565791,427757.0
28788219,12413.717089,420178.0
28788220,12471.918305,433218.0
28788221,13092.480701,426761.0
28788222,13239.975616,436236.0
28788223,13569.47446,439635.0
28788224,13658.366829,451035.0
28788225,13935.774336,456194.0
28788226,13320.044959,493275.0
28788227,13577.981677,499801.0
28788228,12917.437212,543529.0
28788229,13986.476908,517977.0
28788230,16324.881399,455839.0
28788231,20477.492423,371229.0
28788232,19646.314175,395631.0
28788233,22088.630093,358903.0
28788234,19366.260689,418690.0
28788235,20501.032923,404024.0
28788236,18120.410153,468261.0
28788237,19078.921502,455033.0
28788238,18076.351514,492022.0
28788239,15210.015675,601827.0
28788240,13563.70488,697065.0
28788241,4822.085068,2153671.0
28788242,5049.312806,2249190.0
28788243,1861.596016,7944579.0
28788244,2294.64791,7940455.0
28788245,2737.518756,7903309.0
28788246,3170.411485,7900979.0
28788247,3631.60159,7829115.0
28788248,4064.002938,7828441.0
28788249,4531.168702,7761458.0
28788250,4963.175428,7761605.0
28788251,5441.643627,7689759.0
28788252,5874.461751,7688740.0
28788253,6344.343062,7639605.0
28788254,6881.689612,7514944.0
28788255,7423.50936,7397013.0
28788256,9734.951825,5902687.0
28788257,10341.83966,5798578.0
28788258,1311808.663408,45729.0
28788259,1333254.565664,45008.0
28788260,2590293.904942,23170.0
28788261,2891985.826205,20756.0
28788262,2912762.286996,20611.0
28788263,2876081.030118,20877.0
28788264,5041480.698006,11911.0
28788265,2024603.300473,29666.0
28788266,2065123.349334,29090.0
28788267,2047191.149156,29351.0
28788268,2268040.867292,26498.0
28788269,2303764.044819,26092.0
28788270,2349939.689605,25584.0
28788271,2378818.359421,25278.0
28788272,2758263.92715,21804.0
28788273,2744975.585163,21913.0
28788274,2773373.506897,21692.0
28788275,2518008.692151,23896.0
28788276,2662836.068989,22600.0
28788277,2631025.655999,22877.0
28788278,2723097.70695,22107.0
28788279,2710412.990856,22214.0
28788280,13963583.500742,4312.0
28788281,10580464.565828,5691.0
28788282,11036615.535826,5456.0
28788283,10772483.464175,5590.0
28788284,10981135.135555,5484.0
28788285,10823677.579394,5564.0
28788286,11595144.320126,5194.0
28788287,11406714.809161,5280.0
28788288,13193739.444369,4565.0
28788289,8457243.582645,7122.0
28788290,9006484.830808,6688.0
28788291,4027936.928272,14956.0
28788292,4074403.603807,14787.0
28788293,3803259.666903,15843.0
28788294,3829552.212805,15736.0
28788295,3813506.305937,15804.0
28788296,4110965.892501,14662.0
28788297,4059626.289688,14849.0
28788298,4101206.49572,14700.0
28788299,4094675.108653,14725.0
28788300,1211448.491603,49788.0
28788301,1210325.194958,49852.0
28788302,1200311.276128,50286.0
28788303,1196556.813576,50462.0
28788304,1250548.974278,48300.0
28788305,415012.852437,145693.0
28788306,438453.435977,138040.0
28788307,437672.367795,138423.0
