timestamp(min since Epoch),15min moving average,15min total volume
28788147,5.731015,2586.0
28788148,6.32048,25220.0
28788149,11.65323,26924.0
28788150,14.148844,37278.0
28788151,6.797717,497814.0
28788152,11.020865,640378.0
28788153,16.755821,640467.0
28788154,22.134043,654458.0
28788155,27.822269,655886.0
28788156,32.478473,682376.0
28788157,38.091326,684979.0
28788158,42.43303,711007.0
28788159,48.169152,711007.0
28788160,53.726287,713658.0
28788161,58.973081,720215.0
28788162,64.353557,724581.0
28788163,71.880929,704956.0
28788164,76.18179,719314.0
28788165,78.485547,753244.0
28788166,199.531871,305048.0
28788167,365.865449,169011.0
28788168,362.113337,173508.0
28788169,370.505175,172242.0
28788170,286.600383,227210.0
28788171,323.055551,205210.0
28788172,319.643647,211186.0
28788173,317.517036,216508.0
28788174,311.254593,225007.0
28788175,304.920263,234081.0
28788176,315.410521,230484.0
28788177,315.864986,234406.0
28788178,305.929851,246639.0
28788179,322.715533,238038.0
28788180,357.351817,218469.0
28788181,342.784887,231623.0
28788182,358.451572,225096.0
28788183,371.633338,220510.0
28788184,400.119276,207785.0
28788185,508.170648,165468.0
28788186,476.843392,178481.0
28788187,498.513587,172705.0
28788188,565.997258,153666.0
28788189,571.795557,153644.0
28788190,524.573076,169320.0
28788191,504.730448,177992.0
28788192,497.990628,182495.0
28788193,546.126896,168169.0
28788194,506.007904,183575.0
28788195,555.256734,169032.0
28788196,633.3506,149539.0
28788197,521.620869,183581.0
28788198,481.191893,201397.0
28788199,472.783014,207487.0
28788200,479.914925,206867.0
28788201,521.321933,192547.0
28788202,493.932343,205603.0
28788203,502.72701,204329.0
28788204,488.370712,212826.0
28788205,554.29253,189468.0
28788206,385.965552,276181.0
28788207,307.343101,353392.0
28788208,250.511716,443657.0
28788209,265.236526,428227.0
28788210,256.798118,452332.0
28788211,257.93804,460501.0
28788212,277.606534,436833.0
28788213,290.882018,425217.0
28788214,274.073307,460862.0
28788215,278.4525,463073.0
28788216,211.161535,627532.0
28788217,217.666341,625099.0
28788218,217.929423,641059.0
28788219,223.568042,641185.0
28788220,218.245805,674377.0
28788221,259.330793,580247.0
28788222,265.682213,578735.0
28788223,315.47482,496316.0
28788224,301.938844,528495.0
28788225,311.232553,522231.0
28788226,301.364316,549676.0
28788227,308.266523,547440.0
28788228,253.267627,681583.0
28788229,272.681429,646504.0
28788230,247.288295,729626.0
28788231,318.303546,577125.0
28788232,269.464195,696379.0
28788233,285.875845,669682.0
28788234,235.593933,832643.0
28788235,252.290298,795408.0
28788236,197.577161,1045667.0
28788237,221.680493,956423.0
28788238,217.48544,1000954.0
28788239,153.384263,1473691.0
28788240,130.752014,1807024.0
28788241,133.15083,1853266.0
28788242,138.380521,1859294.0
28788243,150.863625,1771929.0
28788244,157.084259,1765371.0
28788245,165.365516,1736389.0
28788246,172.479209,1721251.0
28788247,189.729949,1612856.0
28788248,195.35362,1613156.0
28788249,225.345442,1434474.0
28788250,223.408229,1484512.0
28788251,275.172366,1230549.0
28788252,273.244042,1265432.0
28788253,290.468865,1214035.0
28788254,508.213039,701688.0
28788255,1036.887422,345808.0
28788256,1395.708105,257951.0
28788257,1477.075253,244679.0
28788258,1890.919521,191703.0
28788259,1885.092478,192875.0
28788260,2960.099109,123065.0
28788261,2789.927909,130837.0
28788262,3431.465969,106552.0
28788263,3448.441051,106202.0
28788264,3485.431227,105246.0
28788265,6541.801346,56123.0
28788266,6488.667356,56632.0
28788267,17811.833096,20637.0
28788268,19619.479121,18741.0
28788269,19568.758839,18795.0
28788270,27597.152231,13330.0
28788271,27602.794905,13330.0
28788272,29592.748572,12436.0
28788273,21094.142778,17451.0
28788274,22755.40291,16181.0
28788275,22656.058554,16256.0
28788276,43431.761413,8481.0
28788277,42672.710304,8633.0
28788278,33852.900287,10884.0
28788279,14153.057694,26044.0
28788280,14674.055228,25129.0
28788281,12640.810118,29184.0
28788282,12965.30648,28466.0
28788283,10759.458465,34320.0
28788284,10783.960164,34260.0
28788285,10210.284366,36205.0
28788286,10208.897515,36230.0
28788287,9582.034348,38623.0
28788288,11018.185972,33606.0
28788289,10965.794752,33784.0
28788290,10960.107044,33819.0
28788291,10901.332853,34019.0
28788292,212.081885,1796490.0
28788293,218.025863,1794005.0
28788294,225.586387,1778422.0
28788295,230.755922,1782219.0
28788296,236.959187,1777957.0
28788297,242.609433,1777956.0
28788298,248.8393,1773717.0
28788299,253.285244,1782342.0
28788300,258.972313,1782082.0
28788301,264.480105,1783062.0
28788302,270.334488,1781686.0
28788303,275.754955,1783201.0
28788304,280.81506,1787025.0
28788305,285.243515,1794834.0
28788306,289.153614,1805851.0
28788307,11536.884864,45283.0
28788308,11138.374368,46927.0
28788309,9142.968394,57204.0
28788310,9697.753752,53963.0
28788311,9813.741246,53356.0
28788312,9765.987968,53648.0
28788313,9996.998801,52438.0
28788314,10007.047047,52415.0
28788315,9425.908564,55680.0
28788316,9306.291718,56430.0
28788317,8460.885337,62110.0
28788318,7493.841109,70178.0
28788319,7804.668139,67432.0
28788320,8701.268303,60523.0
28788321,9459.511197,55705.0
28788322,9735.735527,54156.0
28788323,10037.785281,52556.0
28788324,12393.725369,42585.0
28788325,12533.532054,42129.0
28788326,12552.890449,42083.0
28788327,12571.388322,42040.0
28788328,12677.420042,41707.0
28788329,15855.568505,33359.0
28788330,18301.262038,28910.0
28788331,18122.058955,29205.0
28788332,22953.876982,23063.0
28788333,36565.416571,14480.0
28788334,39254.529932,13490.0
28788335,40733.520862,13002.0
28788336,80165.683646,6607.0
28788337,36614.361163,14468.0
28788338,36468.806551,14528.0
28788339,36487.022961,14523.0
28788340,36490.17157,14524.0
28788341,34500.794964,15364.0
28788342,34461.601982,15384.0
28788343,34014.081378,15589.0
28788344,34248.185511,15485.0
28788345,32164.6037,16491.0
28788346,27524.542843,19275.0
28788347,28346.233984,18720.0
28788348,29951.56699,17720.0
28788349,30411.946806,17455.0
28788350,30396.711767,17467.0
28788351,30409.332573,17463.0
28788352,58150.646992,9133.0
28788353,57538.955507,9231.0
28788354,59344.514924,8951.0
28788355,60000.322904,8854.0
28788356,67645.443685,7854.0
28788357,69728.405229,7620.0
28788358,55683.168409,9543.0
28788359,27265.937665,19493.0
28788360,28798.933804,18459.0
28788361,36272.520232,14658.0
28788362,35789.93243,14858.0
28788363,26738.365841,19892.0
28788364,26412.16106,20142.0
28788365,23526.48162,22618.0
28788366,23206.974997,22935.0
28788367,23098.864221,23048.0
28788368,23325.100285,22830.0
28788369,23342.012971,22819.0
28788370,23184.145402,22980.0
28788371,22235.980945,23966.0
28788372,21993.930856,24236.0
28788373,24137.359572,22089.0
28788374,44109.410535,12089.0
28788375,44751.717547,11917.0
28788376,48991.268694,10887.0
28788377,47576.838301,11212.0
28788378,72013.161316,7408.0
28788379,74513.139784,7160.0
28788380,123934.604828,4305.0
