timestamp(min since Epoch),15min moving average,15min total volume
28788147,123.373183,94704.0
28788148,131.295505,1493450.0
28788149,233.981732,1774584.0
28788150,299.104193,2364488.0
28788151,407.50233,2490202.0
28788152,457.883303,3034700.0
28788153,573.249838,3089548.0
28788154,617.051162,3588332.0
28788155,734.705096,3622555.0
28788156,785.613448,4019578.0
28788157,872.203491,4217572.0
28788158,900.247792,4735614.0
28788159,1021.86025,4745336.0
28788160,1090.975909,5011843.0
28788161,1180.07014,5174809.0
28788162,1289.813031,5235632.0
28788163,1796.531352,4036240.0
28788164,1983.163047,3899078.0
28788165,2362.678143,3453150.0
28788166,2427.321738,3541246.0
28788167,2783.878157,3230923.0
28788168,2722.985323,3460007.0
28788169,3153.476713,3109375.0
28788170,3165.031026,3223749.0
28788171,3474.664395,3044640.0
28788172,3598.972673,3043888.0
28788173,4228.417572,2668700.0
28788174,4240.684592,2740782.0
28788175,4467.28821,2675717.0
28788176,4573.864533,2685885.0
28788177,4311.065219,2933642.0
28788178,4463.302681,2914202.0
28788179,4451.891089,3005022.0
28788180,4516.853855,3045048.0
28788181,4526.483952,3123778.0
28788182,5016.776863,2889603.0
28788183,5686.89874,2605671.0
28788184,6153.190518,2457519.0
28788185,6075.817439,2540434.0
28788186,6135.808699,2567250.0
28788187,6580.012418,2439714.0
28788188,5988.776842,2736989.0
28788189,5872.782618,2850975.0
28788190,5702.533183,3001059.0
28788191,6049.986726,2887629.0
28788192,6672.44801,2667605.0
28788193,6929.726808,2615157.0
28788194,7072.70911,2607809.0
28788195,7390.351661,2538122.0
28788196,7526.820674,2533656.0
28788197,7388.152373,2625069.0
28788198,7197.755585,2741523.0
28788199,7063.692195,2843240.0
28788200,7233.982318,2824504.0
28788201,7830.725194,2651048.0
28788202,7546.306122,2796711.0
28788203,8815.556679,2428043.0
28788204,9094.830945,2385866.0
28788205,10267.506528,2139084.0
28788206,10107.847511,2199732.0
28788207,10865.031361,2069946.0
28788208,10350.632059,2199040.0
28788209,10990.200298,2094591.0
28788210,10209.654028,2282315.0
28788211,11557.878184,2037846.0
28788212,12062.734831,1972743.0
28788213,10908.403696,2206462.0
28788214,10006.387105,2435395.0
28788215,9988.148546,2470359.0
28788216,9536.433291,2621287.0
28788217,9635.406897,2628011.0
28788218,8926.13108,2876595.0
28788219,8172.267456,3190105.0
28788220,7733.947218,3425538.0
28788221,7620.473418,3533745.0
28788222,7208.620877,3800673.0
28788223,7380.476468,3775262.0
28788224,6860.947807,4135475.0
28788225,7170.172573,4026385.0
28788226,6977.827366,4211819.0
28788227,6699.608329,4469001.0
28788228,6207.635073,4920977.0
28788229,6638.369586,4688814.0
28788230,5529.221511,5757890.0
28788231,5790.32575,5617987.0
28788232,4956.324172,6730917.0
28788233,5298.92613,6445844.0
28788234,5023.125377,6971032.0
28788235,5404.240989,6630855.0
28788236,4946.711912,7429525.0
28788237,5274.378857,7134937.0
28788238,5172.649595,7453102.0
28788239,5097.606546,7750492.0
28788240,5231.023144,7735348.0
28788241,3671.135507,11405726.0
28788242,3685.592074,11754800.0
28788243,1172.69372,41292389.0
28788244,1296.510602,41281556.0
28788245,1448.346643,40399043.0
28788246,1572.183384,40390074.0
28788247,1741.911989,39236919.0
28788248,1862.100736,39312223.0
28788249,2024.569165,38507064.0
28788250,2146.794436,38531965.0
28788251,2320.879016,37645620.0
28788252,2442.896135,37670355.0
28788253,2596.181175,37217278.0
28788254,2773.639212,36460192.0
28788255,2902.777314,36386917.0
28788256,3373.665978,32498345.0
28788257,3550.989863,31988571.0
28788258,68127.928237,1670369.0
28788259,69475.969482,1640896.0
28788260,93308.974866,1223410.0
28788261,89132.467982,1282527.0
28788262,103198.874628,1109052.0
28788263,106209.380566,1078881.0
28788264,126086.87009,909695.0
28788265,121421.647408,945617.0
28788266,142438.750214,806795.0
28788267,136286.935714,843984.0
28788268,152395.148892,755392.0
28788269,149544.903593,770431.0
28788270,172715.334107,667556.0
28788271,168280.017255,685658.0
28788272,205006.404538,563166.0
28788273,190940.781446,605046.0
28788274,210009.676175,550434.0
28788275,204148.36703,566583.0
28788276,266401.485449,434386.0
28788277,231968.710812,499133.0
28788278,273591.692635,423390.0
28788279,260108.86822,445550.0
28788280,301355.145295,384727.0
28788281,246790.197834,470027.0
28788282,302757.013423,383297.0
28788283,277281.552228,418701.0
28788284,305187.527995,380571.0
28788285,270619.937346,429381.0
28788286,290112.680981,400703.0
28788287,271710.42546,428038.0
28788288,317236.601957,366755.0
28788289,291133.169476,399810.0
28788290,316646.214363,367741.0
28788291,293684.637909,396661.0
28788292,348556.277282,334336.0
28788293,342216.345965,340654.0
28788294,386272.804506,301898.0
28788295,344436.468395,338690.0
28788296,408480.845001,285675.0
28788297,360734.805236,323598.0
28788298,368847.99099,316587.0
28788299,344943.115921,338649.0
28788300,391892.501022,298173.0
28788301,371302.817886,314813.0
28788302,376940.457748,310207.0
28788303,359882.301244,325023.0
28788304,387294.979189,302115.0
28788305,88103.227319,1329942.0
28788306,88198.084014,1330378.0
28788307,87860.177507,1337378.0
28788308,75220.142768,1564685.0
28788309,74460.566264,1583277.0
28788310,76094.978387,1551793.0
28788311,76757.548786,1540881.0
28788312,77844.366364,1521786.0
28788313,78637.673568,1508807.0
28788314,79015.885419,1503939.0
28788315,79247.991445,1501878.0
28788316,79908.472118,1491773.0
28788317,80681.176419,1479754.0
28788318,81379.874137,1469282.0
28788319,81829.457697,1463421.0
28788320,263504.484864,454669.0
28788321,270565.123197,443007.0
28788322,278886.980645,429979.0
28788323,604537.452549,198400.0
28788324,632207.180186,189754.0
28788325,629746.810536,190533.0
28788326,630761.590796,190264.0
28788327,631902.097053,189958.0
28788328,672784.5643,178448.0
28788329,732729.111744,163877.0
28788330,746702.929415,160837.0
28788331,733226.14638,163821.0
28788332,715439.405803,167923.0
28788333,720389.22403,166798.0
28788334,652381.640109,184221.0
28788335,691833.588334,173747.0
28788336,724541.681313,165932.0
28788337,710604.779177,169216.0
28788338,711498.484205,169033.0
28788339,682264.289911,176308.0
28788340,677810.744024,177499.0
28788341,744741.261454,161574.0
28788342,756941.048777,158996.0
28788343,757727.745775,158857.0
28788344,744120.297125,161789.0
28788345,727669.190686,165475.0
28788346,752702.899039,159998.0
28788347,775677.282671,155284.0
28788348,785057.027882,153453.0
28788349,884816.09104,136171.0
28788350,881516.411709,136700.0
28788351,857213.435,140596.0
28788352,895291.160436,134635.0
28788353,840816.010245,143379.0
28788354,900174.09842,133943.0
28788355,706773.613864,170625.0
28788356,700771.353574,172117.0
28788357,762663.785893,158175.0
28788358,782483.840435,154193.0
28788359,780906.882994,154529.0
28788360,791550.968078,152475.0
