timestamp(min since Epoch),15min moving average,15min total volume
28788147,0.68296,0.0
28788148,0.68296,0.0
28788149,0.68323,0.0
28788150,0.68326,0.0
28788151,0.68308,0.0
28788152,0.68305,0.0
28788153,0.682905,0.0
28788154,0.68286,0.0
28788155,0.682835,0.0
28788156,0.68285,0.0
28788157,0.68295,0.0
28788158,0.682895,0.0
28788159,0.682895,0.0
28788160,0.682905,0.0
28788161,0.682905,0.0
28788162,0.68283,0.0
28788163,0.682875,0.0
28788164,0.682825,0.0
28788165,0.68287,0.0
28788166,0.68293,0.0
28788167,0.6829,0.0
28788168,0.682915,0.0
28788169,0.683025,0.0
28788170,0.68288,0.0
28788171,0.6828,0.0
28788172,0.682865,0.0
28788173,0.682865,0.0
28788174,0.68283,0.0
28788175,0.68281,0.0
28788176,0.6827,0.0
28788177,0.68258,0.0
28788178,0.6824,0.0
28788179,0.68243,0.0
28788180,0.682535,0.0
28788181,0.682625,0.0
28788182,0.682625,0.0
28788183,0.682625,0.0
28788184,0.682625,0.0
28788185,0.68274,0.0
28788186,0.68277,0.0
28788187,0.6828,0.0
28788188,0.68287,0.0
28788189,0.68278,0.0
28788190,0.68281,0.0
28788191,0.682715,0.0
28788192,0.682715,0.0
28788193,0.68275,0.0
28788194,0.68267,0.0
28788195,0.682625,0.0
28788196,0.682575,0.0
28788197,0.682595,0.0
28788198,0.682615,0.0
28788199,0.68254,0.0
28788200,0.682585,0.0
28788201,0.6826,0.0
28788202,0.682595,0.0
28788203,0.68256,0.0
28788204,0.68254,0.0
28788205,0.682565,0.0
28788206,0.682545,0.0
28788207,0.6825,0.0
28788208,0.68249,0.0
28788209,0.682465,0.0
28788210,0.68248,0.0
28788211,0.68245,0.0
28788212,0.68245,0.0
28788213,0.682315,0.0
28788214,0.68231,0.0
28788215,0.68233,0.0
28788216,0.68229,0.0
28788217,0.682245,0.0
28788218,0.68224,0.0
28788219,0.682195,0.0
28788220,0.682205,0.0
28788221,0.682225,0.0
28788222,0.68219,0.0
28788223,0.68219,0.0
28788224,0.68216,0.0
28788225,0.682195,0.0
28788226,0.68213,0.0
28788227,0.68217,0.0
28788228,0.68226,0.0
28788229,0.682255,0.0
28788230,0.68226,0.0
28788231,0.68225,0.0
28788232,0.682205,0.0
28788233,0.68221,0.0
28788234,0.682185,0.0
28788235,0.682185,0.0
28788236,0.68202,0.0
28788237,0.68202,0.0
28788238,0.68198,0.0
28788239,0.68198,0.0
28788240,0.681935,0.0
28788241,0.68195,0.0
28788242,0.681885,0.0
28788243,0.68189,0.0
28788244,0.681975,0.0
28788245,0.681925,0.0
28788246,0.681885,0.0
28788247,0.681835,0.0
28788248,0.68189,0.0
28788249,0.681895,0.0
28788250,0.681895,0.0
28788251,0.68209,0.0
28788252,0.682125,0.0
28788253,0.682095,0.0
28788254,0.682095,0.0
28788255,0.68229,0.0
28788256,0.68242,0.0
28788257,0.682455,0.0
28788258,0.682495,0.0
28788259,0.68253,0.0
28788260,0.68239,0.0
28788261,0.682405,0.0
28788262,0.682405,0.0
28788263,0.68239,0.0
28788264,0.68239,0.0
28788265,0.682265,0.0
28788266,0.6822,0.0
28788267,0.68219,0.0
28788268,0.68219,0.0
28788269,0.682265,0.0
28788270,0.682265,0.0
28788271,0.68228,0.0
28788272,0.68228,0.0
28788273,0.682165,0.0
28788274,0.682165,0.0
28788275,0.68204,0.0
28788276,0.68204,0.0
28788277,0.682045,0.0
28788278,0.682045,0.0
28788279,0.682105,0.0
28788280,0.682105,0.0
28788281,0.68217,0.0
28788282,0.68217,0.0
28788283,0.68223,0.0
28788284,0.68222,0.0
28788285,0.68228,0.0
28788286,0.68227,0.0
28788287,0.68232,0.0
28788288,0.682325,0.0
28788289,0.682345,0.0
28788290,0.68237,0.0
28788291,0.68231,0.0
28788292,0.68231,0.0
28788293,0.68231,0.0
28788294,0.68231,0.0
28788295,0.68237,0.0
28788296,0.682375,0.0
28788297,0.682315,0.0
28788298,0.68232,0.0
28788299,0.68232,0.0
28788300,0.68232,0.0
28788301,0.68232,0.0
28788302,0.68232,0.0
28788303,0.68232,0.0
28788304,0.682295,0.0
28788305,0.682325,0.0
28788306,0.68233,0.0
28788307,0.682315,0.0
28788308,0.682315,0.0
28788309,0.682305,0.0
28788310,0.682265,0.0
28788311,0.68224,0.0
28788312,0.68226,0.0
28788313,0.682265,0.0
28788314,0.68225,0.0
28788315,0.682245,0.0
28788316,0.682255,0.0
28788317,0.682315,0.0
28788318,0.682315,0.0
28788319,0.6823,0.0
28788320,0.682305,0.0
28788321,0.68232,0.0
28788322,0.682355,0.0
28788323,0.68237,0.0
28788324,0.682365,0.0
28788325,0.68241,0.0
28788326,0.68241,0.0
28788327,0.68243,0.0
28788328,0.68243,0.0
28788329,0.682455,0.0
28788330,0.68242,0.0
28788331,0.68238,0.0
28788332,0.682395,0.0
28788333,0.68237,0.0
28788334,0.682355,0.0
28788335,0.682275,0.0
28788336,0.68226,0.0
28788337,0.68227,0.0
28788338,0.68228,0.0
28788339,0.682245,0.0
28788340,0.682265,0.0
28788341,0.6823,0.0
28788342,0.68228,0.0
28788343,0.68229,0.0
28788344,0.682325,0.0
28788345,0.682335,0.0
28788346,0.68233,0.0
28788347,0.68241,0.0
28788348,0.682425,0.0
28788349,0.682425,0.0
28788350,0.682375,0.0
28788351,0.682455,0.0
28788352,0.682455,0.0
28788353,0.682465,0.0
28788354,0.68247,0.0
28788355,0.68248,0.0
28788356,0.68248,0.0
28788357,0.68248,0.0
28788358,0.68248,0.0
28788359,0.68257,0.0
28788360,0.68232,0.0
28788361,0.68226,0.0
28788362,0.682275,0.0
28788363,0.68233,0.0
28788364,0.68236,0.0
28788365,0.682365,0.0
28788366,0.68234,0.0
28788367,0.682265,0.0
28788368,0.682285,0.0
28788369,0.68226,0.0
28788370,0.682285,0.0
28788371,0.68237,0.0
28788372,0.682365,0.0
28788373,0.68237,0.0
28788374,0.68237,0.0
28788375,0.682285,0.0
28788376,0.682295,0.0
28788377,0.68226,0.0
28788378,0.68235,0.0
28788379,0.68236,0.0
28788380,0.6823,0.0
28788381,0.682325,0.0
28788382,0.682275,0.0
28788383,0.68226,0.0
28788384,0.68229,0.0
28788385,0.68232,0.0
28788386,0.68235,0.0
28788387,0.68235,0.0
28788388,0.682355,0.0
28788389,0.682365,0.0
28788390,0.682375,0.0
28788391,0.682375,0.0
28788392,0.68235,0.0
28788393,0.682325,0.0
28788394,0.68239,0.0
28788395,0.68239,0.0
28788396,0.682445,0.0
28788397,0.6825,0.0
28788398,0.682465,0.0
28788399,0.682465,0.0
28788400,0.682495,0.0
28788401,0.682465,0.0
28788402,0.682475,0.0
28788403,0.68256,0.0
28788404,0.68257,0.0
28788405,0.68255,0.0
28788406,0.682565,0.0
28788407,0.68255,0.0
28788408,0.682395,0.0
28788409,0.68233,0.0
28788410,0.682315,0.0
28788411,0.68226,0.0
28788412,0.682255,0.0
28788413,0.68221,0.0
28788414,0.682285,0.0
28788415,0.68233,0.0
