timestamp(min since Epoch),15min moving average,15min total volume
28788147,1.332485,0.0
28788148,1.332445,0.0
28788149,1.33287,0.0
28788150,1.332875,0.0
28788151,1.33284,0.0
28788152,1.33279,0.0
28788153,1.33259,0.0
28788154,1.33256,0.0
28788155,1.332505,0.0
28788156,1.33251,0.0
28788157,1.332645,0.0
28788158,1.33248,0.0
28788159,1.33248,0.0
28788160,1.33246,0.0
28788161,1.332465,0.0
28788162,1.332205,0.0
28788163,1.33237,0.0
28788164,1.332225,0.0
28788165,1.332225,0.0
28788166,1.332225,0.0
28788167,1.332165,0.0
28788168,1.332175,0.0
28788169,1.332255,0.0
28788170,1.332125,0.0
28788171,1.332085,0.0
28788172,1.33236,0.0
28788173,1.33246,0.0
28788174,1.332345,0.0
28788175,1.332425,0.0
28788176,1.33231,0.0
28788177,1.332175,0.0
28788178,1.33198,0.0
28788179,1.33196,0.0
28788180,1.33207,0.0
28788181,1.33207,0.0
28788182,1.33207,0.0
28788183,1.33207,0.0
28788184,1.33207,0.0
28788185,1.33212,0.0
28788186,1.332145,0.0
28788187,1.332155,0.0
28788188,1.33229,0.0
28788189,1.332165,0.0
28788190,1.33222,0.0
28788191,1.332075,0.0
28788192,1.33216,0.0
28788193,1.33216,0.0
28788194,1.331995,0.0
28788195,1.33207,0.0
28788196,1.33199,0.0
28788197,1.332055,0.0
28788198,1.33207,0.0
28788199,1.33204,0.0
28788200,1.332065,0.0
28788201,1.33204,0.0
28788202,1.33206,0.0
28788203,1.33203,0.0
28788204,1.331965,0.0
28788205,1.33195,0.0
28788206,1.331885,0.0
28788207,1.331835,0.0
28788208,1.331865,0.0
28788209,1.33174,0.0
28788210,1.33186,0.0
28788211,1.331855,0.0
28788212,1.33189,0.0
28788213,1.331725,0.0
28788214,1.331665,0.0
28788215,1.33169,0.0
28788216,1.33158,0.0
28788217,1.33155,0.0
28788218,1.33167,0.0
28788219,1.331475,0.0
28788220,1.331535,0.0
28788221,1.33157,0.0
28788222,1.33155,0.0
28788223,1.33156,0.0
28788224,1.331495,0.0
28788225,1.33157,0.0
28788226,1.331525,0.0
28788227,1.33155,0.0
28788228,1.331585,0.0
28788229,1.331655,0.0
28788230,1.331745,0.0
28788231,1.33182,0.0
28788232,1.331755,0.0
28788233,1.33169,0.0
28788234,1.331585,0.0
28788235,1.331585,0.0
28788236,1.331465,0.0
28788237,1.331465,0.0
28788238,1.33156,0.0
