timestamp(min since Epoch),15min moving average,15min total volume
28788147,1.34743,0.0
28788148,1.347395,0.0
28788149,1.347125,0.0
28788150,1.347065,0.0
28788151,1.34721,0.0
28788152,1.347215,0.0
28788153,1.34737,0.0
28788154,1.347375,0.0
28788155,1.347435,0.0
28788156,1.34742,0.0
28788157,1.347315,0.0
28788158,1.3474,0.0
28788159,1.3474,0.0
28788160,1.34756,0.0
28788161,1.347565,0.0
28788162,1.34765,0.0
28788163,1.34758,0.0
28788164,1.3476,0.0
28788165,1.347595,0.0
28788166,1.347665,0.0
28788167,1.34773,0.0
28788168,1.347795,0.0
28788169,1.347705,0.0
28788170,1.347765,0.0
28788171,1.34773,0.0
28788172,1.34767,0.0
28788173,1.347635,0.0
28788174,1.347705,0.0
28788175,1.34776,0.0
28788176,1.347805,0.0
28788177,1.347965,0.0
28788178,1.348195,0.0
28788179,1.348075,0.0
28788180,1.3481,0.0
28788181,1.34812,0.0
28788182,1.34812,0.0
28788183,1.34812,0.0
28788184,1.34812,0.0
28788185,1.348035,0.0
28788186,1.348055,0.0
28788187,1.34799,0.0
28788188,1.347635,0.0
28788189,1.347665,0.0
28788190,1.34775,0.0
28788191,1.34778,0.0
28788192,1.34775,0.0
28788193,1.34775,0.0
28788194,1.347805,0.0
28788195,1.34772,0.0
28788196,1.347765,0.0
28788197,1.347755,0.0
28788198,1.34775,0.0
28788199,1.34777,0.0
28788200,1.347765,0.0
28788201,1.34773,0.0
28788202,1.347685,0.0
28788203,1.34774,0.0
28788204,1.347855,0.0
28788205,1.34782,0.0
28788206,1.347775,0.0
28788207,1.34777,0.0
28788208,1.347755,0.0
28788209,1.347775,0.0
28788210,1.347805,0.0
28788211,1.347765,0.0
28788212,1.34773,0.0
28788213,1.34784,0.0
28788214,1.34784,0.0
28788215,1.34789,0.0
28788216,1.347895,0.0
28788217,1.348015,0.0
28788218,1.348115,0.0
28788219,1.348075,0.0
28788220,1.34806,0.0
28788221,1.348135,0.0
28788222,1.34821,0.0
28788223,1.348205,0.0
28788224,1.348215,0.0
28788225,1.34821,0.0
28788226,1.34818,0.0
28788227,1.34816,0.0
28788228,1.34802,0.0
28788229,1.348,0.0
28788230,1.347955,0.0
28788231,1.34797,0.0
28788232,1.348055,0.0
28788233,1.348075,0.0
28788234,1.348135,0.0
28788235,1.348135,0.0
28788236,1.34826,0.0
28788237,1.34826,0.0
28788238,1.348465,0.0
28788239,1.348485,0.0
28788240,1.348505,0.0
28788241,1.348475,0.0
28788242,1.34853,0.0
28788243,1.3485,0.0
28788244,1.34852,0.0
28788245,1.34851,0.0
28788246,1.34848,0.0
28788247,1.3486,0.0
28788248,1.34861,0.0
28788249,1.348585,0.0
28788250,1.3484,0.0
28788251,1.348325,0.0
28788252,1.348355,0.0
28788253,1.348425,0.0
28788254,1.34839,0.0
28788255,1.34831,0.0
28788256,1.34828,0.0
28788257,1.348265,0.0
28788258,1.348285,0.0
28788259,1.34824,0.0
28788260,1.34837,0.0
28788261,1.348365,0.0
28788262,1.348335,0.0
28788263,1.34836,0.0
28788264,1.348525,0.0
28788265,1.348445,0.0
28788266,1.34853,0.0
28788267,1.348545,0.0
28788268,1.348555,0.0
28788269,1.348585,0.0
28788270,1.348615,0.0
28788271,1.348585,0.0
28788272,1.348585,0.0
28788273,1.34868,0.0
28788274,1.34868,0.0
28788275,1.348635,0.0
28788276,1.348635,0.0
28788277,1.34866,0.0
28788278,1.34866,0.0
28788279,1.348645,0.0
28788280,1.348645,0.0
28788281,1.348495,0.0
28788282,1.348495,0.0
28788283,1.34848,0.0
28788284,1.348455,0.0
28788285,1.348415,0.0
28788286,1.348415,0.0
28788287,1.348275,0.0
28788288,1.34828,0.0
28788289,1.348395,0.0
28788290,1.34839,0.0
28788291,1.348575,0.0
28788292,1.348585,0.0
28788293,1.348605,0.0
28788294,1.348605,0.0
28788295,1.34855,0.0
28788296,1.34855,0.0
28788297,1.34851,0.0
28788298,1.3485,0.0
28788299,1.34847,0.0
28788300,1.34847,0.0
28788301,1.34847,0.0
28788302,1.34847,0.0
28788303,1.34847,0.0
28788304,1.348175,0.0
28788305,1.34822,0.0
28788306,1.34827,0.0
28788307,1.3483,0.0
28788308,1.34838,0.0
28788309,1.348305,0.0
28788310,1.34845,0.0
28788311,1.348415,0.0
28788312,1.348475,0.0
28788313,1.348525,0.0
28788314,1.34847,0.0
28788315,1.348305,0.0
28788316,1.34824,0.0
28788317,1.3482,0.0
28788318,1.34822,0.0
28788319,1.348315,0.0
28788320,1.34829,0.0
28788321,1.3483,0.0
28788322,1.34833,0.0
28788323,1.348315,0.0
28788324,1.34829,0.0
28788325,1.34842,0.0
28788326,1.34841,0.0
28788327,1.348425,0.0
28788328,1.348395,0.0
28788329,1.34837,0.0
28788330,1.34842,0.0
28788331,1.348405,0.0
28788332,1.34842,0.0
28788333,1.34842,0.0
28788334,1.34844,0.0
28788335,1.34844,0.0
28788336,1.348465,0.0
28788337,1.348445,0.0
28788338,1.348455,0.0
28788339,1.348455,0.0
28788340,1.348455,0.0
28788341,1.348465,0.0
28788342,1.348455,0.0
28788343,1.34845,0.0
28788344,1.34845,0.0
28788345,1.34845,0.0
28788346,1.348445,0.0
28788347,1.348425,0.0
28788348,1.34841,0.0
28788349,1.348405,0.0
28788350,1.348405,0.0
28788351,1.34838,0.0
28788352,1.348345,0.0
28788353,1.34824,0.0
28788354,1.34823,0.0
28788355,1.34823,0.0
28788356,1.34819,0.0
28788357,1.3482,0.0
28788358,1.34821,0.0
28788359,1.348205,0.0
28788360,1.34852,0.0
28788361,1.348495,0.0
28788362,1.348495,0.0
28788363,1.348465,0.0
28788364,1.34851,0.0
28788365,1.34849,0.0
28788366,1.34849,0.0
28788367,1.3485,0.0
28788368,1.348495,0.0
28788369,1.34851,0.0
28788370,1.348545,0.0
