timestamp(min since Epoch),15min moving average,15min total volume
28788147,255.955235,9946.0
28788148,282.320122,96598.0
28788149,479.022943,122266.0
28788150,528.794075,214677.0
28788151,748.123775,230657.0
28788152,771.603375,334639.0
28788153,1021.21197,337409.0
28788154,1106.284006,405207.0
28788155,1338.248732,414183.0
28788156,1461.413043,459805.0
28788157,1638.437509,486053.0
28788158,1633.836772,577956.0
28788159,1885.056932,579628.0
28788160,1899.061422,664970.0
28788161,2031.820638,711092.0
28788162,2216.471213,736948.0
28788163,2637.615414,685829.0
28788164,2900.883734,683927.0
28788165,3290.02037,653901.0
28788166,3235.718739,721990.0
28788167,3683.820818,681530.0
28788168,3630.116059,744092.0
28788169,3886.498849,744024.0
28788170,3648.633851,852355.0
28788171,3793.114012,879255.0
28788172,4027.891234,884229.0
28788173,4502.756402,838686.0
28788174,4557.52325,877950.0
28788175,4975.483496,847850.0
28788176,4986.443753,891798.0
28788177,4887.137578,960245.0
28788178,4991.690145,990978.0
28788179,5008.082574,1040969.0
28788180,5244.315568,1045118.0
28788181,5590.068228,1027551.0
28788182,6214.496031,964029.0
28788183,6922.345987,898697.0
28788184,7742.637408,830967.0
28788185,8884.536555,745653.0
28788186,9253.910163,736259.0
28788187,9032.372596,776321.0
28788188,9297.40748,775546.0
28788189,8617.228699,862386.0
28788190,8264.5458,927940.0
28788191,9150.412172,862236.0
28788192,9258.191902,876447.0
28788193,9246.324695,902579.0
28788194,9152.946268,938044.0
28788195,8707.646956,1015902.0
28788196,8305.783432,1098950.0
28788197,8242.66873,1142884.0
28788198,8056.862644,1207637.0
28788199,8003.148828,1255941.0
28788200,7793.113143,1333626.0
28788201,8299.803571,1292088.0
28788202,8399.58034,1316902.0
28788203,8669.534092,1314745.0
28788204,8963.601487,1309023.0
28788205,9657.66445,1248052.0
28788206,9260.572586,1338599.0
28788207,10172.166808,1250121.0
28788208,9249.949222,1413922.0
28788209,9944.700278,1349923.0
28788210,9913.007733,1390175.0
28788211,11010.601304,1281420.0
28788212,11388.932391,1267371.0
28788213,11775.750734,1253010.0
28788214,11603.321653,1300352.0
28788215,11758.885955,1311742.0
28788216,11656.63533,1353000.0
28788217,12491.292259,1289046.0
28788218,12551.529935,1309605.0
28788219,13309.101641,1259315.0
28788220,13432.642361,1272006.0
28788221,14166.371342,1228349.0
28788222,11810.003217,1506114.0
28788223,13981.196465,1295974.0
28788224,13102.453939,1410469.0
28788225,14366.000335,1309767.0
28788226,14366.695076,1333479.0
28788227,14134.173401,1380433.0
28788228,12514.871723,1591625.0
28788229,13289.34839,1528327.0
28788230,11271.022214,1843925.0
28788231,11605.096433,1831277.0
28788232,9787.009198,2229867.0
28788233,10280.865544,2177032.0
28788234,9428.490017,2440205.0
28788235,9973.667073,2367689.0
28788236,9628.939474,2519559.0
28788237,11203.298914,2216236.0
28788238,10831.536375,2347911.0
28788239,10762.868879,2420601.0
28788240,10565.943533,2527098.0
28788241,9269.999412,2962425.0
28788242,9598.337029,2939719.0
28788243,4568.586623,6544208.0
28788244,4845.60211,6515560.0
28788245,5431.170815,6101762.0
28788246,5726.817912,6058606.0
28788247,6409.333979,5639550.0
28788248,6676.192077,5630868.0
28788249,7341.727417,5306157.0
28788250,7598.331782,5306432.0
28788251,7885.287675,5285589.0
28788252,8147.150031,5282327.0
28788253,8685.455229,5106025.0
28788254,9356.305334,4873801.0
28788255,9988.421326,4685938.0
28788256,11437.327729,4186388.0
28788257,11827.525087,4138201.0
28788258,179976.655904,272339.0
28788259,174255.396617,281696.0
28788260,189307.061856,259651.0
28788261,192939.003155,255103.0
28788262,202197.28194,243732.0
28788263,194913.376131,253174.0
28788264,203259.175171,243086.0
28788265,201582.258972,245421.0
28788266,1145347.791922,43204.0
28788267,1058186.346852,46774.0
28788268,1034820.534235,47842.0
28788269,813287.355791,60893.0
28788270,847014.874112,58486.0
28788271,790407.468244,62695.0
28788272,873465.278446,56750.0
28788273,825240.377577,60085.0
28788274,1054551.932644,47031.0
28788275,947534.448128,52357.0
28788276,995223.718863,49861.0
28788277,967846.419622,51285.0
28788278,1260917.417373,39373.0
28788279,1159616.172721,42822.0
28788280,1235138.676833,40212.0
28788281,1194184.258777,41600.0
28788282,1332572.40415,37287.0
28788283,1258935.827508,39476.0
28788284,1893359.846051,26252.0
28788285,1679178.33675,29605.0
28788286,1969909.54417,25239.0
28788287,1816591.775254,27373.0
28788288,2055201.758406,24198.0
28788289,1895883.354473,26235.0
28788290,2448740.249893,20314.0
28788291,2372732.698405,20967.0
28788292,2576060.873793,19314.0
28788293,2409069.805165,20655.0
28788294,2914249.013975,17076.0
28788295,2878269.078423,17291.0
28788296,2965293.731519,16785.0
28788297,2947988.483875,16885.0
28788298,3287805.847498,15141.0
28788299,3078647.903674,16171.0
28788300,3677397.668325,13539.0
28788301,3157608.646232,15769.0
28788302,2894654.546344,17203.0
28788303,2871213.028154,17345.0
28788304,3034694.049565,16412.0
28788305,601118.263976,82890.0
28788306,597770.89932,83390.0
28788307,582928.216174,85551.0
28788308,579939.452492,86030.0
28788309,548125.33338,91066.0
28788310,535607.732748,93239.0
28788311,518511.401699,96361.0
28788312,500795.548662,99821.0
28788313,503816.564143,99273.0
28788314,485301.232113,103115.0
28788315,485017.147402,103230.0
28788316,492928.899454,101626.0
28788317,497950.52934,100653.0
28788318,488196.486562,102718.0
28788319,298283.417339,168262.0
28788320,461436.605679,108829.0
28788321,464491.469729,108173.0
28788322,471403.211349,106645.0
28788323,474801.285142,105939.0
28788324,475519.902602,105836.0
28788325,462138.534796,108961.0
28788326,474570.597108,106164.0
28788327,470657.672424,107105.0
28788328,477238.28886,105685.0
28788329,493677.088175,102219.0
28788330,489312.174807,103185.0
28788331,473507.308678,106687.0
28788332,481032.973201,105074.0
28788333,480061.442013,105343.0
28788334,1237591.353122,40871.0
28788335,1445692.749419,34994.0
28788336,1262212.984736,40089.0
28788337,1257420.670128,40250.0
28788338,1240757.116688,40799.0
28788339,1398606.081441,36201.0
28788340,1602146.673019,31607.0
28788341,1660390.054434,30503.0
28788342,1719898.037644,29452.0
28788343,1691726.1608,29947.0
28788344,1645130.804596,30800.0
28788345,1688976.179366,30005.0
28788346,1815166.615,27923.0
28788347,1789219.593821,28332.0
28788348,1922963.6544,26365.0
28788349,2049940.794488,24735.0
28788350,2139178.697985,23706.0
28788351,2203853.320144,23013.0
28788352,2215275.051165,22897.0
28788353,2254218.283469,22504.0
28788354,2268485.043001,22365.0
28788355,2308056.311464,21984.0
28788356,2288949.013105,22170.0
28788357,2685656.41487,18897.0
28788358,2864946.702209,17716.0
28788359,3202287.775146,15851.0
28788360,3153801.819518,16096.0
28788361,3123209.181634,16255.0
28788362,3168489.580212,16024.0
28788363,3153201.829981,16103.0
28788364,3221267.069857,15764.0
28788365,3228691.595906,15729.0
28788366,4619091.537202,10995.0
28788367,4685396.040931,10840.0
28788368,5211593.893968,9746.0
28788369,4583562.360568,11082.0
28788370,3645659.11395,13934.0
28788371,3599421.587476,14114.0
28788372,3487505.141539,14568.0
28788373,3044900.651942,16687.0
28788374,3040784.249231,16711.0
28788375,3193328.48266,15914.0
28788376,3122369.378781,16277.0
28788377,3197866.170564,15894.0
28788378,2871507.572174,17702.0
28788379,2357054.928025,21568.0
28788380,2325082.134143,21867.0
28788381,2307297.632284,22038.0
28788382,2342952.956156,21705.0
28788383,2357545.483715,21573.0
28788384,2418444.490546,21032.0
28788385,2791341.066936,18224.0
28788386,2705356.223713,18805.0
28788387,2709502.667419,18778.0
28788388,2955591.174164,17216.0
28788389,2875028.162709,17700.0
28788390,2609897.507375,19500.0
28788391,2832050.548432,17972.0
28788392,2800367.291891,18177.0
28788393,3048479.622507,16699.0
28788394,3955393.085918,12871.0
28788395,3942784.670019,12913.0
28788396,3925108.5156,12972.0
28788397,2987963.949003,17042.0
28788398,2713287.807798,18769.0
28788399,2746909.967394,18541.0
28788400,2189213.465796,23267.0
28788401,2131398.875413,23901.0
28788402,2162229.455401,23563.0
28788403,2233963.230372,22809.0
28788404,2088554.515994,24400.0
28788405,2241668.097219,22736.0
28788406,2214269.082959,23020.0
28788407,2303160.535466,22134.0
28788408,2265549.729631,22504.0
28788409,2241604.135157,22747.0
28788410,2276788.900843,22398.0
28788411,2130128.334777,23943.0
28788412,2091259.978657,24391.0
28788413,2123993.907805,24018.0
28788414,2155113.663351,23674.0
28788415,2472403.163775,20638.0
28788416,2622729.55446,19457.0
28788417,2582899.88375,19759.0
28788418,2542372.484148,20076.0
28788419,2798078.75953,18243.0
28788420,1897359.59329,26907.0
28788421,1958833.059864,26066.0
28788422,1913651.464048,26685.0
28788423,2006455.575577,25454.0
28788424,1905158.303615,26811.0
28788425,1922116.733698,26578.0
28788426,1896967.74007,26934.0
28788427,2278343.29941,22428.0
28788428,2209356.198785,23131.0
28788429,2198021.082282,23253.0
28788430,2375504.463344,21518.0
28788431,2345032.027516,21800.0
28788432,2411202.529404,21204.0
28788433,2255235.547781,22673.0
28788434,2276069.081268,22468.0
28788435,3803240.134565,13447.0
28788436,3268544.520008,15648.0
28788437,3116076.509274,16415.0
28788438,2407447.268545,21249.0
28788439,2491046.626033,20538.0
28788440,2418421.465674,21157.0
28788441,2655913.497798,19267.0
28788442,2487206.623139,20576.0
28788443,2680369.814799,19095.0
28788444,2316902.576689,22093.0
28788445,2193372.556386,23340.0
28788446,2067003.190635,24770.0
28788447,1881352.43153,27218.0
28788448,1990487.382265,25729.0
28788449,1873660.666262,27337.0
28788450,1869745.568004,27398.0
28788451,2037937.044115,25140.0
28788452,2098967.672457,24412.0
28788453,2617747.239832,19576.0
28788454,2662473.755817,19249.0
28788455,2673144.650116,19174.0
28788456,2522269.773271,20323.0
28788457,2696027.675095,19015.0
28788458,2678257.157551,19143.0
28788459,2467526.841394,20780.0
28788460,2388482.34715,21470.0
28788461,2456582.473115,20877.0
28788462,2660184.602508,19281.0
28788463,2495198.654598,20558.0
28788464,2510351.207309,20436.0
28788465,2146944.034011,23898.0
28788466,2077237.835614,24703.0
28788467,2032574.914204,25249.0
28788468,1888844.326135,27174.0
28788469,1796430.121388,28576.0
28788470,1696881.708221,30257.0
28788471,1755497.397974,29251.0
28788472,1631452.698064,31480.0
28788473,1605248.313293,31999.0
28788474,1788031.201179,28732.0
28788475,1827462.1659,28116.0
28788476,1586724.185657,32387.0
28788477,1438321.135427,35735.0
28788478,1198215.04935,42905.0
28788479,1163734.147453,44186.0
28788480,1277473.681369,40260.0
28788481,1322324.698769,38902.0
28788482,1368333.999425,37601.0
28788483,1459851.765962,35250.0
28788484,1557850.209855,33038.0
28788485,1675546.563335,30722.0
28788486,1706289.959479,30173.0
28788487,1861366.74531,27663.0
28788488,1950968.495161,26396.0
28788489,2104009.497322,24479.0
28788490,2277081.281184,22621.0
28788491,3091713.692741,16662.0
28788492,4267851.286075,12071.0
28788493,15935064.329221,3233.0
28788494,256.7,0.0
28788495,256.7,0.0
28788496,256.7,0.0
28788497,256.7,0.0
28788498,256.7,0.0
28788499,256.7,0.0
28788500,256.7,0.0
28788501,256.7,0.0
28788502,256.7,0.0
28788503,256.7,0.0
28788504,256.7,0.0
28788505,256.7,0.0
28788506,256.7,0.0
28788507,256.7,0.0
28788508,256.7,0.0
28788509,256.7,0.0
28788510,256.7,0.0
28788511,256.7,0.0
28788512,256.7,0.0
28788513,256.7,0.0
28788514,256.7,0.0
28788515,256.7,0.0
28788516,256.7,0.0
28788517,256.7,0.0
28788518,256.7,0.0
28788519,256.7,0.0
28788520,256.7,0.0
28788521,256.7,0.0
28788522,256.7,0.0
28788523,256.7,0.0
28788524,256.7,0.0
28788525,256.7,0.0
28788526,256.7,0.0
28788527,256.7,0.0
28788528,256.7,0.0
28788529,256.7,0.0
28788530,256.7,0.0
28788531,256.7,0.0
28788532,256.7,0.0
28788533,256.7,0.0
28788534,256.7,0.0
28788535,256.7,0.0
28788536,256.7,0.0
28788537,256.7,0.0
28788538,256.7,0.0
28788539,256.7,0.0
28788540,256.7,0.0
28788541,256.7,0.0
28788542,256.7,0.0
28788543,256.7,0.0
28788544,256.7,0.0
28788545,256.7,0.0
28788546,256.7,0.0
28788547,256.7,0.0
28788548,256.7,0.0
28788549,256.7,0.0
28788550,256.7,0.0
28788551,256.7,0.0
28788552,256.7,0.0
28788553,256.7,0.0
28788554,256.7,0.0
28788555,256.7,0.0
28788556,256.7,0.0
28788557,256.7,0.0
28788558,256.7,0.0
28788559,256.7,0.0
28788560,256.7,0.0
28788561,256.7,0.0
28788562,256.7,0.0
28788563,256.7,0.0
28788564,256.7,0.0
28788565,256.7,0.0
28788566,256.7,0.0
28788567,256.7,0.0
28788568,256.7,0.0
28788569,256.7,0.0
28788570,256.7,0.0
28788571,256.7,0.0
28788572,256.7,0.0
28788573,256.7,0.0
28788574,256.7,0.0
28788575,256.7,0.0
28788576,256.7,0.0
28788577,256.7,0.0
28788578,256.7,0.0
28788579,256.7,0.0
28788580,256.7,0.0
28788581,256.7,0.0
28788582,256.7,0.0
28788583,256.7,0.0
28788584,256.7,0.0
28788585,256.7,0.0
28788586,256.7,0.0
28788587,256.7,0.0
28788588,256.7,0.0
28788589,256.7,0.0
28788590,256.7,0.0
28788591,256.7,0.0
28788592,256.7,0.0
28788593,256.7,0.0
28788594,256.7,0.0
28788595,256.7,0.0
28788596,256.7,0.0
28788597,256.7,0.0
28788598,256.7,0.0
28788599,256.7,0.0
28788600,256.7,0.0
28788601,256.7,0.0
28788602,256.7,0.0
28788603,256.7,0.0
28788604,256.7,0.0
28788605,256.7,0.0
28788606,256.7,0.0
28788607,256.7,0.0
28788608,256.7,0.0
28788609,256.7,0.0
28788610,256.7,0.0
28788611,256.7,0.0
28788612,256.7,0.0
28788613,256.7,0.0
